Date,Segmentación de Clientes
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.00046963790917202837
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0007074136955291455
1962-01,0.0
1963-01,0.00030213944944149524
1964-01,0.0
1965-01,0.00027390656499254974
1966-01,0.0005178838231219591
1967-01,0.0009639181344328426
1968-01,0.0009231905465288035
1969-01,0.0006549889416033693
1970-01,0.0007546016552187308
1971-01,0.0011862044423356366
1972-01,0.0012974111088046023
1973-01,0.0017983250400576902
1974-01,0.0020945515477863207
1975-01,0.002365740028828232
1976-01,0.002448419952990337
1977-01,0.0023354591201235615
1978-01,0.0031141930087849904
1979-01,0.0009996886683861313
1980-01,0.001898076028791102
1981-01,0.0010396807140527144
1982-01,0.0019041114844580073
1983-01,0.0015813565362939573
1984-01,0.0019543397263234617
1985-01,0.0016732107799393183
1986-01,0.0015968250859091896
1987-01,0.0020147804292288225
1988-01,0.0012489156050083437
1989-01,0.0016386786423729525
1990-01,0.001636125654450262
1991-01,0.0014125361754669054
1992-01,0.0019242286849580638
1993-01,0.0012414003927480493
1994-01,0.0014970911518918742
1995-01,0.0019123912327486375
1996-01,0.002153578406069322
1997-01,0.002091462258909956
1998-01,0.0018263448353172268
1999-01,0.0015477336536110174
2000-01,0.0019426429555165438
2001-01,0.0019439736008385008
2002-01,0.0023030825189232253
2003-01,0.0019792803143676443
2004-01,0.0017140664644654242
2005-01,0.0018818843821559723
2006-01,0.0020070896582389487
2007-01,0.0022316432129981722
2008-01,0.002209250130295547
2009-01,0.002646587484014003
2010-01,0.0028655841319581233
2011-01,0.0026036584752821296
2012-01,0.002318126913996012
2013-01,0.0022836253557317397
2014-01,0.0026263280336682013
2015-01,0.002212685951549482
2016-01,0.002109440534969891
2017-01,0.0022122381376436435
2018-01,0.0023669344367675165
2019-01,0.0022401852463253625
2020-01,0.002095364672369324
2021-01,0.002684561617732779
2022-01,0.003043627652127294
2023-01,0.002453010804773736
2024-01,0.004064591289486888
