Date,Competencias Centrales
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0
1967-01,0.0
1968-01,0.0
1969-01,0.0
1970-01,0.00018863440012374417
1971-01,0.0
1972-01,0.0
1973-01,0.0
1974-01,0.0
1975-01,0.0
1976-01,0.0001632224019482226
1977-01,0.0
1978-01,0.0002965678206120567
1979-01,0.00042842637564139
1980-01,0.0
1981-01,0.0
1982-01,0.0
1983-01,0.00012164236657657022
1984-01,0.0
1985-01,0.0
1986-01,0.0
1987-01,0.00020147093932803396
1988-01,0.0
1989-01,0.0
1990-01,0.0001722201938510502
1991-01,0.0001661775507423151
1992-01,0.00024052299319640626
1993-01,0.0003103305951830485
1994-01,0.0005239607239041361
1995-01,0.0007791218022362212
1996-01,0.0010767558691607024
1997-01,0.001111061004438362
1998-01,0.0008816387397100165
1999-01,0.0010524054583937693
2000-01,0.0015336850925297778
2001-01,0.0010799538427727598
2002-01,0.001988956059773364
2003-01,0.0013999409128387134
2004-01,0.0015382269165977762
2005-01,0.0017532388950489818
2006-01,0.0016595940941607375
2007-01,0.001724449824427339
2008-01,0.0021747749526149994
2009-01,0.0027372737301102844
2010-01,0.0024023029691885834
2011-01,0.0027066815594300915
2012-01,0.002441253334530123
2013-01,0.0029000492323318495
2014-01,0.001986113097224208
2015-01,0.002685125436171776
2016-01,0.002444277375019564
2017-01,0.0029735414643132416
2018-01,0.002622108529412566
2019-01,0.0024717578492987778
2020-01,0.0022721561414815847
2021-01,0.002604684045845097
2022-01,0.002444480052370541
2023-01,0.0023642254856414678
2024-01,0.003405381418571518
