Date,Planificación de Escenarios
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0002589331952356292
1967-01,0.00048190216422261953
1968-01,0.0
1969-01,0.0
1970-01,0.00018863511178516724
1971-01,0.000593077598272958
1972-01,0.00018533654336226436
1973-01,0.0005394751985268731
1974-01,0.0003490803478236586
1975-01,0.0003379520108144643
1976-01,0.0003264448038964452
1977-01,0.0007784597084824084
1978-01,0.0008897100583204944
1979-01,0.0009996615431632433
1980-01,0.0008134402012993352
1981-01,0.0015594967503986463
1982-01,0.0012694028221363542
1983-01,0.0031627053781804956
1984-01,0.0009196586227192466
1985-01,0.0011154402586929049
1986-01,0.000958080772596335
1987-01,0.0013095611056322207
1988-01,0.0014410080139259014
1989-01,0.0015475916288037754
1990-01,0.0012916514538828766
1991-01,0.0012463316305673633
1992-01,0.0011224406349165626
1993-01,0.0015516529759152424
1994-01,0.0009730706441802515
1995-01,0.0019123885236856403
1996-01,0.001413256344511518
1997-01,0.0012417748753650165
1998-01,0.0008816381845054607
1999-01,0.0024762757308263517
2000-01,0.0013291937468591407
2001-01,0.0011879492270500359
2002-01,0.0014132063611035361
2003-01,0.002220597002676785
2004-01,0.0019337709808657758
2005-01,0.0016250830716807037
2006-01,0.002045546209081839
2007-01,0.0018597007910490912
2008-01,0.002610400706548458
2009-01,0.0026764804282368685
2010-01,0.0028075106989312354
2011-01,0.003067571643264618
2012-01,0.0031810247190279775
2013-01,0.0031512367576696653
2014-01,0.002868836993344077
2015-01,0.0031147521967595407
2016-01,0.0035678656337859924
2017-01,0.003644396142597062
2018-01,0.0030818487959846748
2019-01,0.0032750892693553914
2020-01,0.0034150486909751013
2021-01,0.0035482293405343338
2022-01,0.003434518401074014
2023-01,0.003073520077917674
2024-01,0.003839974296832596
