Date,Gestión de la Cadena de Suministro
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0
1967-01,0.0
1968-01,0.0
1969-01,0.0
1970-01,0.001131902482828096
1971-01,0.0
1972-01,0.0
1973-01,0.0
1974-01,0.0
1975-01,0.000168981430630588
1976-01,0.0
1977-01,0.0
1978-01,0.0
1979-01,0.0
1980-01,0.0
1981-01,0.0
1982-01,0.0
1983-01,0.0
1984-01,0.0
1985-01,0.00033464215598786364
1986-01,0.0
1987-01,0.0003022170643843234
1988-01,0.00019214086230897597
1989-01,9.10377023540529e-05
1990-01,0.00043055938275006895
1991-01,0.0006647229061020732
1992-01,0.0005612333664461019
1993-01,0.0008534627700142838
1994-01,0.0010479638063243119
1995-01,0.002479025672081567
1996-01,0.00531664668998364
1997-01,0.004705790082547401
1998-01,0.008564927503556648
1999-01,0.012629506613465902
2000-01,0.018966329907806254
2001-01,0.023111686143302175
2002-01,0.027898704149683616
2003-01,0.028482326475046588
2004-01,0.03423737886714271
2005-01,0.03387384643941821
2006-01,0.04867169877737928
2007-01,0.04581628043485905
2008-01,0.06145732180640342
2009-01,0.06531291181813868
2010-01,0.07216061859567274
2011-01,0.07060812439403716
2012-01,0.06655983554122592
2013-01,0.07202554371977907
2014-01,0.07086671694208903
2015-01,0.07117115104352847
2016-01,0.06994668241189883
2017-01,0.07061028940970777
2018-01,0.08112284645151403
2019-01,0.08361298312491629
2020-01,0.08177364727882881
2021-01,0.10467132327358102
2022-01,0.11202749972589017
2023-01,0.10300675090246661
2024-01,0.14774671863548147
