Date,Calidad Total
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0
1967-01,0.0
1968-01,0.0002307731361607658
1969-01,0.00021831916078114596
1970-01,0.0005659053353555017
1971-01,0.0
1972-01,0.0
1973-01,0.0
1974-01,0.0003490803478236586
1975-01,0.0
1976-01,0.0
1977-01,0.00015569194169648165
1978-01,0.00029657001944016477
1979-01,0.0
1980-01,0.0
1981-01,0.0
1982-01,0.0
1983-01,0.00012164251454540367
1984-01,0.00034487198351971745
1985-01,0.0005577201293464524
1986-01,0.0002129068383547411
1987-01,0.0005036773483200849
1988-01,0.00048033600464196714
1989-01,0.0076469233423245376
1990-01,0.004908275524754931
1991-01,0.009056676515456174
1992-01,0.012667544308344063
1993-01,0.022421385501975255
1994-01,0.019311695252466732
1995-01,0.018061447168142158
1996-01,0.012652009179436449
1997-01,0.010979904161122251
1998-01,0.009383149249379549
1999-01,0.006128782433795221
2000-01,0.004907792296095289
2001-01,0.004913789984616058
2002-01,0.003716209319938929
2003-01,0.0033791693518994553
2004-01,0.003340149876040885
2005-01,0.002009941083067444
2006-01,0.002817450438924043
2007-01,0.0015215733744947109
2008-01,0.0016732542687226278
2009-01,0.0019465312205359043
2010-01,0.002315472741386586
2011-01,0.0022684563412377007
2012-01,0.0029344336555374366
2013-01,0.003037061512826561
2014-01,0.0034426043920128932
2015-01,0.0032651195441893116
2016-01,0.0032327622317176946
2017-01,0.0036987901148746298
2018-01,0.004461017180024178
2019-01,0.0043564806125026365
2020-01,0.003986479168809569
2021-01,0.004491751655569294
2022-01,0.004057839366761944
2023-01,0.0038615823680937154
2024-01,0.0052724958551019505
