Date,Alianzas y Capital de Riesgo
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0
1967-01,0.0
1968-01,0.0
1969-01,0.00021831916078114596
1970-01,0.00018863440012374417
1971-01,0.0
1972-01,0.0
1973-01,0.0
1974-01,0.0
1975-01,0.0
1976-01,0.0
1977-01,0.0
1978-01,0.0
1979-01,0.0
1980-01,0.00027114673376644506
1981-01,0.0
1982-01,0.0
1983-01,0.0
1984-01,0.0
1985-01,0.0
1986-01,0.00010645330585418664
1987-01,0.00030220640899205096
1988-01,0.0007685376074271474
1989-01,0.00036413920677735894
1990-01,0.0005166605815531505
1991-01,0.0018279530581654664
1992-01,0.001362963628112969
1993-01,0.0026378100590559125
1994-01,0.0020958428956165446
1995-01,0.002903999444698643
1996-01,0.0028937813983693876
1997-01,0.0034638960726607756
1998-01,0.0027078904148236218
1999-01,0.001733373696177973
2000-01,0.00342523003998317
2001-01,0.002267903069822796
2002-01,0.0020936379576561724
2003-01,0.0019309529832258116
2004-01,0.002461163066556442
2005-01,0.0026512393047082162
2006-01,0.002508688746987161
2007-01,0.0019611390160154053
2008-01,0.002408892829361727
2009-01,0.0023418897468721325
2010-01,0.0018523781931092688
2011-01,0.00188181335659564
2012-01,0.002096025590253136
2013-01,0.001758297566059468
2014-01,0.0017875017875017877
2015-01,0.0021481003489374206
2016-01,0.0015769531451739125
2017-01,0.001813135039215391
2018-01,0.0014302410160432178
2019-01,0.001282224384323741
2020-01,0.0011700923842360256
2021-01,0.0011030039581895054
2022-01,0.0013933531189476223
2023-01,0.0011525592430227313
2024-01,0.001714412466737756
