file_path,status,message,total_rows,removed_rows,kept_rows,applied
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Outsourcing_6584.csv,skipped,year derived: no 2024/2025 rows,9,0,9,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Planificacion_Estrategica_0262.csv,skipped,year derived: no 2024/2025 rows,12,0,12,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Planificacion_de_Escenarios_5065.csv,skipped,year derived: no 2024/2025 rows,11,0,11,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Presupuesto_Base_Cero_7895.csv,skipped,year derived: no 2024/2025 rows,4,0,4,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Proposito_y_Vision_5388.csv,skipped,year derived: no 2024/2025 rows,13,0,13,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Reingenieria_de_Procesos_4015.csv,skipped,year derived: no 2024/2025 rows,12,0,12,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Segmentacion_de_Clientes_3670.csv,skipped,year derived: no 2024/2025 rows,10,0,10,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/BU_Talento_y_Compromiso_8832.csv,skipped,year derived: no 2024/2025 rows,5,0,5,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_AlianzasyCapitaldeRiesgo_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_Benchmarking_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_CalidadTotal_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_CompetenciasCentrales_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_CuadrodeMandoIntegral_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_EstrategiasdeCrecimiento_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_ExperienciadelCliente_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_FusionesyAdquisiciones_monthly_relative.csv,ok,applied,899,12,887,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_GestióndeCostos_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_GestióndelCambio_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_GestióndelConocimiento_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_GestióndelaCadenadeSuministro_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_InnovaciónColaborativa_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_LealtaddelCliente_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_OptimizacióndePrecios_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_Outsourcing_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_PlanificaciónEstratégica_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_PlanificacióndeEscenarios_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_PresupuestoBaseCero_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_PropósitoyVisión_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_ReingenieríadeProcesos_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_SegmentacióndeClientes_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/CR_TalentoyCompromiso_monthly_relative.csv,ok,applied,900,12,888,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Alianzas_y_Capital_de_Riesgo_6982.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Benchmarking_7798.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Calidad_Total_9438.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Competencias_Centrales_9111.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Cuadro_de_Mando_Integral_3080.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Estrategias_de_Crecimiento_2064.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Experiencia_del_Cliente_1253.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Fusiones_y_Adquisiciones_1255.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Gestion_de_Costos_0679.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Gestion_de_la_Cadena_de_Suministro_9121.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Gestion_del_Cambio_4427.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Gestion_del_Conocimiento_2957.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Innovacion_Colaborativa_7436.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Lealtad_del_Cliente_6994.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Optimizacion_de_Precios_1351.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Outsourcing_0748.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Planificacion_Estrategica_7516.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Planificacion_de_Escenarios_7511.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Presupuesto_Base_Cero_5007.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Proposito_y_Vision_7742.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Reingenieria_de_Procesos_2346.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Segmentacion_de_Clientes_1851.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GB_Talento_y_Compromiso_7890.csv,skipped,year derived: no 2024/2025 rows,73,0,73,False
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Alianzas_y_Capital_de_Riesgo_0589.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Benchmarking_9762.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Calidad_Total_9935.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Competencias_Centrales_7463.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Cuadro_de_Mando_Integral_8613.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Estrategias_de_Crecimiento_0953.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Experiencia_del_Cliente_3856.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Fusiones_y_Adquisiciones_3141.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Gestion_de_Costos_9839.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Gestion_de_la_Cadena_de_Suministro_7968.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Gestion_del_Cambio_9306.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Gestion_del_Conocimiento_0940.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Innovacion_Colaborativa_7878.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Lealtad_del_Cliente_5304.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Optimizacion_de_Precios_6724.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Outsourcing_8336.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Planificacion_Estrategica_1480.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Planificacion_de_Escenarios_5438.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Presupuesto_Base_Cero_2649.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Proposito_y_Vision_7345.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Reingenieria_de_Procesos_8373.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Segmentacion_de_Clientes_3757.csv,ok,applied,254,14,240,True
/Users/Dimar/python-code/MTSA/Management-Tools-Analysis/dbase/GT_Talento_y_Compromiso_9324.csv,ok,applied,254,14,240,True
