Date,Presupuesto Base Cero
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0010290394945358004
1955-01,0.0004936735731599552
1956-01,0.0
1957-01,0.00044612584317784364
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.000353665566766754
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.00027389081068941056
1966-01,0.0010357327809425167
1967-01,0.0009638043284452391
1968-01,0.0004615462723215316
1969-01,0.0006549574823434378
1970-01,0.00018863511178516724
1971-01,0.000593077598272958
1972-01,0.00037067308672452873
1973-01,0.0007193002647024974
1974-01,0.0005236205217354879
1975-01,0.0
1976-01,0.0001632224019482226
1977-01,0.00015569194169648165
1978-01,0.00029657001944016477
1979-01,0.0
1980-01,0.0004067201006496676
1981-01,0.00025991612506644105
1982-01,0.0
1983-01,0.00012164251454540367
1984-01,0.00011495732783990582
1985-01,0.0
1986-01,0.0
1987-01,0.0
1988-01,0.0
1989-01,0.0
1990-01,8.61100969255251e-05
1991-01,8.308877537115755e-05
1992-01,8.017433106546875e-05
1993-01,7.758264879576213e-05
1994-01,0.0
1995-01,0.0002124876137428489
1996-01,0.0
1997-01,6.535657238763244e-05
1998-01,0.0
1999-01,6.19068932706588e-05
2000-01,5.112283641765926e-05
2001-01,0.00010799538427727599
2002-01,0.00015702292901150403
2003-01,9.654769576855587e-05
2004-01,4.394934047422217e-05
2005-01,4.2765472013205975e-05
2006-01,0.0
2007-01,0.00010143822496631405
2008-01,0.0
2009-01,6.082910064174701e-05
2010-01,2.8943409267332325e-05
2011-01,7.733373890583071e-05
2012-01,9.863642539621636e-05
2013-01,0.0
2014-01,0.0001103398843593876
2015-01,0.0001288862977969465
2016-01,5.913589448264076e-05
2017-01,5.439397227756809e-05
2018-01,3.405357785618425e-05
2019-01,7.724265951420237e-05
2020-01,9.524040174034146e-05
2021-01,0.00011960323619778655
2022-01,3.666751001939712e-05
2023-01,1.9702044018109723e-05
2024-01,1.1743051695027312e-05
