Year,Gestión de la Cadena de Suministro
1999-01,31.0
2000-01,35.5
2002-01,52.0
2004-01,56.0
2006-01,66.0
2008-01,43.0
2010-01,39.0
2012-01,34.0
2014-01,36.0
2017-01,40.0
2022-01,40.0
