Year,Benchmarking
1993-01,3.7
1999-01,3.89
2000-01,3.77
2002-01,3.96
2004-01,3.98
2006-01,3.8
2008-01,3.82
2010-01,3.86
2012-01,3.86
2014-01,3.8
2017-01,3.94
