Year,Experiencia del Cliente
1993-01,90.0
1996-01,79.0
1999-01,71.0
2000-01,74.3
2002-01,78.0
2004-01,75.0
2006-01,84.0
2008-01,63.0
2010-01,58.0
2012-01,40.0
2014-01,46.0
2017-01,48.0
2022-01,45.0
