Date,Balanced Scorecard
1994-01,95
1996-01,8
1998-01,34
1999-01,75
2001-01,89
2002-01,71
2004-01,64
2006-01,62
2008-01,38
2010-01,98
2011-01,73
2012-01,75
2013-01,72
2015-01,97
2017-01,69
2019-01,43
2021-01,31
2023-01,74
