Date,Estrategias de Crecimiento
1987-08,721
1987-09,915
1987-10,841
1987-11,805
1987-12,1175
1988-01,2558
1988-02,810
1988-03,1048
1988-04,1024
1988-05,753
1988-06,1088
1988-07,895
1988-08,968
1988-09,873
1988-10,1031
1988-11,630
1988-12,1339
1989-01,2854
1989-02,1257
1989-03,1203
1989-04,1044
1989-05,920
1989-06,1193
1989-07,1092
1989-08,944
1989-09,1320
1989-10,1059
1989-11,994
1989-12,1369
1990-01,3343
1990-02,949
1990-03,1173
1990-04,1746
1990-05,1024
1990-06,1426
1990-07,1059
1990-08,815
1990-09,1438
1990-10,1260
1990-11,845
1990-12,1721
1991-01,3716
1991-02,1286
1991-03,1377
1991-04,1318
1991-05,1512
1991-06,1379
1991-07,1136
1991-08,953
1991-09,1131
1991-10,1211
1991-11,871
1991-12,2180
1992-01,2749
1992-02,1542
1992-03,1376
1992-04,1577
1992-05,1278
1992-06,1628
1992-07,1343
1992-08,1147
1992-09,1371
1992-10,1325
1992-11,1361
1992-12,1818
1993-01,2947
1993-02,1875
1993-03,2187
1993-04,1591
1993-05,1422
1993-06,1646
1993-07,1256
1993-08,1160
1993-09,1468
1993-10,1524
1993-11,822
1993-12,1544
1994-01,3066
1994-02,1184
1994-03,1762
1994-04,1845
1994-05,1357
1994-06,1575
1994-07,1317
1994-08,1147
1994-09,1567
1994-10,1586
1994-11,1034
1994-12,2277
1995-01,3343
1995-02,1371
1995-03,1491
1995-04,1942
1995-05,2121
1995-06,1825
1995-07,1564
1995-08,1213
1995-09,1620
1995-10,1672
1995-11,1167
1995-12,2196
1996-01,2711
1996-02,1838
1996-03,2028
1996-04,1829
1996-05,1284
1996-06,1976
1996-07,1779
1996-08,1387
1996-09,2330
1996-10,1773
1996-11,1318
1996-12,2270
1997-01,2784
1997-02,1495
1997-03,1787
1997-04,2229
1997-05,1990
1997-06,1948
1997-07,1690
1997-08,1531
1997-09,1559
1997-10,1638
1997-11,1206
1997-12,2530
1998-01,2562
1998-02,2734
1998-03,1956
1998-04,1982
1998-05,1396
1998-06,2386
1998-07,1710
1998-08,1909
1998-09,1993
1998-10,1428
1998-11,1268
1998-12,2462
1999-01,2652
1999-02,1559
1999-03,2528
1999-04,1968
1999-05,2138
1999-06,1936
1999-07,1510
1999-08,1366
1999-09,2038
1999-10,1455
1999-11,1406
1999-12,2063
2000-01,3781
2000-02,1644
2000-03,2137
2000-04,2302
2000-05,1628
2000-06,2951
2000-07,1543
2000-08,1614
2000-09,1956
2000-10,1703
2000-11,1468
2000-12,2418
2001-01,3228
2001-02,1457
2001-03,2056
2001-04,2090
2001-05,1762
2001-06,2396
2001-07,2569
2001-08,1549
2001-09,2287
2001-10,2099
2001-11,1591
2001-12,3055
2002-01,3746
2002-02,1791
2002-03,2183
2002-04,3014
2002-05,1963
2002-06,2062
2002-07,1818
2002-08,1740
2002-09,2726
2002-10,1890
2002-11,1837
2002-12,2697
2003-01,3336
2003-02,2131
2003-03,2482
2003-04,2406
2003-05,1733
2003-06,2716
2003-07,1714
2003-08,2127
2003-09,3100
2003-10,1980
2003-11,1782
2003-12,2921
2004-01,3549
2004-02,2172
2004-03,3157
2004-04,2397
2004-05,2479
2004-06,2943
2004-07,2642
2004-08,2764
2004-09,2732
2004-10,2832
2004-11,1849
2004-12,3511
2005-01,3641
2005-02,3112
2005-03,2420
2005-04,2521
2005-05,2581
2005-06,3204
2005-07,2364
2005-08,2543
2005-09,2400
2005-10,2610
2005-11,2426
2005-12,3185
2006-01,4268
2006-02,2045
2006-03,3202
2006-04,2801
2006-05,2522
2006-06,2962
2006-07,3151
2006-08,2803
2006-09,3305
2006-10,3190
2006-11,2964
2006-12,3335
2007-01,4450
2007-02,2389
2007-03,3396
2007-04,3232
2007-05,3007
2007-06,3840
2007-07,2898
2007-08,3114
2007-09,3504
2007-10,4193
2007-11,2962
2007-12,4375
2008-01,4058
2008-02,2512
2008-03,3337
2008-04,3824
2008-05,2960
2008-06,3378
2008-07,3359
2008-08,2975
2008-09,4975
2008-10,3461
2008-11,3291
2008-12,4600
2009-01,4993
2009-02,3683
2009-03,3530
2009-04,3791
2009-05,3458
2009-06,3986
2009-07,3334
2009-08,3464
2009-09,4459
2009-10,3718
2009-11,3357
2009-12,4455
2010-01,5236
2010-02,2950
2010-03,3890
2010-04,3822
2010-05,4286
2010-06,4045
2010-07,3783
2010-08,4109
2010-09,4646
2010-10,4802
2010-11,4252
2010-12,4906
2011-01,5370
2011-02,3656
2011-03,4999
2011-04,4104
2011-05,6091
2011-06,4635
2011-07,3924
2011-08,4478
2011-09,4812
2011-10,5362
2011-11,4454
2011-12,5467
2012-01,11303
2012-02,3684
2012-03,4979
2012-04,4354
2012-05,5492
2012-06,5555
2012-07,4551
2012-08,4632
2012-09,4972
2012-10,5699
2012-11,5129
2012-12,6495
2013-01,6622
2013-02,3806
2013-03,4974
2013-04,5276
2013-05,5195
2013-06,5080
2013-07,5107
2013-08,4578
2013-09,6193
2013-10,5930
2013-11,5027
2013-12,6288
2014-01,6377
2014-02,3922
2014-03,4861
2014-04,4944
2014-05,4844
2014-06,5635
2014-07,5025
2014-08,4740
2014-09,6763
2014-10,6301
2014-11,4653
2014-12,6523
2015-01,6173
2015-02,3631
2015-03,5178
2015-04,4534
2015-05,4611
2015-06,5614
2015-07,4909
2015-08,4624
2015-09,5256
2015-10,5996
2015-11,4896
2015-12,7131
2016-01,6189
2016-02,4334
2016-03,5303
2016-04,6923
2016-05,5751
2016-06,6387
2016-07,5170
2016-08,4854
2016-09,6365
2016-10,6220
2016-11,5772
2016-12,8070
2017-01,6056
2017-02,4339
2017-03,6602
2017-04,5293
2017-05,6214
2017-06,7131
2017-07,7679
2017-08,5843
2017-09,9240
2017-10,7337
2017-11,7491
2017-12,9197
2018-01,6598
2018-02,5415
2018-03,6486
2018-04,6809
2018-05,6876
2018-06,7518
2018-07,6886
2018-08,6923
2018-09,7364
2018-10,8194
2018-11,6397
2018-12,10499
2019-01,7043
2019-02,5428
2019-03,8360
2019-04,7864
2019-05,7455
2019-06,8663
2019-07,8622
2019-08,7756
2019-09,8618
2019-10,8156
2019-11,8710
2019-12,12115
2020-01,8451
2020-02,8041
2020-03,8671
2020-04,7552
2020-05,7177
2020-06,9826
2020-07,9201
2020-08,8853
2020-09,9300
2020-10,9712
2020-11,10871
2020-12,14735
2021-01,9728
2021-02,7293
2021-03,10399
2021-04,9065
2021-05,9187
2021-06,11074
2021-07,9323
2021-08,9017
2021-09,10352
2021-10,10010
2021-11,10383
2021-12,14164
2022-01,9493
2022-02,8381
2022-03,10492
2022-04,9472
2022-05,9681
2022-06,12850
2022-07,9528
2022-08,10741
2022-09,11119
2022-10,10646
2022-11,11068
2022-12,16000
2023-01,9910
2023-02,8881
2023-03,17154
2023-04,12846
2023-05,11660
2023-06,14238
2023-07,11373
2023-08,12707
2023-09,13495
2023-10,13048
2023-11,13634
2023-12,17806
2024-01,13124
2024-02,10845
2024-03,12806
2024-04,12496
2024-05,13631
2024-06,14559
2024-07,13579
2024-08,14694
2024-09,14437
2024-10,14271
2024-11,13583
2024-12,17805
2025-01,12360
2025-02,9812
2025-03,2736
