Date,Presupuesto Base Cero
1987-12,84
1988-01,219
1988-02,75
1988-03,93
1988-04,60
1988-05,49
1988-06,131
1988-07,92
1988-08,77
1988-09,115
1988-10,65
1988-11,49
1988-12,120
1989-01,227
1989-02,74
1989-03,105
1989-04,71
1989-05,75
1989-06,93
1989-07,88
1989-08,97
1989-09,148
1989-10,73
1989-11,47
1989-12,149
1990-01,294
1990-02,75
1990-03,108
1990-04,84
1990-05,130
1990-06,118
1990-07,95
1990-08,115
1990-09,135
1990-10,88
1990-11,74
1990-12,102
1991-01,270
1991-02,74
1991-03,123
1991-04,116
1991-05,93
1991-06,137
1991-07,106
1991-08,121
1991-09,164
1991-10,101
1991-11,73
1991-12,107
1992-01,236
1992-02,72
1992-03,142
1992-04,131
1992-05,98
1992-06,183
1992-07,138
1992-08,151
1992-09,154
1992-10,140
1992-11,98
1992-12,142
1993-01,254
1993-02,111
1993-03,165
1993-04,165
1993-05,121
1993-06,196
1993-07,149
1993-08,139
1993-09,184
1993-10,159
1993-11,96
1993-12,143
1994-01,286
1994-02,110
1994-03,206
1994-04,116
1994-05,156
1994-06,160
1994-07,122
1994-08,145
1994-09,198
1994-10,158
1994-11,124
1994-12,167
1995-01,267
1995-02,96
1995-03,196
1995-04,126
1995-05,144
1995-06,212
1995-07,153
1995-08,120
1995-09,246
1995-10,190
1995-11,121
1995-12,171
1996-01,368
1996-02,110
1996-03,274
1996-04,148
1996-05,157
1996-06,257
1996-07,181
1996-08,117
1996-09,205
1996-10,191
1996-11,144
1996-12,208
1997-01,333
1997-02,169
1997-03,180
1997-04,195
1997-05,192
1997-06,242
1997-07,223
1997-08,186
1997-09,280
1997-10,188
1997-11,170
1997-12,205
1998-01,382
1998-02,139
1998-03,275
1998-04,182
1998-05,180
1998-06,278
1998-07,258
1998-08,185
1998-09,250
1998-10,240
1998-11,194
1998-12,226
1999-01,355
1999-02,146
1999-03,257
1999-04,198
1999-05,210
1999-06,299
1999-07,270
1999-08,286
1999-09,320
1999-10,188
1999-11,232
1999-12,220
2000-01,488
2000-02,166
2000-03,329
2000-04,241
2000-05,236
2000-06,308
2000-07,276
2000-08,201
2000-09,299
2000-10,266
2000-11,245
2000-12,263
2001-01,489
2001-02,169
2001-03,329
2001-04,248
2001-05,285
2001-06,340
2001-07,270
2001-08,287
2001-09,372
2001-10,383
2001-11,259
2001-12,301
2002-01,644
2002-02,242
2002-03,340
2002-04,279
2002-05,290
2002-06,306
2002-07,332
2002-08,263
2002-09,412
2002-10,298
2002-11,261
2002-12,334
2003-01,637
2003-02,268
2003-03,447
2003-04,305
2003-05,310
2003-06,506
2003-07,287
2003-08,299
2003-09,676
2003-10,341
2003-11,285
2003-12,364
2004-01,631
2004-02,307
2004-03,458
2004-04,428
2004-05,437
2004-06,567
2004-07,397
2004-08,437
2004-09,565
2004-10,472
2004-11,364
2004-12,390
2005-01,753
2005-02,415
2005-03,427
2005-04,441
2005-05,476
2005-06,559
2005-07,425
2005-08,414
2005-09,496
2005-10,516
2005-11,467
2005-12,501
2006-01,952
2006-02,447
2006-03,630
2006-04,485
2006-05,642
2006-06,960
2006-07,980
2006-08,889
2006-09,770
2006-10,1420
2006-11,897
2006-12,791
2007-01,1112
2007-02,603
2007-03,890
2007-04,863
2007-05,1047
2007-06,1110
2007-07,999
2007-08,1156
2007-09,1273
2007-10,966
2007-11,1042
2007-12,1109
2008-01,1066
2008-02,590
2008-03,867
2008-04,1110
2008-05,947
2008-06,1507
2008-07,1793
2008-08,993
2008-09,1407
2008-10,1918
2008-11,1160
2008-12,1868
2009-01,1247
2009-02,828
2009-03,1100
2009-04,1161
2009-05,1530
2009-06,1840
2009-07,1581
2009-08,1721
2009-09,1903
2009-10,1497
2009-11,1415
2009-12,2136
2010-01,1518
2010-02,851
2010-03,1535
2010-04,1143
2010-05,1919
2010-06,3072
2010-07,2386
2010-08,2686
2010-09,1799
2010-10,3441
2010-11,1847
2010-12,2268
2011-01,2069
2011-02,1267
2011-03,1508
2011-04,1830
2011-05,2446
2011-06,2810
2011-07,2661
2011-08,2985
2011-09,3262
2011-10,2411
2011-11,1943
2011-12,2205
2012-01,2427
2012-02,1428
2012-03,1728
2012-04,1437
2012-05,2486
