Month,Alianzas y Capital de Riesgo
2004-01,78.16091954022988
2004-02,75.86206896551724
2004-03,79.3103448275862
2004-04,65.51724137931035
2004-05,100.0
2004-06,57.47126436781609
2004-07,47.12643678160919
2004-08,50.57471264367817
2004-09,54.02298850574713
2004-10,66.66666666666666
2004-11,50.57471264367817
2004-12,57.47126436781609
2005-01,44.827586206896555
2005-02,44.827586206896555
2005-03,52.87356321839081
2005-04,50.57471264367817
2005-05,59.77011494252874
2005-06,41.37931034482759
2005-07,37.93103448275862
2005-08,39.08045977011494
2005-09,48.275862068965516
2005-10,49.42528735632184
2005-11,43.67816091954023
2005-12,33.33333333333333
2006-01,41.37931034482759
2006-02,41.37931034482759
2006-03,37.93103448275862
2006-04,40.229885057471265
2006-05,34.48275862068966
2006-06,26.436781609195403
2006-07,26.436781609195403
2006-08,28.735632183908045
2006-09,34.48275862068966
2006-10,33.33333333333333
2006-11,35.63218390804598
2006-12,32.18390804597701
2007-01,26.436781609195403
2007-02,26.436781609195403
2007-03,28.735632183908045
2007-04,40.229885057471265
2007-05,39.08045977011494
2007-06,27.586206896551722
2007-07,19.54022988505747
2007-08,28.735632183908045
2007-09,26.436781609195403
2007-10,32.18390804597701
2007-11,27.586206896551722
2007-12,20.689655172413794
2008-01,20.689655172413794
2008-02,25.287356321839084
2008-03,24.137931034482758
2008-04,33.33333333333333
2008-05,33.33333333333333
2008-06,25.287356321839084
2008-07,18.39080459770115
2008-08,14.942528735632186
2008-09,25.287356321839084
2008-10,25.287356321839084
2008-11,32.18390804597701
2008-12,18.39080459770115
2009-01,14.942528735632186
2009-02,22.988505747126435
2009-03,29.88505747126437
2009-04,31.03448275862069
2009-05,24.137931034482758
2009-06,16.091954022988507
2009-07,13.793103448275861
2009-08,13.793103448275861
2009-09,22.988505747126435
2009-10,26.436781609195403
2009-11,27.586206896551722
2009-12,14.942528735632186
2010-01,16.091954022988507
2010-02,17.24137931034483
2010-03,22.988505747126435
2010-04,24.137931034482758
2010-05,19.54022988505747
2010-06,14.942528735632186
2010-07,13.793103448275861
2010-08,11.494252873563218
2010-09,17.24137931034483
2010-10,18.39080459770115
2010-11,18.39080459770115
2010-12,12.643678160919542
2011-01,11.494252873563218
2011-02,18.39080459770115
2011-03,17.24137931034483
2011-04,20.689655172413794
2011-05,20.689655172413794
2011-06,9.195402298850574
2011-07,10.344827586206897
2011-08,9.195402298850574
2011-09,13.793103448275861
2011-10,17.24137931034483
2011-11,19.54022988505747
2011-12,9.195402298850574
2012-01,8.045977011494253
2012-02,14.942528735632186
2012-03,17.24137931034483
2012-04,19.54022988505747
2012-05,16.091954022988507
2012-06,9.195402298850574
2012-07,6.896551724137931
2012-08,6.896551724137931
2012-09,12.643678160919542
2012-10,17.24137931034483
2012-11,16.091954022988507
2012-12,11.494252873563218
2013-01,9.195402298850574
2013-02,12.643678160919542
2013-03,12.643678160919542
2013-04,16.091954022988507
2013-05,13.793103448275861
2013-06,8.045977011494253
2013-07,4.597701149425287
2013-08,4.597701149425287
2013-09,9.195402298850574
2013-10,13.793103448275861
2013-11,12.643678160919542
2013-12,8.045977011494253
2014-01,6.896551724137931
2014-02,12.643678160919542
2014-03,17.24137931034483
2014-04,17.24137931034483
2014-05,13.793103448275861
2014-06,6.896551724137931
2014-07,5.747126436781609
2014-08,3.4482758620689653
2014-09,9.195402298850574
2014-10,12.643678160919542
2014-11,13.793103448275861
2014-12,6.896551724137931
2015-01,5.747126436781609
2015-02,10.344827586206897
2015-03,13.793103448275861
2015-04,16.091954022988507
2015-05,10.344827586206897
2015-06,5.747126436781609
2015-07,4.597701149425287
2015-08,3.4482758620689653
2015-09,9.195402298850574
2015-10,13.793103448275861
2015-11,14.942528735632186
2015-12,8.045977011494253
2016-01,8.045977011494253
2016-02,9.195402298850574
2016-03,12.643678160919542
2016-04,16.091954022988507
2016-05,14.942528735632186
2016-06,6.896551724137931
2016-07,3.4482758620689653
2016-08,4.597701149425287
2016-09,10.344827586206897
2016-10,13.793103448275861
2016-11,13.793103448275861
2016-12,9.195402298850574
2017-01,6.896551724137931
2017-02,9.195402298850574
2017-03,16.091954022988507
2017-04,16.091954022988507
2017-05,14.942528735632186
2017-06,5.747126436781609
2017-07,3.4482758620689653
2017-08,2.2988505747126435
2017-09,8.045977011494253
2017-10,16.091954022988507
2017-11,14.942528735632186
2017-12,8.045977011494253
2018-01,5.747126436781609
2018-02,9.195402298850574
2018-03,11.494252873563218
2018-04,14.942528735632186
2018-05,12.643678160919542
2018-06,4.597701149425287
2018-07,3.4482758620689653
2018-08,2.2988505747126435
2018-09,8.045977011494253
2018-10,14.942528735632186
2018-11,12.643678160919542
2018-12,6.896551724137931
2019-01,4.597701149425287
2019-02,10.344827586206897
2019-03,10.344827586206897
2019-04,12.643678160919542
2019-05,9.195402298850574
2019-06,4.597701149425287
2019-07,3.4482758620689653
2019-08,2.2988505747126435
2019-09,8.045977011494253
2019-10,11.494252873563218
2019-11,13.793103448275861
2019-12,8.045977011494253
2020-01,6.896551724137931
2020-02,8.045977011494253
2020-03,8.045977011494253
2020-04,8.045977011494253
2020-05,5.747126436781609
2020-06,5.747126436781609
2020-07,4.597701149425287
2020-08,1.1494252873563218
2020-09,11.494252873563218
2020-10,11.494252873563218
2020-11,9.195402298850574
2020-12,5.747126436781609
2021-01,2.2988505747126435
2021-02,4.597701149425287
2021-03,11.494252873563218
2021-04,8.045977011494253
2021-05,9.195402298850574
2021-06,6.896551724137931
2021-07,2.2988505747126435
2021-08,1.1494252873563218
2021-09,5.747126436781609
