Year,Experiencia del Cliente
1950-01,3.8812732610555027
1951-01,4.32048822210407
1952-01,6.447213296655032
1953-01,5.268267874893086
1954-01,7.34875979564946
1955-01,4.875286067639103
1956-01,5.3607341824822585
1957-01,5.499433643866017
1958-01,5.476317066968724
1959-01,4.4823042603851215
1960-01,4.736586606255345
1961-01,4.782819760049932
1962-01,4.967752375228277
1963-01,3.5807577613906934
1964-01,4.32048822210407
1965-01,1.1072840333803369
1966-01,0.21498416514482552
1967-01,0.2635289766291409
1968-01,0.9223514182019925
1969-01,0.9223514182019925
1970-01,0.0
1971-01,1.7545481865045418
1972-01,0.13176448831457024
1973-01,1.1997503409695092
1974-01,1.5927321482234909
1975-01,1.153517187174923
1976-01,0.2727756073880579
1977-01,1.5927321482234909
1978-01,1.638965302018077
1979-01,0.8298851106128203
1980-01,2.286229455142282
1981-01,1.3384498023532676
1982-01,2.7947941468827295
1983-01,2.4480454934233333
1984-01,2.910377031369195
1985-01,5.152684990406621
1986-01,18.25978409117178
1987-01,12.734922212718738
1988-01,18.375366975658245
1989-01,20.61767493469567
1990-01,27.41394854249982
1991-01,36.42941353244411
1992-01,41.515060449848576
1993-01,48.450033519036495
1994-01,47.52537044314477
1995-01,62.78231119535819
1996-01,68.33028965070852
1997-01,58.390161584872516
1998-01,71.10427887838368
1999-01,89.3663746272452
2000-01,85.89888809265123
2001-01,93.75852423773088
2002-01,95.60785038951433
2003-01,98.3818396171895
2004-01,100.0
2005-01,89.82870616519105
2006-01,93.75852423773088
2007-01,86.82355116854296
2008-01,88.44171155135348
2009-01,75.7275942578423
2010-01,79.42624656140919
2011-01,76.65225733373401
2012-01,82.66256732703022
2013-01,75.49642848886936
2014-01,72.7224392611942
2015-01,63.93814004022285
2016-01,59.0836588917913
2017-01,52.14868582260338
2018-01,50.530525439792875
2019-01,52.37985159157631
2020-01,53.0733488984951
2021-01,62.551145426385254
2022-01,57.23433274000785
