Year,Gestión del Cambio
1950-01,0.0397984886649874
1951-01,0.04282115869017632
1952-01,0.0
1953-01,0.1428211586901763
1954-01,0.04231738035264483
1955-01,0.0
1956-01,0.05768261964735516
1957-01,0.0
1958-01,0.2420654911838791
1959-01,0.12065491183879092
1960-01,0.04861460957178841
1961-01,0.015113350125944584
1962-01,0.07430730478589422
1963-01,0.327455919395466
1964-01,0.13602015113350124
1965-01,0.20806045340050378
1966-01,0.31989924433249367
1967-01,0.19647355163727956
1968-01,0.13677581863979846
1969-01,0.27707808564231734
1970-01,1.0957178841309823
1971-01,0.48110831234256923
1972-01,1.2367758186397984
1973-01,0.42569269521410574
1974-01,0.8161209068010076
1975-01,0.25012594458438286
1976-01,0.5062972292191434
1977-01,0.3702770780856423
1978-01,0.8942065491183879
1979-01,0.8765743073047859
1980-01,0.795969773299748
1981-01,1.0327455919395467
1982-01,2.2443324937027707
1983-01,1.3501259445843827
1984-01,2.246851385390428
1985-01,2.871536523929471
1986-01,1.8236775818639799
1987-01,3.27455919395466
1988-01,4.332493702770781
1989-01,3.8790931989924426
1990-01,6.624685138539042
1991-01,6.297229219143576
1992-01,9.949622166246852
1993-01,9.59697732997481
1994-01,21.133501259445843
1995-01,17.758186397984886
1996-01,19.823677581863976
1997-01,23.27455919395466
1998-01,21.083123425692698
1999-01,28.21158690176322
2000-01,33.249370277078086
2001-01,27.204030226700247
2002-01,37.78337531486146
2003-01,40.050377833753146
2004-01,38.539042821158695
2005-01,43.82871536523929
2006-01,42.569269521410575
2007-01,59.94962216624684
2008-01,58.43828715365239
2009-01,66.49874055415617
2010-01,67.2544080604534
2011-01,72.04030226700252
2012-01,75.81863979848866
2013-01,100.0
2014-01,65.99496221662467
2015-01,68.76574307304786
2016-01,72.544080604534
2017-01,88.66498740554155
2018-01,74.55919395465995
2019-01,67.75818639798487
2020-01,63.72795969773299
2021-01,68.5138539042821
2022-01,72.04030226700252
