Date,Reingeniería de Procesos
1987-12,381
1988-01,375
1988-02,68
1988-03,79
1988-04,62
1988-05,79
1988-06,81
1988-07,58
1988-08,102
1988-09,94
1988-10,47
1988-11,47
1988-12,395
1989-01,386
1989-02,81
1989-03,86
1989-04,65
1989-05,81
1989-06,88
1989-07,89
1989-08,104
1989-09,95
1989-10,71
1989-11,71
1989-12,496
1990-01,483
1990-02,83
1990-03,92
1990-04,71
1990-05,85
1990-06,102
1990-07,78
1990-08,101
1990-09,136
1990-10,90
1990-11,69
1990-12,498
1991-01,487
1991-02,91
1991-03,153
1991-04,147
1991-05,109
1991-06,108
1991-07,100
1991-08,129
1991-09,131
1991-10,89
1991-11,78
1991-12,532
1992-01,547
1992-02,122
1992-03,145
1992-04,144
1992-05,148
1992-06,137
1992-07,95
1992-08,130
1992-09,152
1992-10,125
1992-11,132
1992-12,601
1993-01,599
1993-02,141
1993-03,163
1993-04,143
1993-05,160
1993-06,181
1993-07,143
1993-08,152
1993-09,152
1993-10,121
1993-11,146
1993-12,0
1994-01,711
1994-02,144
1994-03,156
1994-04,140
1994-05,152
1994-06,165
1994-07,168
1994-08,178
1994-09,184
1994-10,142
1994-11,171
1994-12,949
1995-01,915
1995-02,179
1995-03,195
1995-04,145
1995-05,202
1995-06,220
1995-07,173
1995-08,206
1995-09,211
1995-10,156
1995-11,186
1995-12,986
1996-01,952
1996-02,219
1996-03,256
1996-04,186
1996-05,239
1996-06,256
1996-07,202
1996-08,243
1996-09,217
1996-10,189
1996-11,228
1996-12,980
1997-01,920
1997-02,235
1997-03,246
1997-04,203
1997-05,275
1997-06,304
1997-07,229
1997-08,262
1997-09,241
1997-10,161
1997-11,211
1997-12,943
1998-01,894
1998-02,255
1998-03,285
1998-04,190
1998-05,236
1998-06,295
1998-07,220
1998-08,265
1998-09,254
1998-10,162
1998-11,235
1998-12,1112
1999-01,992
1999-02,220
1999-03,244
1999-04,217
1999-05,248
1999-06,288
1999-07,233
1999-08,258
1999-09,243
1999-10,205
1999-11,245
1999-12,1232
2000-01,1191
2000-02,255
2000-03,268
2000-04,218
2000-05,249
2000-06,317
2000-07,246
2000-08,220
2000-09,224
2000-10,226
2000-11,226
2000-12,1201
2001-01,1154
2001-02,230
2001-03,278
2001-04,232
2001-05,258
2001-06,336
2001-07,213
2001-08,229
2001-09,254
2001-10,225
2001-11,227
2001-12,1258
2002-01,1177
2002-02,252
2002-03,279
2002-04,196
2002-05,193
2002-06,291
2002-07,267
2002-08,239
2002-09,266
2002-10,233
2002-11,289
2002-12,1274
2003-01,1249
2003-02,282
2003-03,321
2003-04,293
2003-05,256
2003-06,306
2003-07,288
2003-08,292
2003-09,346
2003-10,259
2003-11,263
2003-12,1422
2004-01,1364
2004-02,310
2004-03,352
2004-04,313
2004-05,379
2004-06,403
2004-07,298
2004-08,397
2004-09,386
2004-10,327
2004-11,324
2004-12,1782
2005-01,1673
2005-02,301
2005-03,355
2005-04,335
2005-05,382
2005-06,416
2005-07,356
2005-08,323
2005-09,436
2005-10,344
2005-11,331
2005-12,2213
2006-01,2198
2006-02,392
2006-03,482
2006-04,440
2006-05,485
2006-06,473
2006-07,407
2006-08,449
2006-09,603
2006-10,501
2006-11,467
2006-12,1928
2007-01,1838
2007-02,423
2007-03,569
2007-04,474
2007-05,533
2007-06,574
2007-07,591
2007-08,584
2007-09,575
2007-10,509
2007-11,569
2007-12,2189
2008-01,2009
2008-02,416
2008-03,710
2008-04,602
2008-05,555
2008-06,679
2008-07,520
2008-08,513
2008-09,735
2008-10,691
2008-11,729
2008-12,3076
2009-01,2798
2009-02,571
2009-03,611
2009-04,633
2009-05,627
2009-06,784
2009-07,715
2009-08,796
2009-09,799
2009-10,658
2009-11,702
2009-12,2911
2010-01,2714
2010-02,553
2010-03,760
2010-04,799
2010-05,966
2010-06,841
2010-07,826
2010-08,818
2010-09,933
2010-10,958
2010-11,830
2010-12,2962
2011-01,2778
2011-02,739
2011-03,795
2011-04,1093
2011-05,1277
2011-06,1131
2011-07,1021
2011-08,1063
2011-09,960
2011-10,774
2011-11,870
2011-12,3480
2012-01,3561
2012-02,789
2012-03,987
2012-04,797
2012-05,938
2012-06,1100
2012-07,878
2012-08,835
2012-09,1064
2012-10,929
2012-11,996
2012-12,4095
2013-01,3865
2013-02,798
2013-03,907
2013-04,796
2013-05,968
2013-06,1063
2013-07,879
2013-08,1009
2013-09,1161
2013-10,1136
2013-11,1196
2013-12,4058
2014-01,3902
2014-02,949
2014-03,937
2014-04,942
2014-05,1031
2014-06,1116
2014-07,1099
2014-08,1119
2014-09,1246
2014-10,1159
2014-11,1178
2014-12,4858
2015-01,4530
2015-02,899
2015-03,1103
2015-04,949
2015-05,1000
2015-06,1055
2015-07,952
2015-08,1013
2015-09,1133
2015-10,1251
2015-11,1163
2015-12,4842
2016-01,4575
2016-02,1098
2016-03,1189
2016-04,1177
2016-05,1184
2016-06,1242
2016-07,1093
2016-08,1251
2016-09,1454
2016-10,1245
2016-11,1363
2016-12,5148
2017-01,4744
2017-02,1048
2017-03,1161
2017-04,1087
2017-05,1190
2017-06,1410
2017-07,1503
2017-08,1411
2017-09,1594
2017-10,1447
2017-11,1548
2017-12,5807
2018-01,5331
2018-02,1147
2018-03,1414
2018-04,1258
2018-05,1378
2018-06,1554
2018-07,1478
2018-08,1480
2018-09,1762
2018-10,1759
2018-11,1440
2018-12,6229
2019-01,5899
2019-02,1304
2019-03,1553
2019-04,1478
2019-05,1551
2019-06,1765
2019-07,1621
2019-08,1615
2019-09,1928
2019-10,1955
2019-11,1996
2019-12,7115
2020-01,7153
2020-02,1487
2020-03,1589
2020-04,1371
2020-05,1469
2020-06,1891
2020-07,1762
2020-08,1744
2020-09,1786
2020-10,1845
2020-11,2007
2020-12,8001
2021-01,7533
2021-02,1643
2021-03,1872
2021-04,1697
2021-05,1769
2021-06,1842
2021-07,1662
2021-08,2042
2021-09,1851
2021-10,1911
2021-11,2067
2021-12,8129
2022-01,8045
2022-02,1648
2022-03,1971
2022-04,1710
2022-05,1764
2022-06,2171
2022-07,1913
2022-08,1921
2022-09,1994
2022-10,1892
2022-11,2096
2022-12,8745
2023-01,8310
2023-02,1708
2023-03,2111
2023-04,1711
2023-05,1938
2023-06,2457
2023-07,1957
2023-08,2106
2023-09,2137
2023-10,2273
2023-11,2261
2023-12,9304
2024-01,8509
2024-02,1859
2024-03,2118
2024-04,2025
2024-05,2231
2024-06,2395
2024-07,2154
2024-08,2233
2024-09,2276
2024-10,2258
2024-11,2310
2024-12,3893
2025-01,3023
2025-02,1581
2025-03,965
