Date,Alianzas y Capital de Riesgo
1950-01,24
1950-02,8
1950-03,10
1950-04,9
1950-05,10
1950-06,14
1950-07,9
1950-08,5
1950-09,7
1950-10,8
1950-11,12
1950-12,23
1951-01,12
1951-02,8
1951-03,10
1951-04,14
1951-05,11
1951-06,8
1951-07,6
1951-08,7
1951-09,10
1951-10,3
1951-11,6
1951-12,43
1952-01,24
1952-02,10
1952-03,11
1952-04,16
1952-05,13
1952-06,14
1952-07,12
1952-08,7
1952-09,8
1952-10,6
1952-11,11
1952-12,46
1953-01,22
1953-02,11
1953-03,10
1953-04,14
1953-05,14
1953-06,9
1953-07,3
1953-08,10
1953-09,13
1953-10,8
1953-11,15
1953-12,43
1954-01,29
1954-02,16
1954-03,11
1954-04,11
1954-05,8
1954-06,4
1954-07,7
1954-08,10
1954-09,7
1954-10,10
1954-11,16
1954-12,27
1955-01,23
1955-02,17
1955-03,14
1955-04,19
1955-05,19
1955-06,10
1955-07,8
1955-08,14
1955-09,13
1955-10,9
1955-11,9
1955-12,21
1956-01,23
1956-02,13
1956-03,12
1956-04,16
1956-05,19
1956-06,20
1956-07,8
1956-08,15
1956-09,19
1956-10,9
1956-11,13
1956-12,29
1957-01,23
1957-02,17
1957-03,23
1957-04,17
1957-05,24
1957-06,21
1957-07,16
1957-08,17
1957-09,15
1957-10,13
1957-11,12
1957-12,35
1958-01,33
1958-02,21
1958-03,16
1958-04,14
1958-05,19
1958-06,17
1958-07,12
1958-08,17
1958-09,22
1958-10,16
1958-11,24
1958-12,45
1959-01,29
1959-02,19
1959-03,23
1959-04,17
1959-05,16
1959-06,22
1959-07,20
1959-08,17
1959-09,15
1959-10,10
1959-11,18
1959-12,51
1960-01,37
1960-02,17
1960-03,13
1960-04,11
1960-05,11
1960-06,15
1960-07,8
1960-08,17
1960-09,28
1960-10,17
1960-11,21
1960-12,84
1961-01,49
1961-02,21
1961-03,27
1961-04,23
1961-05,13
1961-06,15
1961-07,14
1961-08,19
1961-09,22
1961-10,18
1961-11,21
1961-12,56
1962-01,32
1962-02,24
1962-03,28
1962-04,23
1962-05,22
1962-06,21
1962-07,17
1962-08,23
1962-09,25
1962-10,20
1962-11,34
1962-12,65
1963-01,39
1963-02,19
1963-03,23
1963-04,15
1963-05,17
1963-06,16
1963-07,12
1963-08,21
1963-09,24
1963-10,14
1963-11,26
1963-12,101
1964-01,57
1964-02,18
1964-03,25
1964-04,28
1964-05,30
1964-06,34
1964-07,23
1964-08,20
1964-09,24
1964-10,26
1964-11,41
1964-12,110
1965-01,62
1965-02,25
1965-03,36
1965-04,34
1965-05,23
1965-06,29
1965-07,22
1965-08,28
1965-09,34
1965-10,30
1965-11,35
1965-12,94
1966-01,66
1966-02,32
1966-03,34
1966-04,32
1966-05,35
1966-06,33
1966-07,28
1966-08,28
1966-09,34
1966-10,29
1966-11,40
1966-12,144
1967-01,93
1967-02,42
1967-03,46
1967-04,34
1967-05,39
1967-06,46
1967-07,34
1967-08,30
1967-09,33
1967-10,19
1967-11,46
1967-12,119
1968-01,87
1968-02,45
1968-03,46
1968-04,25
1968-05,33
1968-06,42
1968-07,32
1968-08,44
1968-09,53
1968-10,31
1968-11,47
1968-12,138
1969-01,108
1969-02,51
1969-03,40
1969-04,35
1969-05,47
1969-06,52
1969-07,46
1969-08,48
1969-09,43
1969-10,37
1969-11,48
1969-12,389
1970-01,327
1970-02,57
1970-03,82
1970-04,70
1970-05,56
1970-06,44
1970-07,41
1970-08,53
1970-09,52
1970-10,44
1970-11,61
1970-12,151
1971-01,128
1971-02,49
1971-03,58
1971-04,48
1971-05,55
1971-06,58
1971-07,55
1971-08,81
1971-09,62
1971-10,53
1971-11,66
1971-12,170
1972-01,146
1972-02,63
1972-03,67
1972-04,55
1972-05,56
1972-06,57
1972-07,66
1972-08,78
1972-09,57
1972-10,42
1972-11,62
1972-12,195
1973-01,185
1973-02,69
1973-03,83
1973-04,76
1973-05,75
1973-06,64
1973-07,61
1973-08,100
1973-09,98
1973-10,59
1973-11,90
1973-12,232
1974-01,204
1974-02,95
1974-03,98
1974-04,75
1974-05,111
1974-06,105
1974-07,92
1974-08,108
1974-09,98
1974-10,88
1974-11,95
1974-12,267
1975-01,238
1975-02,91
1975-03,119
1975-04,90
1975-05,87
1975-06,98
1975-07,93
1975-08,119
1975-09,114
1975-10,91
1975-11,131
1975-12,509
1976-01,452
1976-02,116
1976-03,141
1976-04,111
1976-05,97
1976-06,99
1976-07,112
1976-08,154
1976-09,136
1976-10,74
1976-11,89
