Year,Alianzas y Capital de Riesgo
1993-01,10
1999-01,15
2000-01,1
2002-01,28
2004-01,55
2006-01,24
2008-01,32
2010-01,55
2012-01,32
2014-01,46
2017-01,51
2022-01,100
