Year,Propósito y Visión
1950-01,0.0
1951-01,0.29668411867364747
1952-01,0.0
1953-01,0.8481675392670158
1954-01,0.14642233856893544
1955-01,0.13944153577661433
1956-01,0.2670157068062827
1957-01,0.7574171029668412
1958-01,1.418848167539267
1959-01,0.8359511343804539
1960-01,0.33682373472949395
1961-01,0.0
1962-01,0.41186736474694596
1963-01,1.181500872600349
1964-01,0.9895287958115183
1965-01,0.44328097731239097
1966-01,1.5828970331588132
1967-01,0.193717277486911
1968-01,3.228621291448517
1969-01,2.722513089005236
1970-01,0.9598603839441536
1971-01,1.4834205933682374
1972-01,0.8603839441535777
1973-01,1.317626527050611
1974-01,5.49738219895288
1975-01,9.668411867364748
1976-01,1.7452006980802797
1977-01,1.5602094240837698
1978-01,11.69284467713787
1979-01,4.066317626527051
1980-01,4.7643979057591626
1981-01,17.80104712041885
1982-01,12.61780104712042
1983-01,11.884816753926703
1984-01,16.788830715532285
1985-01,12.67015706806283
1986-01,33.50785340314136
1987-01,21.81500872600349
1988-01,20.069808027923212
1989-01,28.795811518324605
1990-01,43.28097731239093
1991-01,43.1064572425829
1992-01,41.710296684118674
1993-01,46.77137870855148
1994-01,53.57766143106457
1995-01,67.36474694589879
1996-01,67.71378708551484
1997-01,85.16579406631763
1998-01,89.00523560209425
1999-01,75.39267015706808
2000-01,70.68062827225131
2001-01,68.76090750436302
2002-01,64.04886561954625
2003-01,59.68586387434556
2004-01,81.67539267015708
2005-01,71.55322862129145
2006-01,79.05759162303666
2007-01,65.27050610820244
2008-01,75.91623036649216
2009-01,100.0
2010-01,83.59511343804537
2011-01,82.37347294938918
2012-01,68.93542757417104
2013-01,85.86387434554975
2014-01,66.66666666666666
2015-01,93.54275741710296
2016-01,91.09947643979058
2017-01,80.97731239092496
2018-01,74.52006980802793
2019-01,76.26527050610821
2020-01,63.525305410122165
2021-01,72.94938917975567
2022-01,65.79406631762653
