Date,Fusiones y Adquisiciones
1987-11,18
1987-12,33
1988-01,141
1988-02,22
1988-03,52
1988-04,29
1988-05,23
1988-06,64
1988-07,18
1988-08,22
1988-09,38
1988-10,21
1988-11,22
1988-12,35
1989-01,186
1989-02,24
1989-03,55
1989-04,27
1989-05,38
1989-06,46
1989-07,37
1989-08,44
1989-09,71
1989-10,28
1989-11,23
1989-12,53
1990-01,164
1990-02,18
1990-03,71
1990-04,37
1990-05,23
1990-06,64
1990-07,30
1990-08,26
1990-09,102
1990-10,34
1990-11,13
1990-12,78
1991-01,241
1991-02,28
1991-03,92
1991-04,78
1991-05,23
1991-06,108
1991-07,40
1991-08,20
1991-09,84
1991-10,24
1991-11,31
1991-12,64
1992-01,133
1992-02,19
1992-03,91
1992-04,91
1992-05,34
1992-06,85
1992-07,45
1992-08,49
1992-09,120
1992-10,33
1992-11,27
1992-12,117
1993-01,104
1993-02,39
1993-03,125
1993-04,53
1993-05,35
1993-06,112
1993-07,53
1993-08,48
1993-09,131
1993-10,53
1993-11,21
1993-12,117
1994-01,170
1994-02,37
1994-03,108
1994-04,54
1994-05,38
1994-06,156
1994-07,44
1994-08,39
1994-09,134
1994-10,40
1994-11,27
1994-12,139
1995-01,113
1995-02,36
1995-03,148
1995-04,67
1995-05,38
1995-06,141
1995-07,50
1995-08,40
1995-09,155
1995-10,77
1995-11,58
1995-12,129
1996-01,120
1996-02,49
1996-03,146
1996-04,65
1996-05,38
1996-06,176
1996-07,71
1996-08,43
1996-09,147
1996-10,58
1996-11,39
1996-12,156
1997-01,102
1997-02,69
1997-03,183
1997-04,62
1997-05,40
1997-06,145
1997-07,108
1997-08,54
1997-09,177
1997-10,76
1997-11,64
1997-12,197
1998-01,148
1998-02,61
1998-03,177
1998-04,67
1998-05,38
1998-06,185
1998-07,91
1998-08,46
1998-09,145
1998-10,50
1998-11,66
1998-12,158
1999-01,128
1999-02,71
1999-03,126
1999-04,78
1999-05,57
1999-06,154
1999-07,61
1999-08,78
1999-09,151
1999-10,79
1999-11,68
1999-12,134
2000-01,223
2000-02,62
2000-03,198
2000-04,88
2000-05,81
2000-06,231
2000-07,111
2000-08,110
2000-09,174
2000-10,91
2000-11,87
2000-12,177
2001-01,251
2001-02,93
2001-03,206
2001-04,144
2001-05,71
2001-06,156
2001-07,126
2001-08,93
2001-09,198
2001-10,85
2001-11,77
2001-12,387
2002-01,194
2002-02,91
2002-03,188
2002-04,132
2002-05,101
2002-06,147
2002-07,102
2002-08,86
2002-09,220
2002-10,132
2002-11,59
2002-12,233
2003-01,238
2003-02,106
2003-03,166
2003-04,113
2003-05,93
2003-06,180
2003-07,103
2003-08,133
2003-09,191
2003-10,154
2003-11,105
2003-12,210
2004-01,247
2004-02,132
2004-03,217
2004-04,151
2004-05,71
2004-06,205
2004-07,160
2004-08,134
2004-09,179
2004-10,144
2004-11,81
2004-12,177
2005-01,207
2005-02,117
2005-03,241
2005-04,168
2005-05,109
2005-06,252
2005-07,152
2005-08,159
2005-09,210
2005-10,130
2005-11,90
2005-12,290
2006-01,246
2006-02,134
2006-03,213
2006-04,169
2006-05,98
2006-06,253
2006-07,217
2006-08,190
2006-09,253
2006-10,215
2006-11,128
2006-12,172
2007-01,300
2007-02,141
2007-03,257
2007-04,173
2007-05,168
2007-06,291
2007-07,140
2007-08,261
2007-09,258
2007-10,206
2007-11,150
2007-12,409
2008-01,291
2008-02,215
2008-03,205
2008-04,184
2008-05,157
2008-06,297
2008-07,178
2008-08,192
2008-09,386
2008-10,200
2008-11,201
2008-12,379
2009-01,357
2009-02,244
2009-03,209
2009-04,217
2009-05,220
2009-06,273
2009-07,177
2009-08,299
2009-09,456
2009-10,305
2009-11,224
2009-12,293
2010-01,370
2010-02,206
2010-03,306
2010-04,252
2010-05,220
2010-06,283
2010-07,254
2010-08,395
2010-09,355
2010-10,385
2010-11,340
2010-12,476
2011-01,393
2011-02,235
2011-03,324
2011-04,295
2011-05,379
2011-06,369
2011-07,270
2011-08,489
2011-09,414
2011-10,292
2011-11,286
2011-12,400
2012-01,1481
2012-02,252
2012-03,317
2012-04,311
2012-05,368
2012-06,519
2012-07,489
2012-08,330
2012-09,384
2012-10,343
2012-11,340
2012-12,503
2013-01,634
2013-02,257
2013-03,309
2013-04,340
2013-05,316
2013-06,452
2013-07,471
2013-08,325
2013-09,465
2013-10,441
2013-11,463
2013-12,434
2014-01,638
2014-02,380
2014-03,396
2014-04,400
2014-05,393
2014-06,471
2014-07,399
2014-08,417
2014-09,513
2014-10,603
2014-11,420
2014-12,550
2015-01,779
2015-02,355
2015-03,473
2015-04,364
2015-05,306
2015-06,547
2015-07,442
2015-08,444
2015-09,504
2015-10,587
2015-11,392
2015-12,608
2016-01,706
2016-02,339
2016-03,461
2016-04,613
2016-05,451
2016-06,593
2016-07,413
2016-08,417
2016-09,610
2016-10,600
2016-11,518
2016-12,740
2017-01,474
2017-02,486
2017-03,612
2017-04,495
2017-05,571
2017-06,617
2017-07,559
2017-08,811
2017-09,802
2017-10,598
2017-11,672
2017-12,815
2018-01,589
2018-02,471
2018-03,615
2018-04,625
2018-05,526
2018-06,702
2018-07,696
2018-08,900
2018-09,661
2018-10,774
2018-11,636
2018-12,869
2019-01,623
2019-02,532
2019-03,782
2019-04,619
2019-05,616
2019-06,836
2019-07,670
2019-08,957
2019-09,803
2019-10,819
2019-11,964
2019-12,1331
2020-01,822
2020-02,632
2020-03,787
2020-04,702
2020-05,577
2020-06,1042
2020-07,871
2020-08,1052
2020-09,873
2020-10,1014
2020-11,978
2020-12,1418
2021-01,883
2021-02,772
2021-03,943
2021-04,826
2021-05,924
2021-06,1152
2021-07,881
2021-08,1170
2021-09,933
2021-10,977
2021-11,957
2021-12,1563
2022-01,1055
2022-02,829
2022-03,989
2022-04,963
2022-05,974
2022-06,1456
2022-07,1050
2022-08,1347
2022-09,1171
2022-10,1031
2022-11,1127
2022-12,1804
2023-01,1219
2023-02,937
2023-03,1309
2023-04,1132
2023-05,1169
2023-06,1648
2023-07,1231
2023-08,1517
2023-09,1442
2023-10,1408
2023-11,1522
2023-12,1974
2024-01,1659
2024-02,1323
2024-03,1236
2024-04,1544
2024-05,1452
2024-06,1714
2024-07,1726
2024-08,1915
2024-09,1530
2024-10,1544
2024-11,1482
2024-12,2069
2025-01,1430
2025-02,937
