Date,Gestión de la Cadena de Suministro
1987-09,509
1987-10,472
1987-11,482
1987-12,1806
1988-01,1786
1988-02,536
1988-03,521
1988-04,461
1988-05,486
1988-06,526
1988-07,486
1988-08,530
1988-09,523
1988-10,482
1988-11,528
1988-12,1963
1989-01,1911
1989-02,548
1989-03,567
1989-04,569
1989-05,551
1989-06,536
1989-07,557
1989-08,584
1989-09,599
1989-10,557
1989-11,564
1989-12,2121
1990-01,2048
1990-02,638
1990-03,676
1990-04,639
1990-05,653
1990-06,668
1990-07,607
1990-08,700
1990-09,796
1990-10,630
1990-11,604
1990-12,2320
1991-01,2264
1991-02,665
1991-03,740
1991-04,747
1991-05,681
1991-06,701
1991-07,690
1991-08,705
1991-09,749
1991-10,684
1991-11,713
1991-12,2251
1992-01,2222
1992-02,810
1992-03,888
1992-04,796
1992-05,824
1992-06,858
1992-07,763
1992-08,764
1992-09,856
1992-10,833
1992-11,860
1992-12,2377
1993-01,2341
1993-02,879
1993-03,930
1993-04,936
1993-05,922
1993-06,912
1993-07,798
1993-08,912
1993-09,948
1993-10,816
1993-11,831
1993-12,2710
1994-01,2643
1994-02,880
1994-03,903
1994-04,780
1994-05,884
1994-06,912
1994-07,821
1994-08,925
1994-09,967
1994-10,845
1994-11,940
1994-12,2910
1995-01,2808
1995-02,959
1995-03,1088
1995-04,929
1995-05,940
1995-06,980
1995-07,921
1995-08,1014
1995-09,1072
1995-10,941
1995-11,941
1995-12,3086
1996-01,2984
1996-02,1016
1996-03,1101
1996-04,957
1996-05,958
1996-06,1021
1996-07,930
1996-08,985
1996-09,1063
1996-10,949
1996-11,980
1996-12,3021
1997-01,2944
1997-02,1033
1997-03,1117
1997-04,1119
1997-05,1186
1997-06,1151
1997-07,1036
1997-08,1106
1997-09,1048
1997-10,924
1997-11,1058
1997-12,3007
1998-01,2849
1998-02,1041
1998-03,1165
1998-04,1080
1998-05,1179
1998-06,1179
1998-07,1007
1998-08,1069
1998-09,1079
1998-10,999
1998-11,1110
1998-12,3128
1999-01,2964
1999-02,1110
1999-03,1189
1999-04,1033
1999-05,1127
1999-06,1177
1999-07,974
1999-08,1068
1999-09,1120
1999-10,943
1999-11,1088
1999-12,3601
2000-01,3445
2000-02,1084
2000-03,1260
2000-04,1039
2000-05,1108
2000-06,1227
2000-07,1021
2000-08,1265
2000-09,1205
2000-10,1042
2000-11,1142
2000-12,3480
2001-01,3287
2001-02,1164
2001-03,1413
2001-04,1133
2001-05,1307
2001-06,1268
2001-07,1038
2001-08,1144
2001-09,1228
2001-10,1172
2001-11,1073
2001-12,3887
2002-01,3559
2002-02,1144
2002-03,1334
2002-04,1169
2002-05,1207
2002-06,1241
2002-07,1165
2002-08,1315
2002-09,1404
2002-10,1149
2002-11,1220
2002-12,4283
2003-01,4012
2003-02,1314
2003-03,1379
2003-04,1118
2003-05,1209
2003-06,1301
2003-07,1110
2003-08,1308
2003-09,1369
2003-10,1217
2003-11,1258
2003-12,5263
2004-01,4942
2004-02,1375
2004-03,1418
2004-04,1255
2004-05,1472
2004-06,1606
2004-07,1263
2004-08,1310
2004-09,1383
2004-10,1275
2004-11,1418
2004-12,4768
2005-01,4514
2005-02,1297
2005-03,1427
2005-04,1297
2005-05,1439
2005-06,1576
2005-07,1288
2005-08,1413
2005-09,1409
2005-10,1406
2005-11,1611
2005-12,5729
2006-01,5552
2006-02,1410
2006-03,1603
2006-04,1605
2006-05,1690
2006-06,1867
2006-07,1578
2006-08,1663
2006-09,1906
2006-10,1972
2006-11,1775
2006-12,5149
2007-01,4990
2007-02,1539
2007-03,1883
2007-04,1625
2007-05,1923
2007-06,1901
2007-07,1857
2007-08,2049
2007-09,1815
2007-10,1774
2007-11,2128
2007-12,6092
2008-01,5544
2008-02,1642
2008-03,1869
2008-04,1874
2008-05,2042
2008-06,2133
2008-07,1813
2008-08,2072
2008-09,3192
2008-10,2637
2008-11,2451
2008-12,7735
2009-01,7122
2009-02,1747
2009-03,2492
2009-04,2574
2009-05,2072
2009-06,2344
2009-07,2086
2009-08,2739
2009-09,2877
2009-10,2168
2009-11,2385
2009-12,8262
2010-01,7649
2010-02,1677
2010-03,2241
2010-04,2237
2010-05,2531
2010-06,2657
2010-07,3327
2010-08,2831
2010-09,2865
2010-10,2992
2010-11,3006
2010-12,8147
2011-01,7548
2011-02,1966
2011-03,2269
2011-04,2704
2011-05,3158
2011-06,2877
2011-07,3122
2011-08,3575
2011-09,2953
2011-10,2582
2011-11,2898
2011-12,9385
2012-01,9351
2012-02,2152
2012-03,2331
2012-04,2562
2012-05,3142
2012-06,3160
2012-07,2542
2012-08,2488
2012-09,3179
2012-10,3159
2012-11,3279
2012-12,11048
2013-01,10278
2013-02,2211
2013-03,2565
2013-04,2618
2013-05,2900
2013-06,3290
2013-07,2800
2013-08,2967
2013-09,3390
2013-10,3354
2013-11,3080
2013-12,11142
2014-01,10574
2014-02,2527
2014-03,2909
2014-04,2846
2014-05,3224
2014-06,3276
2014-07,2938
2014-08,3262
2014-09,3584
2014-10,3653
2014-11,3561
2014-12,13148
2015-01,12225
2015-02,2605
2015-03,2852
2015-04,2801
2015-05,3113
2015-06,3228
2015-07,2660
2015-08,3211
2015-09,3345
2015-10,3662
2015-11,3412
2015-12,13803
2016-01,12789
2016-02,2860
2016-03,3278
2016-04,3506
2016-05,3421
2016-06,3599
2016-07,2972
2016-08,3217
2016-09,4083
2016-10,3829
2016-11,3871
2016-12,13707
2017-01,12625
2017-02,2844
2017-03,3692
2017-04,3335
2017-05,3770
2017-06,4228
2017-07,4290
2017-08,3853
2017-09,4461
2017-10,4166
2017-11,4520
2017-12,15747
2018-01,14747
2018-02,3385
2018-03,3886
2018-04,4046
2018-05,4351
2018-06,4210
2018-07,4382
2018-08,4501
2018-09,5390
2018-10,5458
2018-11,4545
2018-12,16922
2019-01,15875
2019-02,3835
2019-03,4482
2019-04,4249
2019-05,4739
2019-06,5076
2019-07,4536
2019-08,4853
2019-09,5832
2019-10,5999
2019-11,5737
2019-12,18411
2020-01,17176
2020-02,4376
2020-03,4899
2020-04,4385
2020-05,4557
2020-06,5212
2020-07,4955
2020-08,4963
2020-09,5530
2020-10,5798
2020-11,6010
2020-12,21334
2021-01,19211
2021-02,4779
2021-03,5643
2021-04,5086
2021-05,5247
2021-06,5917
2021-07,5144
2021-08,5640
2021-09,6004
2021-10,6053
2021-11,6117
2021-12,22568
2022-01,20581
2022-02,4727
2022-03,5222
2022-04,5206
2022-05,5689
2022-06,6412
2022-07,5503
2022-08,6053
2022-09,6394
2022-10,5999
2022-11,6796
2022-12,25134
2023-01,22584
2023-02,5240
2023-03,6152
2023-04,5465
2023-05,5937
2023-06,6761
2023-07,5971
2023-08,6243
2023-09,6812
2023-10,6867
2023-11,7735
2023-12,27504
2024-01,24759
2024-02,6226
2024-03,6450
2024-04,6774
2024-05,7613
2024-06,7729
2024-07,7107
2024-08,6970
2024-09,7176
2024-10,7336
2024-11,7572
2024-12,12421
2025-01,10029
2025-02,5508
2025-03,2962
