Date,Fusiones y Adquisiciones
1950-01,5
1950-02,1
1950-03,0
1950-04,1
1950-05,1
1950-06,3
1950-07,3
1950-08,1
1950-09,2
1950-10,2
1950-11,4
1950-12,6
1951-01,6
1951-02,4
1951-03,0
1951-04,1
1951-05,5
1951-06,4
1951-07,1
1951-08,0
1951-09,1
1951-10,3
1951-11,4
1951-12,9
1952-01,6
1952-02,6
1952-03,7
1952-04,6
1952-05,6
1952-06,0
1952-07,0
1952-08,5
1952-09,5
1952-10,1
1952-11,4
1952-12,8
1953-01,6
1953-02,3
1953-03,2
1953-04,0
1953-05,6
1953-06,1
1953-07,1
1953-08,6
1953-09,6
1953-10,2
1953-11,8
1953-12,38
1954-01,6
1954-02,6
1954-03,4
1954-04,8
1954-05,7
1954-06,2
1954-07,4
1954-08,5
1954-09,3
1954-10,3
1954-11,5
1954-12,9
1955-01,10
1955-02,4
1955-03,3
1955-04,9
1955-05,9
1955-06,3
1955-07,2
1955-08,5
1955-09,5
1955-10,7
1955-11,3
1955-12,3
1956-01,6
1956-02,3
1956-03,1
1956-04,2
1956-05,5
1956-06,0
1956-07,2
1956-08,7
1956-09,4
1956-10,1
1956-11,9
1956-12,16
1957-01,11
1957-02,11
1957-03,9
1957-04,4
1957-05,6
1957-06,2
1957-07,1
1957-08,5
1957-09,4
1957-10,1
1957-11,4
1957-12,12
1958-01,9
1958-02,6
1958-03,4
1958-04,5
1958-05,6
1958-06,3
1958-07,3
1958-08,6
1958-09,5
1958-10,2
1958-11,4
1958-12,9
1959-01,8
1959-02,6
1959-03,5
1959-04,4
1959-05,4
1959-06,6
1959-07,9
1959-08,9
1959-09,8
1959-10,4
1959-11,6
1959-12,32
1960-01,11
1960-02,7
1960-03,4
1960-04,1
1960-05,1
1960-06,1
1960-07,3
1960-08,10
1960-09,11
1960-10,6
1960-11,9
1960-12,16
1961-01,13
1961-02,9
1961-03,8
1961-04,11
1961-05,12
1961-06,2
1961-07,3
1961-08,7
1961-09,7
1961-10,2
1961-11,5
1961-12,14
1962-01,11
1962-02,7
1962-03,5
1962-04,3
1962-05,4
1962-06,1
1962-07,2
1962-08,13
1962-09,13
1962-10,7
1962-11,20
1962-12,32
1963-01,17
1963-02,14
1963-03,17
1963-04,12
1963-05,10
1963-06,5
1963-07,3
1963-08,15
1963-09,16
1963-10,7
1963-11,15
1963-12,23
1964-01,13
1964-02,6
1964-03,9
1964-04,18
1964-05,15
1964-06,4
1964-07,5
1964-08,4
1964-09,5
1964-10,8
1964-11,18
1964-12,38
1965-01,30
1965-02,11
1965-03,7
1965-04,12
1965-05,10
1965-06,4
1965-07,4
1965-08,8
1965-09,11
1965-10,7
1965-11,9
1965-12,26
1966-01,15
1966-02,8
1966-03,10
1966-04,15
1966-05,14
1966-06,5
1966-07,4
1966-08,5
1966-09,4
1966-10,3
1966-11,14
1966-12,28
1967-01,18
1967-02,17
1967-03,17
1967-04,11
1967-05,11
1967-06,12
1967-07,7
1967-08,7
1967-09,11
1967-10,5
1967-11,9
1967-12,37
1968-01,18
1968-02,22
1968-03,25
1968-04,8
1968-05,18
1968-06,18
1968-07,5
1968-08,10
1968-09,9
1968-10,6
1968-11,22
1968-12,30
1969-01,16
1969-02,14
1969-03,20
1969-04,23
1969-05,25
1969-06,13
1969-07,9
1969-08,13
1969-09,12
1969-10,10
1969-11,21
1969-12,89
1970-01,66
1970-02,20
1970-03,23
1970-04,19
1970-05,21
1970-06,13
1970-07,12
1970-08,23
1970-09,18
1970-10,8
1970-11,14
1970-12,31
1971-01,26
1971-02,22
1971-03,23
1971-04,9
1971-05,12
1971-06,14
1971-07,8
1971-08,15
1971-09,18
1971-10,10
