Date,Competencias Centrales
1950-01,22
1950-02,7
1950-03,10
1950-04,8
1950-05,7
1950-06,8
1950-07,5
1950-08,5
1950-09,6
1950-10,3
1950-11,3
1950-12,15
1951-01,14
1951-02,5
1951-03,7
1951-04,6
1951-05,6
1951-06,13
1951-07,12
1951-08,4
1951-09,4
1951-10,4
1951-11,4
1951-12,43
1952-01,26
1952-02,4
1952-03,9
1952-04,12
1952-05,5
1952-06,8
1952-07,8
1952-08,6
1952-09,12
1952-10,11
1952-11,8
1952-12,30
1953-01,25
1953-02,15
1953-03,15
1953-04,11
1953-05,10
1953-06,10
1953-07,6
1953-08,10
1953-09,13
1953-10,10
1953-11,8
1953-12,28
1954-01,30
1954-02,15
1954-03,10
1954-04,10
1954-05,11
1954-06,13
1954-07,16
1954-08,14
1954-09,12
1954-10,12
1954-11,20
1954-12,27
1955-01,17
1955-02,11
1955-03,11
1955-04,5
1955-05,10
1955-06,18
1955-07,11
1955-08,11
1955-09,14
1955-10,11
1955-11,13
1955-12,34
1956-01,27
1956-02,9
1956-03,14
1956-04,19
1956-05,12
1956-06,15
1956-07,16
1956-08,12
1956-09,16
1956-10,11
1956-11,10
1956-12,61
1957-01,34
1957-02,14
1957-03,21
1957-04,21
1957-05,20
1957-06,24
1957-07,23
1957-08,18
1957-09,20
1957-10,19
1957-11,14
1957-12,57
1958-01,48
1958-02,20
1958-03,23
1958-04,17
1958-05,19
1958-06,19
1958-07,23
1958-08,32
1958-09,23
1958-10,15
1958-11,20
1958-12,60
1959-01,53
1959-02,18
1959-03,28
1959-04,29
1959-05,20
1959-06,31
1959-07,35
1959-08,25
1959-09,16
1959-10,18
1959-11,27
1959-12,82
1960-01,71
1960-02,20
1960-03,23
1960-04,21
1960-05,33
1960-06,29
1960-07,22
1960-08,21
1960-09,30
1960-10,41
1960-11,25
1960-12,92
1961-01,86
1961-02,38
1961-03,47
1961-04,40
1961-05,23
1961-06,25
1961-07,17
1961-08,25
1961-09,36
1961-10,23
1961-11,21
1961-12,59
1962-01,57
1962-02,26
1962-03,33
1962-04,17
1962-05,22
1962-06,33
1962-07,23
1962-08,22
1962-09,31
1962-10,33
1962-11,30
1962-12,76
1963-01,58
1963-02,25
1963-03,31
1963-04,29
1963-05,20
1963-06,22
1963-07,20
1963-08,37
1963-09,44
1963-10,25
1963-11,28
1963-12,209
1964-01,207
1964-02,32
1964-03,44
1964-04,37
1964-05,36
1964-06,51
1964-07,32
1964-08,35
1964-09,32
1964-10,35
1964-11,44
1964-12,101
1965-01,91
1965-02,31
1965-03,41
1965-04,41
1965-05,34
1965-06,44
1965-07,39
1965-08,42
1965-09,45
1965-10,30
1965-11,45
1965-12,142
1966-01,114
1966-02,40
1966-03,40
1966-04,38
1966-05,39
1966-06,34
1966-07,33
1966-08,42
1966-09,40
1966-10,39
1966-11,44
1966-12,195
1967-01,175
1967-02,45
1967-03,55
1967-04,38
1967-05,39
1967-06,55
1967-07,57
1967-08,43
1967-09,49
1967-10,43
1967-11,62
1967-12,165
