Month,Fusiones y Adquisiciones
2004-01,64.7887323943662
2004-02,67.6056338028169
2004-03,67.6056338028169
2004-04,100.0
2004-05,61.97183098591549
2004-06,45.07042253521127
2004-07,57.74647887323944
2004-08,64.7887323943662
2004-09,53.52112676056338
2004-10,61.97183098591549
2004-11,64.7887323943662
2004-12,49.29577464788733
2005-01,57.74647887323944
2005-02,76.05633802816901
2005-03,69.01408450704226
2005-04,64.7887323943662
2005-05,52.112676056338024
2005-06,36.61971830985916
2005-07,38.028169014084504
2005-08,45.07042253521127
2005-09,56.33802816901409
2005-10,46.478873239436616
2005-11,54.929577464788736
2005-12,35.2112676056338
2006-01,42.25352112676056
2006-02,52.112676056338024
2006-03,50.70422535211267
2006-04,53.52112676056338
2006-05,45.07042253521127
2006-06,32.3943661971831
2006-07,40.845070422535215
2006-08,29.577464788732392
2006-09,29.577464788732392
2006-10,46.478873239436616
2006-11,49.29577464788733
2006-12,32.3943661971831
2007-01,35.2112676056338
2007-02,38.028169014084504
2007-03,50.70422535211267
2007-04,45.07042253521127
2007-05,33.80281690140845
2007-06,33.80281690140845
2007-07,32.3943661971831
2007-08,32.3943661971831
2007-09,30.985915492957744
2007-10,42.25352112676056
2007-11,30.985915492957744
2007-12,14.084507042253522
2008-01,26.76056338028169
2008-02,29.577464788732392
2008-03,26.76056338028169
2008-04,25.352112676056336
2008-05,19.718309859154928
2008-06,12.676056338028168
2008-07,18.30985915492958
2008-08,12.676056338028168
2008-09,18.30985915492958
2008-10,21.12676056338028
2008-11,14.084507042253522
2008-12,7.042253521126761
2009-01,7.042253521126761
2009-02,7.042253521126761
2009-03,16.901408450704224
2009-04,21.12676056338028
2009-05,14.084507042253522
2009-06,14.084507042253522
2009-07,18.30985915492958
2009-08,19.718309859154928
2009-09,23.943661971830984
2009-10,35.2112676056338
2009-11,47.88732394366197
2009-12,26.76056338028169
2010-01,30.985915492957744
2010-02,33.80281690140845
2010-03,46.478873239436616
2010-04,39.436619718309856
2010-05,25.352112676056336
2010-06,21.12676056338028
2010-07,19.718309859154928
2010-08,19.718309859154928
2010-09,30.985915492957744
2010-10,26.76056338028169
2010-11,23.943661971830984
2010-12,21.12676056338028
2011-01,21.12676056338028
2011-02,28.169014084507044
2011-03,29.577464788732392
2011-04,26.76056338028169
2011-05,19.718309859154928
2011-06,8.450704225352112
2011-07,14.084507042253522
2011-08,21.12676056338028
2011-09,23.943661971830984
2011-10,21.12676056338028
2011-11,29.577464788732392
2011-12,14.084507042253522
2012-01,15.492957746478872
2012-02,23.943661971830984
2012-03,23.943661971830984
2012-04,21.12676056338028
2012-05,16.901408450704224
2012-06,14.084507042253522
2012-07,9.859154929577464
2012-08,14.084507042253522
2012-09,19.718309859154928
2012-10,21.12676056338028
2012-11,19.718309859154928
2012-12,8.450704225352112
2013-01,12.676056338028168
2013-02,18.30985915492958
2013-03,22.535211267605636
2013-04,19.718309859154928
2013-05,11.267605633802818
2013-06,7.042253521126761
2013-07,11.267605633802818
2013-08,9.859154929577464
2013-09,16.901408450704224
2013-10,16.901408450704224
2013-11,16.901408450704224
2013-12,8.450704225352112
2014-01,14.084507042253522
2014-02,19.718309859154928
2014-03,19.718309859154928
2014-04,19.718309859154928
2014-05,14.084507042253522
2014-06,8.450704225352112
2014-07,8.450704225352112
2014-08,8.450704225352112
2014-09,14.084507042253522
2014-10,15.492957746478872
2014-11,18.30985915492958
2014-12,7.042253521126761
2015-01,7.042253521126761
2015-02,15.492957746478872
2015-03,18.30985915492958
2015-04,25.352112676056336
2015-05,11.267605633802818
2015-06,9.859154929577464
2015-07,8.450704225352112
2015-08,4.225352112676056
2015-09,11.267605633802818
2015-10,12.676056338028168
2015-11,14.084507042253522
2015-12,8.450704225352112
2016-01,8.450704225352112
2016-02,15.492957746478872
2016-03,15.492957746478872
2016-04,16.901408450704224
2016-05,14.084507042253522
2016-06,7.042253521126761
2016-07,4.225352112676056
2016-08,8.450704225352112
2016-09,14.084507042253522
2016-10,14.084507042253522
2016-11,18.30985915492958
2016-12,9.859154929577464
2017-01,11.267605633802818
2017-02,12.676056338028168
2017-03,19.718309859154928
2017-04,14.084507042253522
2017-05,23.943661971830984
2017-06,8.450704225352112
2017-07,8.450704225352112
2017-08,8.450704225352112
2017-09,12.676056338028168
2017-10,15.492957746478872
2017-11,14.084507042253522
2017-12,9.859154929577464
2018-01,8.450704225352112
2018-02,9.859154929577464
2018-03,8.450704225352112
2018-04,14.084507042253522
2018-05,15.492957746478872
2018-06,5.633802816901409
2018-07,5.633802816901409
2018-08,8.450704225352112
2018-09,14.084507042253522
2018-10,21.12676056338028
2018-11,14.084507042253522
2018-12,8.450704225352112
2019-01,8.450704225352112
2019-02,11.267605633802818
2019-03,15.492957746478872
2019-04,18.30985915492958
2019-05,15.492957746478872
2019-06,14.084507042253522
2019-07,9.859154929577464
2019-08,8.450704225352112
2019-09,12.676056338028168
2019-10,9.859154929577464
2019-11,14.084507042253522
2019-12,7.042253521126761
2020-01,7.042253521126761
2020-02,11.267605633802818
2020-03,4.225352112676056
2020-04,8.450704225352112
2020-05,5.633802816901409
2020-06,4.225352112676056
2020-07,5.633802816901409
2020-08,5.633802816901409
2020-09,7.042253521126761
2020-10,5.633802816901409
2020-11,1.4084507042253522
2020-12,1.4084507042253522
2021-01,0.0
2021-02,4.225352112676056
2021-03,8.450704225352112
2021-04,9.859154929577464
2021-05,5.633802816901409
2021-06,2.8169014084507045
2021-07,1.4084507042253522
2021-08,2.8169014084507045
2021-09,9.859154929577464
2021-10,5.633802816901409
