Date,Propósito y Visión
1987-11,267
1987-12,1331
1988-01,1300
1988-02,394
1988-03,376
1988-04,312
1988-05,294
1988-06,303
1988-07,285
1988-08,309
1988-09,349
1988-10,291
1988-11,288
1988-12,1576
1989-01,1461
1989-02,293
1989-03,561
1989-04,359
1989-05,309
1989-06,306
1989-07,304
1989-08,338
1989-09,378
1989-10,323
1989-11,290
1989-12,1815
1990-01,1709
1990-02,511
1990-03,527
1990-04,345
1990-05,314
1990-06,360
1990-07,560
1990-08,560
1990-09,414
1990-10,355
1990-11,281
1990-12,1774
1991-01,1832
1991-02,509
1991-03,475
1991-04,322
1991-05,336
1991-06,378
1991-07,305
1991-08,445
1991-09,499
1991-10,314
1991-11,308
1991-12,1855
1992-01,1881
1992-02,777
1992-03,747
1992-04,452
1992-05,429
1992-06,514
1992-07,441
1992-08,500
1992-09,493
1992-10,576
1992-11,599
1992-12,1809
1993-01,1695
1993-02,447
1993-03,571
1993-04,522
1993-05,498
1993-06,513
1993-07,449
1993-08,620
1993-09,561
1993-10,422
1993-11,501
1993-12,2534
1994-01,2226
1994-02,494
1994-03,624
1994-04,498
1994-05,513
1994-06,579
1994-07,467
1994-08,622
1994-09,576
1994-10,593
1994-11,879
1994-12,2714
1995-01,2248
1995-02,484
1995-03,549
1995-04,505
1995-05,536
1995-06,557
1995-07,456
1995-08,567
1995-09,2001
1995-10,1991
1995-11,917
1995-12,2941
1996-01,2292
1996-02,631
1996-03,698
1996-04,594
1996-05,626
1996-06,673
1996-07,597
1996-08,581
1996-09,571
1996-10,655
1996-11,622
1996-12,2571
1997-01,2386
1997-02,653
1997-03,653
1997-04,541
1997-05,539
1997-06,703
1997-07,600
1997-08,622
1997-09,709
1997-10,554
1997-11,554
1997-12,2718
1998-01,2529
1998-02,556
1998-03,638
1998-04,592
1998-05,587
1998-06,594
1998-07,641
1998-08,637
1998-09,687
1998-10,686
1998-11,724
1998-12,2551
1999-01,2361
1999-02,625
1999-03,750
1999-04,559
1999-05,666
1999-06,728
1999-07,637
1999-08,713
1999-09,737
1999-10,622
1999-11,664
1999-12,3104
2000-01,2887
2000-02,602
2000-03,759
2000-04,586
2000-05,602
2000-06,855
2000-07,632
2000-08,641
2000-09,672
2000-10,630
2000-11,1083
2000-12,3177
2001-01,2580
2001-02,634
2001-03,706
2001-04,637
2001-05,659
2001-06,820
2001-07,699
2001-08,693
2001-09,781
2001-10,720
2001-11,1262
2001-12,3670
2002-01,3005
2002-02,599
2002-03,754
2002-04,661
2002-05,616
2002-06,747
2002-07,632
