Date,Just in Time
1987-12,509
1988-01,806
1988-02,320
1988-03,378
1988-04,322
1988-05,323
1988-06,507
1988-07,277
1988-08,361
1988-09,431
1988-10,297
1988-11,315
1988-12,444
1989-01,880
1989-02,299
1989-03,435
1989-04,412
1989-05,339
1989-06,472
1989-07,362
1989-08,341
1989-09,434
1989-10,395
1989-11,282
1989-12,563
1990-01,853
1990-02,305
1990-03,412
1990-04,424
1990-05,455
1990-06,445
1990-07,389
1990-08,393
1990-09,522
1990-10,404
1990-11,361
1990-12,589
1991-01,840
1991-02,338
1991-03,483
1991-04,432
1991-05,484
1991-06,542
1991-07,457
1991-08,346
1991-09,531
1991-10,414
1991-11,352
1991-12,511
1992-01,915
1992-02,366
1992-03,522
1992-04,597
1992-05,420
1992-06,634
1992-07,454
1992-08,343
1992-09,635
1992-10,512
1992-11,365
1992-12,605
1993-01,955
1993-02,396
1993-03,594
1993-04,547
1993-05,470
1993-06,598
1993-07,645
1993-08,497
1993-09,667
1993-10,465
1993-11,431
1993-12,674
1994-01,861
1994-02,381
1994-03,634
1994-04,490
1994-05,517
1994-06,660
1994-07,512
1994-08,505
1994-09,616
1994-10,470
1994-11,481
1994-12,946
1995-01,1000
1995-02,429
1995-03,677
1995-04,485
1995-05,608
1995-06,656
1995-07,555
1995-08,498
1995-09,813
1995-10,513
1995-11,514
1995-12,583
1996-01,1105
1996-02,474
1996-03,654
1996-04,635
1996-05,509
1996-06,755
1996-07,576
1996-08,456
1996-09,664
1996-10,613
1996-11,583
1996-12,669
1997-01,1082
1997-02,489
1997-03,740
1997-04,626
1997-05,674
1997-06,702
1997-07,703
1997-08,469
1997-09,690
1997-10,567
1997-11,582
1997-12,771
1998-01,999
1998-02,547
1998-03,676
1998-04,649
1998-05,662
1998-06,659
1998-07,692
1998-08,514
1998-09,796
1998-10,710
1998-11,568
1998-12,711
1999-01,1260
1999-02,698
1999-03,684
1999-04,569
1999-05,673
1999-06,691
1999-07,728
1999-08,673
1999-09,743
1999-10,573
1999-11,595
1999-12,750
2000-01,1417
2000-02,622
2000-03,692
2000-04,660
2000-05,717
2000-06,791
2000-07,699
2000-08,559
2000-09,807
2000-10,663
2000-11,725
2000-12,884
2001-01,1331
2001-02,501
2001-03,768
2001-04,738
2001-05,719
2001-06,871
2001-07,705
2001-08,663
2001-09,943
2001-10,702
2001-11,747
2001-12,950
2002-01,1414
2002-02,558
2002-03,901
2002-04,717
2002-05,871
2002-06,840
2002-07,886
2002-08,737
2002-09,1032
2002-10,760
2002-11,728
2002-12,964
2003-01,1427
2003-02,679
2003-03,925
2003-04,829
2003-05,788
2003-06,922
2003-07,814
2003-08,718
2003-09,1206
2003-10,851
2003-11,782
2003-12,1243
2004-01,1492
2004-02,689
2004-03,1144
2004-04,894
2004-05,1120
2004-06,1152
2004-07,862
2004-08,838
2004-09,1071
2004-10,997
2004-11,960
2004-12,1194
2005-01,1560
2005-02,876
2005-03,1009
2005-04,1026
2005-05,1001
2005-06,1149
2005-07,1024
2005-08,894
2005-09,1218
2005-10,1125
2005-11,1012
2005-12,1163
2006-01,1879
2006-02,949
2006-03,1200
2006-04,1110
2006-05,1133
2006-06,1400
2006-07,1325
2006-08,1261
2006-09,1614
2006-10,1592
2006-11,1431
2006-12,1528
2007-01,2023
2007-02,997
2007-03,1354
2007-04,1501
2007-05,1780
2007-06,1911
2007-07,1613
2007-08,1474
2007-09,1788
2007-10,1755
2007-11,1479
2007-12,2025
2008-01,1924
2008-02,1154
2008-03,1537
2008-04,1596
2008-05,1838
2008-06,1898
2008-07,1716
2008-08,1467
2008-09,1876
2008-10,1954
2008-11,1559
2008-12,2013
2009-01,2124
2009-02,1349
2009-03,1675
2009-04,2051
2009-05,1793
2009-06,2160
2009-07,1795
2009-08,1734
2009-09,2084
2009-10,1957
2009-11,1615
2009-12,2326
2010-01,2340
2010-02,1240
2010-03,1878
2010-04,1925
2010-05,2128
2010-06,2302
2010-07,1931
2010-08,1843
2010-09,2180
2010-10,2293
2010-11,1897
2010-12,2718
2011-01,2694
2011-02,1565
2011-03,2002
2011-04,1895
2011-05,2483
2011-06,2458
2011-07,2045
2011-08,1978
2011-09,2554
2011-10,2349
2011-11,2045
2011-12,2476
2012-01,2821
2012-02,1473
2012-03,2123
2012-04,2081
2012-05,2475
2012-06,2602
2012-07,2280
2012-08,2034
2012-09,2405
2012-10,2568
2012-11,2281
2012-12,2774
2013-01,2717
2013-02,1635
2013-03,2084
2013-04,2131
2013-05,2374
2013-06,2698
2013-07,2747
2013-08,2196
2013-09,2728
2013-10,2886
2013-11,2274
2013-12,2999
2014-01,2525
2014-02,1829
2014-03,2212
2014-04,2313
2014-05,2637
2014-06,3117
2014-07,2590
2014-08,2228
2014-09,2851
2014-10,2720
2014-11,2110
2014-12,3122
2015-01,2485
2015-02,1673
2015-03,2193
2015-04,2422
2015-05,2528
2015-06,2615
2015-07,2641
2015-08,2263
2015-09,2674
2015-10,2729
2015-11,2442
2015-12,3223
2016-01,2659
2016-02,1892
2016-03,2325
2016-04,2698
2016-05,2486
2016-06,2863
2016-07,2735
2016-08,2295
2016-09,2817
2016-10,2812
2016-11,2577
2016-12,3075
2017-01,2247
2017-02,1786
2017-03,2526
2017-04,2238
2017-05,2924
2017-06,2832
2017-07,3564
2017-08,2625
2017-09,3131
2017-10,3371
2017-11,2894
2017-12,4131
2018-01,2468
2018-02,2009
2018-03,2589
2018-04,2792
2018-05,2956
2018-06,3206
2018-07,2919
2018-08,2692
2018-09,3055
2018-10,3605
2018-11,2744
2018-12,3983
2019-01,2849
2019-02,1997
2019-03,2791
2019-04,2927
2019-05,2960
2019-06,3230
2019-07,3295
2019-08,2753
2019-09,3344
2019-10,3708
2019-11,3355
2019-12,5347
2020-01,2737
2020-02,2740
2020-03,3159
2020-04,3070
2020-05,3098
2020-06,3521
2020-07,3559
2020-08,3340
2020-09,3849
2020-10,4236
2020-11,3593
2020-12,6704
2021-01,3661
2021-02,2702
2021-03,3908
2021-04,3347
2021-05,3885
2021-06,3967
2021-07,3660
2021-08,3375
2021-09,3970
2021-10,3911
2021-11,3565
2021-12,5146
2022-01,3168
2022-02,2650
2022-03,3610
2022-04,3163
2022-05,3549
2022-06,4057
2022-07,3344
2022-08,3315
2022-09,3649
2022-10,3714
2022-11,4033
2022-12,5905
2023-01,3172
2023-02,2748
2023-03,3835
2023-04,3348
2023-05,4513
2023-06,4366
2023-07,3988
2023-08,3715
2023-09,3723
2023-10,4338
2023-11,3953
2023-12,5369
2024-01,3667
2024-02,2905
2024-03,3966
2024-04,3513
2024-05,4106
2024-06,3936
2024-07,3732
2024-08,2978
2024-09,3025
2024-10,1491
