Year,Presupuesto Base Cero
1950-01,6.724833319614784
1951-01,0.0
1952-01,0.1934315581529344
1953-01,1.0453535270392622
1954-01,4.000329245205367
1955-01,3.12782945098362
1956-01,4.864597909292946
1957-01,1.7203061980409908
1958-01,4.025022635607868
1959-01,2.6257305127994073
1960-01,6.461437155321425
1961-01,14.06700139929212
1962-01,3.613466128899497
1963-01,10.362992838916783
1964-01,9.046012017449996
1965-01,17.112519548934067
1966-01,30.858506872993658
1967-01,42.2174664581447
1968-01,46.168408922545055
1969-01,86.83019178533212
1970-01,98.3537739731665
1971-01,100.0
1972-01,84.3608527450819
1973-01,90.1226438389991
1974-01,69.0509506955305
1975-01,79.09292945921474
1976-01,72.01415754383076
1977-01,54.9757181661042
1978-01,53.411803440612395
1979-01,52.917935632562354
1980-01,48.55543666145361
1981-01,35.632562350810765
1982-01,34.068647625318945
1983-01,22.709688040167915
1984-01,24.685159272368093
1985-01,23.285867149559632
1986-01,20.89883941065108
1987-01,29.37690344884352
1988-01,27.730677422010036
1989-01,20.158037698576013
1990-01,17.52407605564244
1991-01,9.951436332208411
1992-01,7.0787719153839825
1993-01,10.28068153757511
1994-01,7.0787719153839825
1995-01,7.9759651000082314
1996-01,8.881389414766648
1997-01,11.350728455016874
1998-01,11.597662359041896
1999-01,9.210634620133344
2000-01,7.893653798666557
2001-01,9.292945921475019
2002-01,7.893653798666557
2003-01,6.601366367602271
2004-01,4.527121573792082
2005-01,5.103300683183801
2006-01,5.012758251707959
2007-01,5.778253354185529
2008-01,9.046012017449996
2009-01,4.91398469009795
2010-01,5.243229895464647
2011-01,4.025022635607868
2012-01,3.144291711251954
2013-01,7.597333113836529
2014-01,6.329739073174748
2015-01,6.683677668943947
2016-01,6.86476253189563
2017-01,7.226932257798996
2018-01,4.667050786072927
2019-01,5.177380854391307
2020-01,5.053913902378796
2021-01,5.918182566466375
2022-01,4.239032019096221
