Month,Estrategias de Crecimiento
2004-01,22.22222222222222
2004-02,74.60317460317461
2004-03,68.25396825396825
2004-04,50.79365079365079
2004-05,82.53968253968253
2004-06,63.49206349206349
2004-07,26.984126984126984
2004-08,44.44444444444444
2004-09,28.57142857142857
2004-10,77.77777777777779
2004-11,100.0
2004-12,52.38095238095239
2005-01,58.730158730158735
2005-02,58.730158730158735
2005-03,82.53968253968253
2005-04,92.06349206349206
2005-05,76.19047619047619
2005-06,38.095238095238095
2005-07,30.158730158730158
2005-08,28.57142857142857
2005-09,53.96825396825397
2005-10,34.92063492063492
2005-11,80.95238095238095
2005-12,25.396825396825395
2006-01,44.44444444444444
2006-02,49.2063492063492
2006-03,65.07936507936508
2006-04,49.2063492063492
2006-05,68.25396825396825
2006-06,26.984126984126984
2006-07,4.761904761904762
2006-08,6.349206349206349
2006-09,33.33333333333333
2006-10,47.61904761904761
2006-11,57.14285714285714
2006-12,11.11111111111111
2007-01,33.33333333333333
2007-02,31.746031746031743
2007-03,47.61904761904761
2007-04,50.79365079365079
2007-05,31.746031746031743
2007-06,30.158730158730158
2007-07,15.873015873015872
2007-08,28.57142857142857
2007-09,38.095238095238095
2007-10,23.809523809523807
2007-11,34.92063492063492
2007-12,15.873015873015872
2008-01,15.873015873015872
2008-02,23.809523809523807
2008-03,28.57142857142857
2008-04,44.44444444444444
2008-05,30.158730158730158
2008-06,7.936507936507936
2008-07,6.349206349206349
2008-08,14.285714285714285
2008-09,30.158730158730158
2008-10,33.33333333333333
2008-11,33.33333333333333
2008-12,7.936507936507936
2009-01,9.523809523809524
2009-02,19.047619047619047
2009-03,28.57142857142857
2009-04,30.158730158730158
2009-05,20.634920634920633
2009-06,3.1746031746031744
2009-07,14.285714285714285
2009-08,9.523809523809524
2009-09,15.873015873015872
2009-10,17.46031746031746
2009-11,50.79365079365079
2009-12,14.285714285714285
2010-01,20.634920634920633
2010-02,33.33333333333333
2010-03,49.2063492063492
2010-04,28.57142857142857
2010-05,30.158730158730158
2010-06,17.46031746031746
2010-07,11.11111111111111
2010-08,3.1746031746031744
2010-09,30.158730158730158
2010-10,41.269841269841265
2010-11,30.158730158730158
2010-12,17.46031746031746
2011-01,14.285714285714285
2011-02,17.46031746031746
2011-03,30.158730158730158
2011-04,25.396825396825395
2011-05,23.809523809523807
2011-06,14.285714285714285
2011-07,9.523809523809524
2011-08,9.523809523809524
2011-09,15.873015873015872
2011-10,23.809523809523807
2011-11,33.33333333333333
2011-12,9.523809523809524
2012-01,9.523809523809524
2012-02,20.634920634920633
2012-03,23.809523809523807
2012-04,17.46031746031746
2012-05,19.047619047619047
2012-06,3.1746031746031744
2012-07,1.5873015873015872
2012-08,6.349206349206349
2012-09,23.809523809523807
2012-10,25.396825396825395
2012-11,23.809523809523807
2012-12,3.1746031746031744
2013-01,4.761904761904762
2013-02,19.047619047619047
2013-03,26.984126984126984
2013-04,28.57142857142857
2013-05,15.873015873015872
2013-06,9.523809523809524
2013-07,6.349206349206349
2013-08,3.1746031746031744
2013-09,15.873015873015872
2013-10,23.809523809523807
2013-11,26.984126984126984
2013-12,7.936507936507936
2014-01,11.11111111111111
2014-02,23.809523809523807
2014-03,26.984126984126984
2014-04,23.809523809523807
2014-05,19.047619047619047
2014-06,9.523809523809524
2014-07,1.5873015873015872
2014-08,3.1746031746031744
2014-09,19.047619047619047
2014-10,25.396825396825395
2014-11,26.984126984126984
2014-12,1.5873015873015872
2015-01,6.349206349206349
2015-02,22.22222222222222
2015-03,36.507936507936506
2015-04,30.158730158730158
2015-05,15.873015873015872
2015-06,15.873015873015872
2015-07,1.5873015873015872
2015-08,0.0
2015-09,17.46031746031746
2015-10,19.047619047619047
2015-11,23.809523809523807
2015-12,9.523809523809524
2016-01,11.11111111111111
2016-02,23.809523809523807
2016-03,38.095238095238095
2016-04,26.984126984126984
2016-05,23.809523809523807
2016-06,3.1746031746031744
2016-07,1.5873015873015872
2016-08,0.0
2016-09,22.22222222222222
2016-10,25.396825396825395
2016-11,28.57142857142857
2016-12,11.11111111111111
2017-01,12.698412698412698
2017-02,23.809523809523807
2017-03,33.33333333333333
2017-04,33.33333333333333
2017-05,36.507936507936506
2017-06,15.873015873015872
2017-07,9.523809523809524
2017-08,7.936507936507936
2017-09,20.634920634920633
2017-10,41.269841269841265
2017-11,39.682539682539684
2017-12,17.46031746031746
2018-01,20.634920634920633
2018-02,25.396825396825395
2018-03,30.158730158730158
2018-04,33.33333333333333
2018-05,31.746031746031743
2018-06,4.761904761904762
2018-07,9.523809523809524
2018-08,19.047619047619047
2018-09,31.746031746031743
2018-10,33.33333333333333
2018-11,34.92063492063492
2018-12,12.698412698412698
2019-01,15.873015873015872
2019-02,23.809523809523807
2019-03,31.746031746031743
2019-04,34.92063492063492
2019-05,39.682539682539684
2019-06,15.873015873015872
2019-07,15.873015873015872
2019-08,7.936507936507936
2019-09,30.158730158730158
2019-10,39.682539682539684
2019-11,41.269841269841265
2019-12,25.396825396825395
2020-01,28.57142857142857
2020-02,38.095238095238095
2020-03,23.809523809523807
2020-04,31.746031746031743
2020-05,25.396825396825395
2020-06,25.396825396825395
2020-07,19.047619047619047
2020-08,17.46031746031746
2020-09,47.61904761904761
2020-10,41.269841269841265
2020-11,34.92063492063492
2020-12,33.33333333333333
2021-01,20.634920634920633
2021-02,26.984126984126984
2021-03,33.33333333333333
2021-04,31.746031746031743
2021-05,34.92063492063492
2021-06,28.57142857142857
2021-07,19.047619047619047
2021-08,14.285714285714285
2021-09,39.682539682539684
2021-10,39.682539682539684
