Year,Experiencia del Cliente
1993-01,100.0
1996-01,78.0
1999-01,62.0
2000-01,68.6
2002-01,76.0
2004-01,70.0
2006-01,88.0
2008-01,46.0
2010-01,36.0
2012-01,0.0
2014-01,12.0
2017-01,16.0
2022-01,10.0
