Year,Propósito y Visión
1993-01,100
1996-01,87
1999-01,84
2000-01,90
2002-01,89
2004-01,77
2006-01,84
2008-01,69
2010-01,67
2012-01,20
2014-01,40
2017-01,34
2022-01,30
