Month,Experiencia del Cliente
2004-01,88
2004-02,97
2004-03,98
2004-04,100
2004-05,89
2004-06,85
2004-07,84
2004-08,84
2004-09,78
2004-10,81
2004-11,83
2004-12,69
2005-01,71
2005-02,78
2005-03,77
2005-04,86
2005-05,79
2005-06,71
2005-07,64
2005-08,63
2005-09,63
2005-10,68
2005-11,65
2005-12,52
2006-01,63
2006-02,64
2006-03,63
2006-04,65
2006-05,64
2006-06,55
2006-07,54
2006-08,52
2006-09,56
2006-10,57
2006-11,57
2006-12,45
2007-01,51
2007-02,53
2007-03,57
2007-04,53
2007-05,52
2007-06,51
2007-07,48
2007-08,50
2007-09,48
2007-10,53
2007-11,48
2007-12,40
2008-01,43
2008-02,47
2008-03,48
2008-04,49
2008-05,45
2008-06,40
2008-07,41
2008-08,39
2008-09,41
2008-10,41
2008-11,53
2008-12,36
2009-01,38
2009-02,43
2009-03,44
2009-04,45
2009-05,44
2009-06,42
2009-07,39
2009-08,42
2009-09,41
2009-10,44
2009-11,44
2009-12,38
2010-01,39
2010-02,45
2010-03,47
2010-04,40
2010-05,43
2010-06,40
2010-07,35
2010-08,37
2010-09,39
2010-10,40
2010-11,39
2010-12,31
2011-01,35
2011-02,39
2011-03,41
2011-04,38
2011-05,36
2011-06,36
2011-07,32
2011-08,32
2011-09,33
2011-10,36
2011-11,37
2011-12,32
2012-01,34
2012-02,40
2012-03,40
2012-04,34
2012-05,36
2012-06,33
2012-07,33
2012-08,29
2012-09,34
2012-10,37
2012-11,36
2012-12,28
2013-01,33
2013-02,38
2013-03,39
2013-04,41
2013-05,34
2013-06,31
2013-07,32
2013-08,29
2013-09,34
2013-10,38
2013-11,35
2013-12,27
2014-01,33
2014-02,37
2014-03,38
2014-04,35
2014-05,32
2014-06,33
2014-07,29
2014-08,29
2014-09,34
2014-10,36
2014-11,34
2014-12,28
2015-01,32
2015-02,34
2015-03,38
2015-04,36
2015-05,31
2015-06,30
2015-07,30
2015-08,31
2015-09,32
2015-10,34
2015-11,32
2015-12,27
2016-01,30
2016-02,36
2016-03,37
2016-04,36
2016-05,32
2016-06,31
2016-07,27
2016-08,27
2016-09,34
2016-10,34
2016-11,35
2016-12,31
2017-01,32
2017-02,36
2017-03,39
2017-04,36
2017-05,33
2017-06,28
2017-07,28
2017-08,28
2017-09,32
2017-10,33
2017-11,35
2017-12,31
2018-01,32
2018-02,34
2018-03,34
2018-04,32
2018-05,29
2018-06,25
2018-07,27
2018-08,28
2018-09,32
2018-10,33
2018-11,32
2018-12,28
2019-01,32
2019-02,36
2019-03,38
2019-04,38
2019-05,32
2019-06,32
2019-07,31
2019-08,29
2019-09,34
2019-10,32
2019-11,34
2019-12,29
2020-01,31
2020-02,36
2020-03,30
2020-04,27
2020-05,28
2020-06,28
2020-07,27
2020-08,26
2020-09,32
2020-10,32
2020-11,29
2020-12,26
2021-01,26
2021-02,28
2021-03,31
2021-04,30
2021-05,29
2021-06,29
2021-07,25
2021-08,24
2021-09,29
2021-10,31
2021-11,30
2021-12,28
2022-01,31
2022-02,39
2022-03,44
2022-04,39
2022-05,38
2022-06,32
2022-07,30
2022-08,28
2022-09,35
2022-10,33
2022-11,36
2022-12,31
2023-01,33
2023-02,35
2023-03,38
2023-04,33
2023-05,34
2023-06,31
2023-07,25
2023-08,26
2023-09,31
2023-10,33
2023-11,32
2023-12,27
