Date,Optimización de Precios
1987-12,643
1988-01,599
1988-02,115
1988-03,127
1988-04,114
1988-05,146
1988-06,173
1988-07,124
1988-08,143
1988-09,138
1988-10,114
1988-11,112
1988-12,825
1989-01,793
1989-02,123
1989-03,157
1989-04,144
1989-05,173
1989-06,194
1989-07,140
1989-08,168
1989-09,189
1989-10,123
1989-11,139
1989-12,856
1990-01,832
1990-02,163
1990-03,147
1990-04,142
1990-05,158
1990-06,162
1990-07,199
1990-08,180
1990-09,197
1990-10,132
1990-11,158
1990-12,855
1991-01,819
1991-02,148
1991-03,169
1991-04,167
1991-05,195
1991-06,202
1991-07,155
1991-08,184
1991-09,237
1991-10,191
1991-11,209
1991-12,906
1992-01,878
1992-02,196
1992-03,199
1992-04,180
1992-05,236
1992-06,230
1992-07,149
1992-08,358
1992-09,250
1992-10,171
1992-11,187
1992-12,856
1993-01,838
1993-02,205
1993-03,226
1993-04,183
1993-05,242
1993-06,251
1993-07,190
1993-08,235
1993-09,325
1993-10,174
1993-11,213
1993-12,1055
1994-01,1011
1994-02,211
1994-03,222
1994-04,197
1994-05,199
1994-06,231
1994-07,206
1994-08,375
1994-09,278
1994-10,175
1994-11,185
1994-12,1060
1995-01,1037
1995-02,233
1995-03,222
1995-04,244
1995-05,287
1995-06,293
1995-07,217
1995-08,240
1995-09,295
1995-10,220
1995-11,243
1995-12,1109
1996-01,1128
1996-02,256
1996-03,265
1996-04,286
1996-05,283
1996-06,279
1996-07,202
1996-08,462
1996-09,297
1996-10,240
1996-11,310
1996-12,1091
1997-01,1022
1997-02,251
1997-03,245
1997-04,274
1997-05,354
1997-06,322
1997-07,250
1997-08,331
1997-09,379
1997-10,251
1997-11,300
1997-12,1277
1998-01,1234
1998-02,288
1998-03,316
1998-04,250
1998-05,289
1998-06,330
1998-07,252
1998-08,529
1998-09,316
1998-10,239
1998-11,267
1998-12,1246
1999-01,1252
1999-02,291
1999-03,307
1999-04,273
1999-05,294
1999-06,313
1999-07,275
1999-08,269
1999-09,307
1999-10,222
1999-11,321
1999-12,1401
2000-01,1365
2000-02,271
2000-03,336
2000-04,333
2000-05,309
2000-06,291
2000-07,283
2000-08,268
2000-09,481
2000-10,242
2000-11,313
2000-12,1688
2001-01,1702
2001-02,332
2001-03,339
2001-04,270
2001-05,346
2001-06,350
2001-07,291
2001-08,310
2001-09,353
2001-10,321
2001-11,382
2001-12,1694
2002-01,1687
2002-02,288
2002-03,304
2002-04,293
2002-05,333
2002-06,339
2002-07,318
2002-08,325
2002-09,624
2002-10,289
2002-11,342
2002-12,1988
2003-01,1964
2003-02,347
2003-03,450
2003-04,343
2003-05,370
2003-06,403
2003-07,326
2003-08,394
2003-09,501
2003-10,375
2003-11,359
2003-12,0
2004-01,1893
2004-02,416
2004-03,455
2004-04,414
2004-05,399
2004-06,545
2004-07,423
2004-08,775
2004-09,484
2004-10,373
2004-11,384
2004-12,2385
2005-01,2344
2005-02,421
2005-03,511
2005-04,488
2005-05,536
2005-06,522
2005-07,401
2005-08,419
2005-09,453
2005-10,483
2005-11,453
2005-12,2755
2006-01,2745
2006-02,451
2006-03,524
2006-04,489
2006-05,660
2006-06,674
2006-07,605
2006-08,650
2006-09,1002
2006-10,719
2006-11,642
2006-12,2363
2007-01,2233
2007-02,523
2007-03,677
2007-04,736
2007-05,868
2007-06,784
2007-07,803
2007-08,876
2007-09,753
2007-10,655
2007-11,726
2007-12,2912
2008-01,2717
2008-02,662
2008-03,767
2008-04,810
2008-05,900
2008-06,1120
2008-07,824
2008-08,810
2008-09,1180
2008-10,1006
2008-11,1045
2008-12,3848
2009-01,3479
2009-02,718
2009-03,1054
2009-04,1030
2009-05,934
2009-06,1110
2009-07,979
2009-08,1078
2009-09,1157
2009-10,1032
2009-11,1035
2009-12,4017
2010-01,3651
2010-02,759
2010-03,824
2010-04,980
