Year,Gestión del Conocimiento
1950-01,0.015490196078431372
1951-01,0.0
1952-01,0.0
1953-01,0.007941176470588236
1954-01,0.37843137254901965
1955-01,0.1411764705882353
1956-01,0.04490196078431373
1957-01,0.0
1958-01,0.7607843137254902
1959-01,0.033529411764705884
1960-01,0.01264705882352941
1961-01,0.29411764705882354
1962-01,0.0
1963-01,0.1215686274509804
1964-01,0.09901960784313725
1965-01,0.08715686274509804
1966-01,0.6519607843137255
1967-01,3.127450980392157
1968-01,0.3303921568627451
1969-01,0.14607843137254903
1970-01,0.307843137254902
1971-01,1.2647058823529411
1972-01,0.23529411764705885
1973-01,0.10882352941176472
1974-01,1.1666666666666667
1975-01,0.22549019607843138
1976-01,0.42843137254901953
1977-01,1.2450980392156863
1978-01,0.8362745098039215
1979-01,1.607843137254902
1980-01,1.019607843137255
1981-01,1.1372549019607843
1982-01,1.0098039215686274
1983-01,1.647058823529412
1984-01,2.509803921568628
1985-01,3.5392156862745097
1986-01,2.843137254901961
1987-01,2.303921568627451
1988-01,2.019607843137255
1989-01,2.696078431372549
1990-01,3.3529411764705883
1991-01,3.88235294117647
1992-01,3.5392156862745097
1993-01,5.372549019607844
1994-01,5.352941176470588
1995-01,3.735294117647059
1996-01,7.049019607843138
1997-01,10.392156862745098
1998-01,17.450980392156865
1999-01,29.01960784313726
2000-01,38.72549019607843
2001-01,45.294117647058826
2002-01,49.21568627450981
2003-01,62.15686274509804
2004-01,59.80392156862745
2005-01,73.0392156862745
2006-01,65.88235294117646
2007-01,72.05882352941177
2008-01,100.0
2009-01,85.09803921568627
2010-01,98.0392156862745
2011-01,87.25490196078431
2012-01,83.43137254901961
2013-01,73.23529411764707
2014-01,61.76470588235294
2015-01,64.11764705882354
2016-01,71.76470588235296
2017-01,73.52941176470588
2018-01,80.68627450980392
2019-01,75.29411764705883
2020-01,60.19607843137255
2021-01,72.94117647058823
2022-01,63.52941176470588
