Date,JIT
1985-04,2
1985-05,0
1985-06,0
1985-07,1
1985-08,3
1985-09,0
1985-10,1
1985-11,0
1985-12,2
1986-01,0
1986-02,1
1986-03,0
1986-04,1
1986-05,2
1986-06,0
1986-07,1
1986-08,1
1986-09,2
1986-10,0
1986-11,1
1986-12,2
1987-01,1
1987-02,0
1987-03,1
1987-04,3
1987-05,0
1987-06,2
1987-07,1
1987-08,0
1987-09,0
1987-10,1
1987-11,0
1987-12,1
1988-01,5
1988-02,2
1988-03,4
1988-04,1
1988-05,1
1988-06,0
1988-07,1
1988-08,2
1988-09,2
1988-10,1
1988-11,1
1988-12,0
1989-01,5
1989-02,3
1989-03,2
1989-04,3
1989-05,1
1989-06,3
1989-07,2
1989-08,3
1989-09,2
1989-10,4
1989-11,0
1989-12,1
1990-01,8
1990-02,2
1990-03,3
1990-04,1
1990-05,0
1990-06,3
1990-07,2
1990-08,2
1990-09,3
1990-10,0
1990-11,1
1990-12,1
1991-01,10
1991-02,3
1991-03,4
1991-04,4
1991-05,1
1991-06,1
1991-07,4
1991-08,3
1991-09,3
1991-10,2
1991-11,2
1991-12,3
1992-01,10
1992-02,3
1992-03,2
1992-04,3
1992-05,5
1992-06,0
1992-07,0
1992-08,1
1992-09,6
1992-10,2
1992-11,3
1992-12,0
1993-01,7
1993-02,2
1993-03,4
1993-04,6
1993-05,1
1993-06,4
1993-07,4
1993-08,0
1993-09,2
1993-10,1
1993-11,2
1993-12,2
1994-01,4
1994-02,2
1994-03,2
1994-04,1
1994-05,2
1994-06,2
1994-07,4
1994-08,1
1994-09,4
1994-10,4
1994-11,0
1994-12,2
1995-01,1
1995-02,5
1995-03,6
1995-04,4
1995-05,4
1995-06,2
1995-07,3
1995-08,0
1995-09,4
1995-10,6
1995-11,4
1995-12,4
1996-01,5
1996-02,1
1996-03,2
1996-04,2
1996-05,3
1996-06,0
1996-07,2
1996-08,1
1996-09,0
1996-10,2
1996-11,3
1996-12,1
1997-01,7
1997-02,1
1997-03,2
1997-04,3
1997-05,8
1997-06,1
1997-07,2
1997-08,2
1997-09,3
1997-10,4
1997-11,5
1997-12,4
1998-01,8
1998-02,1
1998-03,2
1998-04,0
1998-05,1
1998-06,4
1998-07,3
1998-08,2
1998-09,1
1998-10,2
1998-11,3
1998-12,3
1999-01,9
1999-02,1
1999-03,2
1999-04,1
1999-05,0
1999-06,2
1999-07,2
1999-08,1
1999-09,2
1999-10,0
1999-11,2
1999-12,2
2000-01,3
2000-02,1
2000-03,1
2000-04,1
2000-05,3
2000-06,2
2000-07,0
2000-08,1
2000-09,3
2000-10,2
2000-11,1
2000-12,5
2001-01,4
2001-02,1
2001-03,5
2001-04,1
2001-05,0
2001-06,4
2001-07,2
2001-08,4
2001-09,3
2001-10,1
2001-11,3
2001-12,2
2002-01,2
2002-02,1
2002-03,3
2002-04,1
2002-05,1
2002-06,3
2002-07,1
2002-08,3
2002-09,0
2002-10,2
2002-11,7
2002-12,1
2003-01,9
2003-02,2
2003-03,0
2003-04,2
2003-05,4
2003-06,2
2003-07,3
2003-08,0
2003-09,1
2003-10,4
2003-11,3
2003-12,2
2004-01,3
2004-02,2
2004-03,7
2004-04,1
2004-05,3
2004-06,8
2004-07,2
2004-08,1
2004-09,5
2004-10,4
2004-11,5
2004-12,5
2005-01,6
2005-02,7
2005-03,3
2005-04,8
2005-05,3
2005-06,3
2005-07,1
2005-08,3
2005-09,2
2005-10,4
2005-11,2
2005-12,6
2006-01,3
2006-02,4
2006-03,6
2006-04,2
2006-05,10
2006-06,10
2006-07,6
2006-08,6
2006-09,6
2006-10,5
2006-11,5
2006-12,8
2007-01,5
2007-02,3
2007-03,5
2007-04,3
2007-05,9
2007-06,6
2007-07,5
2007-08,7
2007-09,5
2007-10,4
2007-11,1
2007-12,1
2008-01,6
2008-02,2
2008-03,5
2008-04,5
2008-05,2
2008-06,6
2008-07,11
2008-08,0
2008-09,2
2008-10,15
2008-11,1
2008-12,13
2009-01,7
2009-02,4
2009-03,12
2009-04,41
2009-05,3
2009-06,14
2009-07,5
2009-08,5
2009-09,12
2009-10,7
2009-11,3
2009-12,20
2010-01,5
2010-02,3
2010-03,11
2010-04,3
2010-05,11
2010-06,21
2010-07,6
2010-08,13
2010-09,10
2010-10,10
2010-11,5
2010-12,21
2011-01,6
2011-02,12
2011-03,15
2011-04,7
2011-05,9
2011-06,14
2011-07,12
2011-08,5
2011-09,11
2011-10,24
2011-11,6
2011-12,21
2012-01,12
2012-02,11
2012-03,13
2012-04,15
2012-05,12
2012-06,19
2012-07,6
2012-08,10
2012-09,15
2012-10,27
2012-11,12
2012-12,26
2013-01,13
2013-02,12
2013-03,13
2013-04,7
2013-05,13
2013-06,17
2013-07,11
2013-08,14
2013-09,18
2013-10,13
2013-11,14
2013-12,26
2014-01,15
2014-02,19
2014-03,9
2014-04,9
2014-05,25
2014-06,18
2014-07,18
2014-08,18
2014-09,20
2014-10,11
2014-11,31
2014-12,38
2015-01,8
2015-02,14
2015-03,25
2015-04,14
2015-05,25
2015-06,20
2015-07,54
2015-08,24
2015-09,29
2015-10,23
2015-11,22
2015-12,28
2016-01,14
2016-02,14
2016-03,38
2016-04,11
2016-05,26
2016-06,20
2016-07,16
2016-08,17
2016-09,16
2016-10,16
2016-11,29
2016-12,30
2017-01,9
2017-02,16
2017-03,23
2017-04,18
2017-05,11
2017-06,14
2017-07,10
2017-08,23
2017-09,13
2017-10,45
2017-11,11
2017-12,39
2018-01,24
2018-02,15
2018-03,21
2018-04,23
2018-05,17
2018-06,17
2018-07,30
2018-08,19
2018-09,25
2018-10,33
2018-11,19
2018-12,33
2019-01,24
2019-02,11
2019-03,19
2019-04,24
2019-05,21
2019-06,26
2019-07,28
2019-08,35
2019-09,31
2019-10,31
2019-11,48
2019-12,32
2020-01,27
2020-02,36
2020-03,35
2020-04,43
2020-05,16
2020-06,24
2020-07,36
2020-08,48
2020-09,48
2020-10,49
2020-11,16
2020-12,28
2021-01,51
2021-02,30
2021-03,44
2021-04,33
2021-05,44
2021-06,44
2021-07,70
2021-08,23
2021-09,32
2021-10,54
2021-11,48
2021-12,58
2022-01,50
2022-02,27
2022-03,35
2022-04,51
2022-05,39
2022-06,50
2022-07,56
2022-08,29
2022-09,32
2022-10,39
2022-11,44
2022-12,48
2023-01,66
2023-02,20
2023-03,52
2023-04,37
2023-05,26
2023-06,43
2023-07,78
2023-08,41
2023-09,19
2023-10,40
2023-11,54
2023-12,43
2024-01,31
2024-02,23
2024-03,14
2024-04,28
2024-05,39
2024-06,34
2024-07,56
2024-08,18
2024-09,53
2024-10,16
