Month,Gestión del Conocimiento
2004-01,90.32258064516128
2004-02,88.17204301075269
2004-03,89.24731182795699
2004-04,100.0
2004-05,89.24731182795699
2004-06,80.64516129032258
2004-07,73.11827956989248
2004-08,72.04301075268818
2004-09,79.56989247311827
2004-10,75.26881720430107
2004-11,69.89247311827957
2004-12,55.91397849462365
2005-01,60.215053763440864
2005-02,65.59139784946237
2005-03,68.81720430107528
2005-04,73.11827956989248
2005-05,58.06451612903226
2005-06,52.68817204301075
2005-07,50.53763440860215
2005-08,50.53763440860215
2005-09,55.91397849462365
2005-10,53.76344086021505
2005-11,48.38709677419355
2005-12,38.70967741935484
2006-01,39.784946236559136
2006-02,46.236559139784944
2006-03,49.46236559139785
2006-04,44.086021505376344
2006-05,43.01075268817204
2006-06,35.483870967741936
2006-07,33.33333333333333
2006-08,32.25806451612903
2006-09,34.40860215053764
2006-10,35.483870967741936
2006-11,35.483870967741936
2006-12,23.655913978494624
2007-01,29.03225806451613
2007-02,30.107526881720432
2007-03,34.40860215053764
2007-04,32.25806451612903
2007-05,31.182795698924732
2007-06,26.881720430107524
2007-07,25.806451612903224
2007-08,25.806451612903224
2007-09,27.956989247311824
2007-10,26.881720430107524
2007-11,27.956989247311824
2007-12,19.35483870967742
2008-01,24.731182795698924
2008-02,25.806451612903224
2008-03,25.806451612903224
2008-04,26.881720430107524
2008-05,24.731182795698924
2008-06,19.35483870967742
2008-07,20.43010752688172
2008-08,19.35483870967742
2008-09,23.655913978494624
2008-10,20.43010752688172
2008-11,20.43010752688172
2008-12,17.20430107526882
2009-01,17.20430107526882
2009-02,22.58064516129032
2009-03,24.731182795698924
2009-04,24.731182795698924
2009-05,20.43010752688172
2009-06,17.20430107526882
2009-07,17.20430107526882
2009-08,18.27956989247312
2009-09,18.27956989247312
2009-10,19.35483870967742
2009-11,20.43010752688172
2009-12,15.053763440860216
2010-01,17.20430107526882
2010-02,17.20430107526882
2010-03,23.655913978494624
2010-04,21.50537634408602
2010-05,20.43010752688172
2010-06,15.053763440860216
2010-07,12.903225806451612
2010-08,13.978494623655912
2010-09,12.903225806451612
2010-10,15.053763440860216
2010-11,18.27956989247312
2010-12,11.827956989247312
2011-01,12.903225806451612
2011-02,13.978494623655912
2011-03,15.053763440860216
2011-04,16.129032258064516
2011-05,16.129032258064516
2011-06,11.827956989247312
2011-07,9.67741935483871
2011-08,8.60215053763441
2011-09,11.827956989247312
2011-10,11.827956989247312
2011-11,11.827956989247312
2011-12,9.67741935483871
2012-01,10.75268817204301
2012-02,11.827956989247312
2012-03,11.827956989247312
2012-04,10.75268817204301
2012-05,10.75268817204301
2012-06,8.60215053763441
2012-07,6.451612903225806
2012-08,7.526881720430108
2012-09,9.67741935483871
2012-10,9.67741935483871
2012-11,7.526881720430108
2012-12,7.526881720430108
2013-01,6.451612903225806
2013-02,8.60215053763441
2013-03,8.60215053763441
2013-04,9.67741935483871
2013-05,8.60215053763441
2013-06,6.451612903225806
2013-07,5.376344086021505
2013-08,5.376344086021505
2013-09,5.376344086021505
2013-10,6.451612903225806
2013-11,7.526881720430108
2013-12,5.376344086021505
2014-01,5.376344086021505
2014-02,6.451612903225806
2014-03,7.526881720430108
2014-04,6.451612903225806
2014-05,7.526881720430108
2014-06,5.376344086021505
2014-07,4.301075268817205
2014-08,5.376344086021505
2014-09,5.376344086021505
2014-10,6.451612903225806
2014-11,6.451612903225806
2014-12,4.301075268817205
2015-01,4.301075268817205
2015-02,6.451612903225806
2015-03,6.451612903225806
2015-04,6.451612903225806
2015-05,4.301075268817205
2015-06,4.301075268817205
2015-07,4.301075268817205
2015-08,3.225806451612903
2015-09,4.301075268817205
2015-10,5.376344086021505
2015-11,5.376344086021505
2015-12,2.1505376344086025
2016-01,4.301075268817205
2016-02,5.376344086021505
2016-03,6.451612903225806
2016-04,4.301075268817205
2016-05,4.301075268817205
2016-06,2.1505376344086025
2016-07,1.0752688172043012
2016-08,2.1505376344086025
2016-09,3.225806451612903
2016-10,4.301075268817205
2016-11,3.225806451612903
2016-12,3.225806451612903
2017-01,5.376344086021505
2017-02,3.225806451612903
2017-03,5.376344086021505
2017-04,4.301075268817205
2017-05,4.301075268817205
2017-06,2.1505376344086025
2017-07,2.1505376344086025
2017-08,1.0752688172043012
2017-09,3.225806451612903
2017-10,3.225806451612903
2017-11,3.225806451612903
2017-12,2.1505376344086025
2018-01,2.1505376344086025
2018-02,3.225806451612903
2018-03,3.225806451612903
2018-04,3.225806451612903
2018-05,3.225806451612903
2018-06,1.0752688172043012
2018-07,1.0752688172043012
2018-08,1.0752688172043012
2018-09,2.1505376344086025
2018-10,2.1505376344086025
2018-11,3.225806451612903
2018-12,2.1505376344086025
2019-01,2.1505376344086025
2019-02,3.225806451612903
2019-03,3.225806451612903
2019-04,3.225806451612903
2019-05,3.225806451612903
2019-06,2.1505376344086025
2019-07,2.1505376344086025
2019-08,2.1505376344086025
2019-09,2.1505376344086025
2019-10,2.1505376344086025
2019-11,3.225806451612903
2019-12,1.0752688172043012
2020-01,2.1505376344086025
2020-02,2.1505376344086025
2020-03,1.0752688172043012
2020-04,2.1505376344086025
2020-05,2.1505376344086025
2020-06,2.1505376344086025
2020-07,2.1505376344086025
2020-08,1.0752688172043012
2020-09,3.225806451612903
2020-10,2.1505376344086025
2020-11,0.0
2020-12,0.0
2021-01,0.0
2021-02,0.0
2021-03,0.0
2021-04,1.0752688172043012
2021-05,1.0752688172043012
2021-06,1.0752688172043012
2021-07,1.0752688172043012
2021-08,1.0752688172043012
2021-09,0.0
2021-10,1.0752688172043012
2021-11,1.0752688172043012
2021-12,1.0752688172043012
2022-01,2.1505376344086025
2022-02,4.301075268817205
2022-03,5.376344086021505
2022-04,5.376344086021505
2022-05,3.225806451612903
2022-06,4.301075268817205
2022-07,2.1505376344086025
2022-08,2.1505376344086025
2022-09,3.225806451612903
2022-10,3.225806451612903
2022-11,3.225806451612903
2022-12,1.0752688172043012
2023-01,2.1505376344086025
2023-02,2.1505376344086025
2023-03,2.1505376344086025
2023-04,2.1505376344086025
2023-05,2.1505376344086025
2023-06,1.0752688172043012
2023-07,1.0752688172043012
2023-08,1.0752688172043012
2023-09,2.1505376344086025
2023-10,2.1505376344086025
2023-11,2.1505376344086025
2023-12,1.0752688172043012
2024-01,2.1505376344086025
2024-02,3.225806451612903
2024-03,2.1505376344086025
2024-04,3.225806451612903
2024-05,5.376344086021505
2024-06,4.301075268817205
2024-07,3.225806451612903
2024-08,3.225806451612903
2024-09,3.225806451612903
2024-10,5.376344086021505
2024-11,4.301075268817205
2024-12,3.225806451612903
2025-01,4.301075268817205
2025-02,6.451612903225806
