Date,Segmentación de Clientes
1987-12,1134
1988-01,1138
1988-02,268
1988-03,247
1988-04,178
1988-05,249
1988-06,225
1988-07,210
1988-08,246
1988-09,236
1988-10,221
1988-11,235
1988-12,1250
1989-01,1140
1989-02,261
1989-03,334
1989-04,301
1989-05,299
1989-06,252
1989-07,232
1989-08,302
1989-09,280
1989-10,221
1989-11,264
1989-12,1187
1990-01,1139
1990-02,289
1990-03,296
1990-04,250
1990-05,267
1990-06,289
1990-07,281
1990-08,339
1990-09,340
1990-10,218
1990-11,259
1990-12,1246
1991-01,1224
1991-02,314
1991-03,321
1991-04,290
1991-05,354
1991-06,339
1991-07,278
1991-08,339
1991-09,337
1991-10,262
1991-11,293
1991-12,1340
1992-01,1318
1992-02,412
1992-03,424
1992-04,349
1992-05,388
1992-06,419
1992-07,338
1992-08,392
1992-09,425
1992-10,340
1992-11,306
1992-12,1388
1993-01,1375
1993-02,419
1993-03,450
1993-04,407
1993-05,401
1993-06,426
1993-07,374
1993-08,495
1993-09,521
1993-10,370
1993-11,354
1993-12,1568
1994-01,1478
1994-02,457
1994-03,496
1994-04,390
1994-05,456
1994-06,507
1994-07,376
1994-08,463
1994-09,551
1994-10,465
1994-11,441
1994-12,1971
1995-01,1816
1995-02,410
1995-03,505
1995-04,435
1995-05,439
1995-06,484
1995-07,461
1995-08,523
1995-09,559
1995-10,440
1995-11,498
1995-12,1892
1996-01,1757
1996-02,521
1996-03,589
1996-04,465
1996-05,557
1996-06,624
1996-07,460
1996-08,534
1996-09,652
1996-10,542
1996-11,572
1996-12,2116
1997-01,2015
1997-02,578
1997-03,669
1997-04,596
1997-05,559
1997-06,605
1997-07,541
1997-08,569
1997-09,578
1997-10,568
1997-11,630
1997-12,2126
1998-01,1976
1998-02,593
1998-03,697
1998-04,579
1998-05,560
1998-06,655
1998-07,555
1998-08,550
1998-09,596
1998-10,539
1998-11,617
1998-12,2424
1999-01,2222
1999-02,661
1999-03,718
1999-04,597
1999-05,674
1999-06,677
1999-07,630
1999-08,599
1999-09,621
1999-10,525
1999-11,608
1999-12,2639
2000-01,2450
2000-02,674
2000-03,790
2000-04,649
2000-05,643
2000-06,812
2000-07,636
2000-08,758
2000-09,751
2000-10,584
2000-11,603
2000-12,2637
2001-01,2540
2001-02,720
2001-03,817
2001-04,675
2001-05,710
2001-06,896
2001-07,715
2001-08,752
2001-09,900
2001-10,675
2001-11,725
2001-12,2939
2002-01,2724
2002-02,859
2002-03,930
2002-04,771
2002-05,812
2002-06,796
2002-07,739
2002-08,847
2002-09,990
2002-10,771
2002-11,853
2002-12,3151
2003-01,2987
2003-02,874
2003-03,992
2003-04,795
2003-05,904
2003-06,954
2003-07,746
2003-08,985
2003-09,1034
2003-10,796
2003-11,892
2003-12,4535
2004-01,4196
2004-02,881
2004-03,981
2004-04,883
2004-05,981
2004-06,1155
2004-07,979
2004-08,1082
2004-09,1062
2004-10,934
2004-11,932
2004-12,3862
2005-01,3581
2005-02,911
2005-03,1057
2005-04,994
2005-05,1047
2005-06,1181
2005-07,975
2005-08,1156
2005-09,1172
2005-10,1049
2005-11,1180
2005-12,4589
2006-01,4450
2006-02,986
2006-03,1215
2006-04,1150
2006-05,1245
2006-06,1553
2006-07,1307
2006-08,1278
2006-09,1442
2006-10,1476
2006-11,1327
2006-12,3937
2007-01,3781
2007-02,1134
2007-03,1450
2007-04,1188
2007-05,1651
2007-06,1600
2007-07,1637
2007-08,1919
2007-09,1537
2007-10,1364
2007-11,1568
2007-12,4880
2008-01,4489
2008-02,1325
2008-03,1595
2008-04,1530
2008-05,1811
2008-06,1844
2008-07,1478
2008-08,1650
2008-09,2361
2008-10,1938
2008-11,1990
2008-12,6478
2009-01,5710
2009-02,1559
2009-03,1644
2009-04,1527
2009-05,1698
2009-06,1959
2009-07,1642
2009-08,2182
2009-09,2521
2009-10,1931
2009-11,1968
2009-12,6364
2010-01,5893
2010-02,1445
2010-03,2009
2010-04,1700
2010-05,1952
2010-06,2202
2010-07,2514
2010-08,2463
2010-09,2418
2010-10,2485
2010-11,2426
2010-12,7401
2011-01,6770
2011-02,1725
2011-03,2092
2011-04,2192
2011-05,2349
2011-06,2426
2011-07,2727
2011-08,3148
2011-09,2747
2011-10,2279
2011-11,2373
2011-12,7375
2012-01,8208
2012-02,1967
2012-03,2280
2012-04,2281
2012-05,2835
2012-06,3071
2012-07,2407
2012-08,2277
2012-09,2776
2012-10,2952
2012-11,3008
2012-12,9458
2013-01,9119
2013-02,2048
2013-03,2317
2013-04,2382
2013-05,2571
2013-06,2994
2013-07,2633
2013-08,2539
2013-09,2853
2013-10,3051
2013-11,2934
2013-12,9972
2014-01,9527
2014-02,2254
2014-03,2712
2014-04,2545
2014-05,2733
2014-06,2715
2014-07,2661
2014-08,2816
2014-09,3169
2014-10,3886
2014-11,3172
2014-12,11872
2015-01,11399
2015-02,2302
2015-03,2773
2015-04,2658
2015-05,2878
2015-06,2857
2015-07,2576
2015-08,2830
2015-09,2895
2015-10,3223
2015-11,3061
2015-12,12475
2016-01,11585
2016-02,2519
2016-03,3076
2016-04,3177
2016-05,3044
2016-06,3376
2016-07,2837
2016-08,3036
2016-09,3692
2016-10,3386
2016-11,3660
2016-12,13222
2017-01,12242
2017-02,2701
2017-03,3505
2017-04,3117
2017-05,3283
2017-06,3779
2017-07,4071
2017-08,3649
2017-09,4152
2017-10,3559
2017-11,3990
2017-12,15145
2018-01,14035
2018-02,3152
2018-03,3871
2018-04,3733
2018-05,3999
2018-06,4285
2018-07,4568
2018-08,4319
2018-09,4581
2018-10,4463
2018-11,4098
2018-12,17531
2019-01,16423
2019-02,3550
2019-03,4672
2019-04,4252
2019-05,4381
2019-06,4841
2019-07,4823
2019-08,4683
2019-09,5340
2019-10,5173
2019-11,5257
2019-12,18422
2020-01,17157
2020-02,3996
2020-03,4665
2020-04,4363
2020-05,4649
2020-06,5430
2020-07,5116
2020-08,4942
2020-09,5325
2020-10,5243
