Year,Gestión de la Cadena de Suministro
1999-01,3.88
2000-01,3.75
2002-01,3.8
2004-01,3.99
2006-01,3.77
2008-01,3.81
2010-01,3.88
2012-01,3.86
2014-01,3.85
2017-01,4.05
2022-01,4.1
