Year,Cuadro de Mando Integral
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.022816901408450708
1954-01,0.02363380281690141
1955-01,0.11239436619718311
1956-01,0.0
1957-01,0.0
1958-01,0.9380281690140845
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.20901408450704229
1965-01,0.0
1966-01,0.1532394366197183
1967-01,0.0
1968-01,1.36056338028169
1969-01,0.0
1970-01,0.030985915492957747
1971-01,0.029859154929577462
1972-01,1.295774647887324
1973-01,0.0
1974-01,0.08985915492957747
1975-01,0.13239436619718312
1976-01,0.014140845070422537
1977-01,0.0
1978-01,0.06929577464788732
1979-01,0.02723943661971831
1980-01,0.23633802816901409
1981-01,0.0
1982-01,0.027126760563380283
1983-01,0.025380281690140845
1984-01,0.07746478873239436
1985-01,0.06591549295774649
1986-01,0.22366197183098596
1987-01,0.013352112676056339
1988-01,0.05211267605633803
1989-01,0.20647887323943662
1990-01,0.12140845070422535
1991-01,0.3183098591549296
1992-01,0.5295774647887325
1993-01,0.504225352112676
1994-01,1.7521126760563381
1995-01,2.929577464788733
1996-01,14.985915492957746
1997-01,10.56338028169014
1998-01,16.845070422535212
1999-01,20.676056338028168
2000-01,36.33802816901409
2001-01,44.225352112676056
2002-01,50.70422535211267
2003-01,55.21126760563381
2004-01,67.88732394366197
2005-01,72.95774647887323
2006-01,96.05633802816902
2007-01,85.07042253521126
2008-01,87.04225352112675
2009-01,76.61971830985915
2010-01,100.0
2011-01,94.08450704225353
2012-01,76.61971830985915
2013-01,80.0
2014-01,64.22535211267606
2015-01,74.64788732394366
2016-01,64.7887323943662
2017-01,60.28169014084508
2018-01,48.732394366197184
2019-01,37.464788732394375
2020-01,32.3943661971831
2021-01,40.0
2022-01,34.647887323943664
