Date,Cuadro de Mando Integral
1987-09,544
1987-10,431
1987-11,508
1987-12,2471
1988-01,2350
1988-02,521
1988-03,542
1988-04,447
1988-05,578
1988-06,584
1988-07,442
1988-08,586
1988-09,587
1988-10,480
1988-11,481
1988-12,2780
1989-01,2622
1989-02,523
1989-03,645
1989-04,553
1989-05,676
1989-06,685
1989-07,555
1989-08,677
1989-09,659
1989-10,497
1989-11,556
1989-12,3197
1990-01,3011
1990-02,604
1990-03,695
1990-04,700
1990-05,653
1990-06,601
1990-07,628
1990-08,797
1990-09,819
1990-10,530
1990-11,514
1990-12,2910
1991-01,2819
1991-02,599
1991-03,715
1991-04,630
1991-05,664
1991-06,734
1991-07,546
1991-08,757
1991-09,778
1991-10,567
1991-11,614
1991-12,3076
1992-01,3010
1992-02,715
1992-03,784
1992-04,682
1992-05,944
1992-06,985
1992-07,630
1992-08,799
1992-09,818
1992-10,697
1992-11,668
1992-12,3000
1993-01,2850
1993-02,737
1993-03,851
1993-04,767
1993-05,974
1993-06,1059
1993-07,717
1993-08,835
1993-09,896
1993-10,678
1993-11,774
1993-12,3630
1994-01,3443
1994-02,884
1994-03,971
1994-04,795
1994-05,929
1994-06,835
1994-07,723
1994-08,873
1994-09,884
1994-10,776
1994-11,862
1994-12,4133
1995-01,3957
1995-02,846
1995-03,886
1995-04,821
1995-05,1003
1995-06,976
1995-07,772
1995-08,993
1995-09,1060
1995-10,753
1995-11,796
1995-12,4005
1996-01,3859
1996-02,921
1996-03,1057
1996-04,887
1996-05,1050
1996-06,1147
1996-07,812
1996-08,883
1996-09,1056
1996-10,922
1996-11,1006
1996-12,4308
1997-01,4117
1997-02,951
1997-03,1056
1997-04,873
1997-05,1076
1997-06,1220
1997-07,924
1997-08,960
1997-09,978
1997-10,838
1997-11,913
1997-12,4254
1998-01,4048
1998-02,899
1998-03,1007
1998-04,923
1998-05,1105
1998-06,1133
1998-07,929
1998-08,1151
1998-09,1142
1998-10,931
1998-11,983
1998-12,4503
1999-01,4309
1999-02,1017
1999-03,1133
1999-04,999
1999-05,1171
1999-06,1165
1999-07,1038
1999-08,1272
1999-09,1059
1999-10,796
1999-11,989
1999-12,5048
2000-01,4841
2000-02,1082
2000-03,1283
2000-04,1081
2000-05,1255
2000-06,1357
2000-07,1023
2000-08,1144
2000-09,1160
2000-10,1119
2000-11,1087
2000-12,4670
2001-01,4421
2001-02,1020
2001-03,1255
2001-04,1055
2001-05,1311
2001-06,1316
2001-07,1047
2001-08,1215
2001-09,1307
2001-10,1119
2001-11,1057
2001-12,5495
2002-01,5119
2002-02,1168
2002-03,1320
2002-04,1132
2002-05,1361
2002-06,1313
2002-07,1044
2002-08,1150
2002-09,1451
2002-10,1026
2002-11,1205
2002-12,5929
2003-01,5618
2003-02,1213
2003-03,1348
2003-04,1130
2003-05,1278
2003-06,1429
2003-07,1049
2003-08,1440
2003-09,1786
2003-10,1162
2003-11,1291
2003-12,6989
2004-01,6690
2004-02,1472
2004-03,1722
2004-04,1479
2004-05,1737
2004-06,2017
2004-07,1543
2004-08,1641
2004-09,1782
2004-10,1454
2004-11,1442
2004-12,6802
2005-01,6695
2005-02,1424
2005-03,1518
2005-04,1482
2005-05,1760
2005-06,1864
2005-07,1374
2005-08,1537
2005-09,1656
2005-10,1545
2005-11,1514
2005-12,8966
2006-01,8648
2006-02,1547
2006-03,1946
2006-04,1791
2006-05,2004
2006-06,2579
2006-07,2431
2006-08,2309
2006-09,3238
2006-10,3324
2006-11,2631
2006-12,7713
2007-01,7476
2007-02,1787
2007-03,2202
2007-04,2330
2007-05,2768
2007-06,2972
2007-07,2979
2007-08,3060
2007-09,2844
2007-10,2577
2007-11,2450
2007-12,9242
2008-01,8416
2008-02,1850
2008-03,2353
2008-04,2525
2008-05,3016
2008-06,3679
2008-07,2856
2008-08,3040
2008-09,3648
2008-10,3398
2008-11,3152
2008-12,11132
2009-01,10022
2009-02,2230
2009-03,2584
2009-04,2911
2009-05,3301
2009-06,3474
2009-07,3704
2009-08,4318
2009-09,3723
2009-10,2960
2009-11,3468
2009-12,11026
2010-01,9809
2010-02,2488
2010-03,2989
2010-04,3113
2010-05,4686
2010-06,5206
2010-07,4470
2010-08,4445
2010-09,4799
2010-10,4717
2010-11,4072
2010-12,12005
2011-01,11052
2011-02,2989
2011-03,3708
2011-04,4349
2011-05,4948
2011-06,5248
2011-07,5399
2011-08,6031
2011-09,5428
2011-10,4315
2011-11,4294
2011-12,12822
2012-01,12922
2012-02,3272
2012-03,3692
2012-04,4329
2012-05,5160
2012-06,5738
2012-07,4699
2012-08,4656
2012-09,5394
2012-10,4826
2012-11,5475
2012-12,15192
2013-01,13437
2013-02,3309
2013-03,3830
2013-04,3877
2013-05,4849
2013-06,5520
2013-07,5093
2013-08,5659
2013-09,6179
2013-10,5899
2013-11,5297
2013-12,15200
2014-01,14175
2014-02,3984
2014-03,4369
2014-04,4865
2014-05,5605
2014-06,5908
2014-07,5221
2014-08,5797
2014-09,6758
2014-10,6274
2014-11,5676
2014-12,17724
2015-01,16173
2015-02,4192
2015-03,5160
2015-04,4995
2015-05,5643
2015-06,5945
2015-07,5118
2015-08,5505
2015-09,6590
2015-10,6575
2015-11,6163
2015-12,19841
2016-01,17750
2016-02,4358
2016-03,5009
2016-04,5768
2016-05,6418
2016-06,7192
2016-07,6097
2016-08,5996
2016-09,7695
2016-10,7095
2016-11,6379
2016-12,18640
2017-01,16779
2017-02,4819
2017-03,5792
2017-04,5953
2017-05,6964
2017-06,7403
2017-07,7706
2017-08,6880
2017-09,7894
2017-10,7482
2017-11,7613
2017-12,21904
2018-01,19951
2018-02,5417
2018-03,6277
2018-04,6678
2018-05,7669
2018-06,8235
2018-07,8332
2018-08,7609
2018-09,8987
2018-10,9352
2018-11,7611
2018-12,21873
2019-01,20241
2019-02,6045
2019-03,7232
2019-04,6862
2019-05,7679
2019-06,8500
2019-07,8130
2019-08,8122
2019-09,9651
2019-10,10291
2019-11,9556
2019-12,24653
2020-01,22775
2020-02,6592
2020-03,7292
2020-04,6483
2020-05,7224
2020-06,8947
2020-07,8352
2020-08,7847
2020-09,8458
2020-10,9059
2020-11,9476
2020-12,28561
2021-01,24795
2021-02,6805
2021-03,7781
2021-04,7103
2021-05,7784
2021-06,8439
2021-07,7664
2021-08,8322
2021-09,8213
2021-10,9152
2021-11,8986
2021-12,27783
2022-01,25343
2022-02,6442
2022-03,7348
2022-04,7038
2022-05,7794
2022-06,9154
2022-07,8480
2022-08,8753
2022-09,8718
2022-10,9166
2022-11,9994
2022-12,31913
2023-01,27652
2023-02,6964
2023-03,8012
2023-04,7239
2023-05,9128
2023-06,9407
2023-07,8733
2023-08,9207
2023-09,10016
2023-10,9951
2023-11,10416
2023-12,34818
2024-01,30971
2024-02,8039
2024-03,8484
2024-04,9083
2024-05,10903
2024-06,10336
2024-07,10107
2024-08,9937
2024-09,10072
2024-10,10490
2024-11,10687
2024-12,16421
2025-01,12761
2025-02,6999
2025-03,3919
