Date,Project Management
1987-12,426
1988-01,1110
1988-02,225
1988-03,485
1988-04,247
1988-05,252
1988-06,425
1988-07,325
1988-08,203
1988-09,432
1988-10,273
1988-11,287
1988-12,470
1989-01,1284
1989-02,272
1989-03,553
1989-04,266
1989-05,307
1989-06,401
1989-07,362
1989-08,245
1989-09,494
1989-10,307
1989-11,282
1989-12,495
1990-01,1303
1990-02,299
1990-03,572
1990-04,357
1990-05,363
1990-06,514
1990-07,414
1990-08,243
1990-09,592
1990-10,341
1990-11,290
1990-12,503
1991-01,1455
1991-02,281
1991-03,535
1991-04,568
1991-05,382
1991-06,481
1991-07,410
1991-08,238
1991-09,555
1991-10,373
1991-11,322
1991-12,742
1992-01,1089
1992-02,337
1992-03,651
1992-04,458
1992-05,507
1992-06,500
1992-07,517
1992-08,329
1992-09,665
1992-10,443
1992-11,391
1992-12,724
1993-01,1157
1993-02,329
1993-03,571
1993-04,434
1993-05,489
1993-06,475
1993-07,442
1993-08,369
1993-09,709
1993-10,421
1993-11,387
1993-12,750
1994-01,1296
1994-02,356
1994-03,629
1994-04,482
1994-05,427
1994-06,646
1994-07,487
1994-08,368
1994-09,685
1994-10,498
1994-11,392
1994-12,825
1995-01,1277
1995-02,436
1995-03,740
1995-04,463
1995-05,470
1995-06,853
1995-07,516
1995-08,339
1995-09,789
1995-10,518
1995-11,470
1995-12,697
1996-01,1404
1996-02,466
1996-03,805
1996-04,537
1996-05,545
1996-06,764
1996-07,591
1996-08,371
1996-09,779
1996-10,546
1996-11,521
1996-12,793
1997-01,1585
1997-02,515
1997-03,780
1997-04,576
1997-05,520
1997-06,900
1997-07,642
1997-08,420
1997-09,735
1997-10,627
1997-11,497
1997-12,804
1998-01,1575
1998-02,422
1998-03,936
1998-04,628
1998-05,490
1998-06,804
1998-07,824
1998-08,536
1998-09,754
1998-10,587
1998-11,516
1998-12,969
1999-01,1409
1999-02,605
1999-03,858
1999-04,630
1999-05,522
1999-06,815
1999-07,821
1999-08,655
1999-09,887
1999-10,753
1999-11,640
1999-12,983
2000-01,1576
2000-02,562
2000-03,988
2000-04,771
2000-05,530
2000-06,926
2000-07,828
2000-08,719
2000-09,851
2000-10,855
2000-11,624
2000-12,1023
2001-01,1711
2001-02,498
2001-03,963
2001-04,811
2001-05,787
2001-06,920
2001-07,732
2001-08,655
2001-09,1001
2001-10,897
2001-11,586
2001-12,1280
2002-01,1919
2002-02,574
2002-03,980
2002-04,801
2002-05,770
2002-06,905
2002-07,800
2002-08,735
2002-09,1222
2002-10,927
2002-11,759
2002-12,1152
2003-01,1911
2003-02,706
2003-03,998
2003-04,812
2003-05,637
2003-06,1049
2003-07,854
2003-08,784
2003-09,1449
2003-10,972
2003-11,750
2003-12,1470
2004-01,1874
2004-02,810
2004-03,1139
2004-04,997
2004-05,764
2004-06,1153
2004-07,929
2004-08,921
2004-09,1025
2004-10,1025
2004-11,883
2004-12,1185
2005-01,1738
2005-02,681
2005-03,1143
2005-04,963
2005-05,834
2005-06,1223
2005-07,1062
2005-08,954
2005-09,1171
2005-10,1004
2005-11,863
2005-12,1249
2006-01,2298
2006-02,726
2006-03,1305
2006-04,1165
2006-05,938
2006-06,1242
2006-07,1111
2006-08,1130
2006-09,1361
2006-10,987
2006-11,1219
2006-12,1471
2007-01,2242
2007-02,1060
2007-03,1452
2007-04,3099
2007-05,1712
2007-06,2053
2007-07,1366
2007-08,1350
2007-09,1383
2007-10,1710
2007-11,1405
2007-12,2072
2008-01,2367
2008-02,1247
2008-03,1538
2008-04,1550
2008-05,1385
2008-06,1668
2008-07,1437
2008-08,1168
2008-09,1631
2008-10,1328
2008-11,1147
2008-12,1871
2009-01,1950
2009-02,1239
2009-03,1587
2009-04,1201
2009-05,1093
2009-06,1422
2009-07,1208
2009-08,1119
2009-09,1852
2009-10,1418
2009-11,1347
2009-12,1723
2010-01,2142
2010-02,1247
2010-03,1783
2010-04,1249
2010-05,1489
2010-06,1491
2010-07,1841
2010-08,1665
2010-09,1567
2010-10,1561
2010-11,2167
2010-12,1809
2011-01,2451
2011-02,1181
2011-03,1533
2011-04,1355
2011-05,1544
2011-06,1657
2011-07,1297
2011-08,1890
2011-09,1835
2011-10,1494
2011-11,1862
2011-12,1941
2012-01,3082
2012-02,1506
2012-03,1913
2012-04,1535
2012-05,1639
2012-06,2022
2012-07,1797
2012-08,1548
2012-09,2071
2012-10,2164
2012-11,1969
2012-12,2366
2013-01,2672
2013-02,1467
2013-03,2009
2013-04,1559
2013-05,1746
2013-06,2096
2013-07,1780
2013-08,1428
2013-09,2285
2013-10,2453
2013-11,2335
2013-12,2253
2014-01,2486
2014-02,1661
2014-03,2090
2014-04,1762
2014-05,1670
2014-06,1908
2014-07,1936
2014-08,1655
2014-09,2144
2014-10,2384
2014-11,1990
2014-12,2466
2015-01,3576
2015-02,1620
2015-03,2036
2015-04,1765
2015-05,1914
2015-06,2225
2015-07,1925
2015-08,1929
2015-09,2164
2015-10,2201
2015-11,1961
2015-12,2360
2016-01,2436
2016-02,2072
2016-03,2205
2016-04,3278
2016-05,2005
2016-06,2408
2016-07,2280
2016-08,1995
2016-09,2514
2016-10,2303
2016-11,2264
2016-12,2841
2017-01,2385
2017-02,2167
2017-03,2691
2017-04,2190
2017-05,2551
2017-06,2580
2017-07,2763
2017-08,2357
2017-09,2977
2017-10,2927
2017-11,2884
2017-12,3070
2018-01,3000
2018-02,2368
2018-03,2694
2018-04,2725
2018-05,2459
2018-06,2801
2018-07,2774
2018-08,2288
2018-09,3323
2018-10,3162
2018-11,2379
2018-12,3095
2019-01,3142
2019-02,2456
2019-03,3164
2019-04,2856
2019-05,2800
2019-06,2924
2019-07,2827
2019-08,2754
2019-09,2955
2019-10,3015
2019-11,3359
2019-12,3677
2020-01,3129
2020-02,3026
2020-03,3284
2020-04,3021
2020-05,2757
2020-06,3329
2020-07,3457
2020-08,3020
2020-09,3215
2020-10,3488
2020-11,3407
2020-12,4573
2021-01,3711
2021-02,2893
2021-03,3691
2021-04,3333
2021-05,3029
2021-06,3333
2021-07,3250
2021-08,3039
2021-09,3698
2021-10,13145
2021-11,3028
2021-12,4817
2022-01,3587
2022-02,2991
2022-03,3697
2022-04,3590
2022-05,3975
2022-06,4504
2022-07,3588
2022-08,4252
2022-09,4405
2022-10,4293
2022-11,4141
2022-12,5264
2023-01,3830
2023-02,3731
2023-03,4925
2023-04,3664
2023-05,4152
2023-06,4321
2023-07,3874
2023-08,4088
2023-09,4472
2023-10,4710
2023-11,26939
2023-12,5251
2024-01,4402
2024-02,4334
2024-03,4743
2024-04,4972
2024-05,5020
2024-06,4544
2024-07,4621
2024-08,4824
2024-09,4763
2024-10,2139
