Year,Optimización de Precios
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,12.984496124031008
1955-01,0.0
1956-01,2.3682170542635657
1957-01,0.2802325581395349
1958-01,0.5736434108527132
1959-01,1.3255813953488373
1960-01,2.244186046511628
1961-01,1.1627906976744187
1962-01,0.22868217054263568
1963-01,0.437984496124031
1964-01,1.8294573643410854
1965-01,2.2170542635658914
1966-01,0.4689922480620155
1967-01,1.0813953488372094
1968-01,10.116279069767442
1969-01,13.875968992248062
1970-01,9.806201550387597
1971-01,16.08527131782946
1972-01,15.0
1973-01,46.51162790697674
1974-01,29.883720930232556
1975-01,45.34883720930233
1976-01,50.0
1977-01,41.47286821705426
1978-01,34.96124031007752
1979-01,70.15503875968993
1980-01,49.6124031007752
1981-01,55.42635658914728
1982-01,41.47286821705426
1983-01,47.67441860465116
1984-01,34.61240310077519
1985-01,59.30232558139535
1986-01,58.13953488372092
1987-01,68.9922480620155
1988-01,63.95348837209301
1989-01,58.13953488372092
1990-01,45.34883720930233
1991-01,33.64341085271318
1992-01,45.34883720930233
1993-01,33.7984496124031
1994-01,36.12403100775194
1995-01,37.48062015503876
1996-01,35.85271317829458
1997-01,58.52713178294574
1998-01,28.21705426356589
1999-01,34.26356589147287
2000-01,44.96124031007752
2001-01,69.76744186046511
2002-01,53.100775193798455
2003-01,100.0
2004-01,59.68992248062015
2005-01,50.775193798449614
2006-01,91.86046511627907
2007-01,82.94573643410853
2008-01,65.89147286821706
2009-01,61.627906976744185
2010-01,70.15503875968993
2011-01,82.55813953488372
2012-01,86.04651162790698
2013-01,59.68992248062015
2014-01,60.07751937984496
2015-01,62.7906976744186
2016-01,66.27906976744187
2017-01,54.263565891472865
2018-01,74.03100775193798
2019-01,61.627906976744185
2020-01,58.91472868217055
2021-01,85.65891472868216
2022-01,80.23255813953489
