Date,Competencias Centrales
1987-12,208
1988-01,415
1988-02,137
1988-03,209
1988-04,155
1988-05,140
1988-06,210
1988-07,146
1988-08,143
1988-09,156
1988-10,144
1988-11,131
1988-12,293
1989-01,443
1989-02,147
1989-03,224
1989-04,175
1989-05,163
1989-06,198
1989-07,166
1989-08,180
1989-09,236
1989-10,205
1989-11,138
1989-12,231
1990-01,431
1990-02,155
1990-03,233
1990-04,193
1990-05,189
1990-06,251
1990-07,195
1990-08,166
1990-09,240
1990-10,188
1990-11,146
1990-12,255
1991-01,437
1991-02,155
1991-03,246
1991-04,212
1991-05,195
1991-06,204
1991-07,206
1991-08,168
1991-09,239
1991-10,183
1991-11,183
1991-12,283
1992-01,451
1992-02,182
1992-03,331
1992-04,239
1992-05,196
1992-06,282
1992-07,230
1992-08,185
1992-09,291
1992-10,242
1992-11,169
1992-12,298
1993-01,494
1993-02,211
1993-03,289
1993-04,238
1993-05,258
1993-06,298
1993-07,238
1993-08,232
1993-09,319
1993-10,328
1993-11,222
1993-12,325
1994-01,574
1994-02,218
1994-03,344
1994-04,227
1994-05,213
1994-06,356
1994-07,216
1994-08,245
1994-09,341
1994-10,235
1994-11,248
1994-12,310
1995-01,530
1995-02,215
1995-03,379
1995-04,279
1995-05,257
1995-06,325
1995-07,287
1995-08,264
1995-09,371
1995-10,318
1995-11,223
1995-12,413
1996-01,553
1996-02,247
1996-03,373
1996-04,320
1996-05,352
1996-06,380
1996-07,292
1996-08,234
1996-09,356
1996-10,332
1996-11,285
1996-12,392
1997-01,535
1997-02,304
1997-03,386
1997-04,329
1997-05,259
1997-06,410
1997-07,324
1997-08,290
1997-09,359
1997-10,285
1997-11,349
1997-12,482
1998-01,512
1998-02,272
1998-03,489
1998-04,345
1998-05,290
1998-06,376
1998-07,389
1998-08,322
1998-09,417
1998-10,296
1998-11,278
1998-12,461
1999-01,575
1999-02,293
1999-03,424
1999-04,339
1999-05,336
1999-06,439
1999-07,337
1999-08,315
1999-09,478
1999-10,320
1999-11,329
1999-12,458
2000-01,673
2000-02,326
2000-03,509
2000-04,382
2000-05,374
2000-06,446
2000-07,413
2000-08,413
2000-09,405
2000-10,397
2000-11,376
2000-12,444
2001-01,761
2001-02,317
2001-03,536
2001-04,432
2001-05,411
2001-06,552
2001-07,390
2001-08,386
2001-09,552
2001-10,416
2001-11,337
2001-12,593
2002-01,824
2002-02,335
2002-03,551
2002-04,539
2002-05,410
2002-06,498
2002-07,448
2002-08,435
2002-09,606
2002-10,523
2002-11,556
2002-12,551
2003-01,868
2003-02,426
2003-03,554
2003-04,447
2003-05,404
2003-06,671
2003-07,436
2003-08,511
2003-09,601
2003-10,508
2003-11,472
2003-12,638
2004-01,815
2004-02,465
2004-03,702
2004-04,536
2004-05,552
2004-06,1115
2004-07,576
2004-08,600
2004-09,584
2004-10,627
2004-11,439
2004-12,654
2005-01,1007
2005-02,463
2005-03,619
2005-04,575
2005-05,493
2005-06,728
2005-07,560
2005-08,772
2005-09,685
2005-10,602
2005-11,643
2005-12,690
2006-01,1257
2006-02,501
2006-03,763
2006-04,726
2006-05,679
2006-06,767
2006-07,738
2006-08,805
2006-09,795
2006-10,846
2006-11,738
2006-12,793
2007-01,1130
2007-02,642
2007-03,910
2007-04,781
2007-05,1067
2007-06,1013
2007-07,796
2007-08,880
2007-09,898
2007-10,859
2007-11,717
2007-12,971
2008-01,1172
2008-02,646
2008-03,1060
2008-04,780
2008-05,957
2008-06,949
2008-07,939
2008-08,834
2008-09,1315
2008-10,1178
2008-11,925
2008-12,1151
2009-01,1414
2009-02,839
2009-03,950
2009-04,928
2009-05,1044
2009-06,1166
2009-07,977
2009-08,1007
2009-09,1322
2009-10,1151
2009-11,1001
2009-12,1118
2010-01,1585
2010-02,839
2010-03,1132
2010-04,1241
2010-05,1168
2010-06,1286
2010-07,1234
2010-08,1239
2010-09,1251
2010-10,1282
2010-11,1387
2010-12,1347
2011-01,1596
2011-02,1068
2011-03,1256
2011-04,1209
2011-05,1555
2011-06,1462
2011-07,1271
2011-08,1625
2011-09,1618
2011-10,1512
