Date,Planificación de Escenarios
1987-09,434
1987-10,447
1987-11,326
1987-12,2097
1988-01,1973
1988-02,423
1988-03,482
1988-04,360
1988-05,399
1988-06,478
1988-07,364
1988-08,350
1988-09,465
1988-10,444
1988-11,395
1988-12,2134
1989-01,2023
1989-02,442
1989-03,491
1989-04,402
1989-05,432
1989-06,470
1989-07,397
1989-08,397
1989-09,505
1989-10,458
1989-11,378
1989-12,2220
1990-01,2157
1990-02,433
1990-03,510
1990-04,429
1990-05,478
1990-06,525
1990-07,411
1990-08,417
1990-09,599
1990-10,608
1990-11,442
1990-12,2418
1991-01,2223
1991-02,441
1991-03,617
1991-04,481
1991-05,503
1991-06,540
1991-07,376
1991-08,372
1991-09,513
1991-10,597
1991-11,461
1991-12,2394
1992-01,2306
1992-02,518
1992-03,601
1992-04,526
1992-05,504
1992-06,541
1992-07,391
1992-08,389
1992-09,553
1992-10,626
1992-11,432
1992-12,2528
1993-01,2478
1993-02,538
1993-03,632
1993-04,540
1993-05,496
1993-06,648
1993-07,494
1993-08,438
1993-09,534
1993-10,625
1993-11,476
1993-12,2410
1994-01,2325
1994-02,517
1994-03,576
1994-04,457
1994-05,458
1994-06,556
1994-07,520
1994-08,511
1994-09,588
1994-10,630
1994-11,487
1994-12,2545
1995-01,2622
1995-02,631
1995-03,662
1995-04,592
1995-05,604
1995-06,660
1995-07,550
1995-08,573
1995-09,771
1995-10,842
1995-11,623
1995-12,2620
1996-01,2483
1996-02,553
1996-03,661
1996-04,610
1996-05,638
1996-06,661
1996-07,551
1996-08,626
1996-09,667
1996-10,703
1996-11,599
1996-12,2886
1997-01,2732
1997-02,599
1997-03,699
1997-04,563
1997-05,639
1997-06,699
1997-07,491
1997-08,535
1997-09,646
1997-10,692
1997-11,656
1997-12,3145
1998-01,2913
1998-02,572
1998-03,692
1998-04,601
1998-05,689
1998-06,697
1998-07,550
1998-08,648
1998-09,681
1998-10,506
1998-11,625
1998-12,3336
1999-01,3039
1999-02,626
1999-03,656
1999-04,500
1999-05,616
1999-06,614
1999-07,521
1999-08,605
1999-09,709
1999-10,536
1999-11,662
1999-12,3363
2000-01,3250
2000-02,641
2000-03,791
2000-04,680
