Month,Talento y Compromiso
2004-01,0.0
2004-02,10.0
2004-03,0.0
2004-04,14.000000000000002
2004-05,0.0
2004-06,9.0
2004-07,8.0
2004-08,8.0
2004-09,10.0
2004-10,9.0
2004-11,9.0
2004-12,12.0
2005-01,15.0
2005-02,10.0
2005-03,12.0
2005-04,14.000000000000002
2005-05,13.0
2005-06,18.0
2005-07,13.0
2005-08,11.0
2005-09,14.000000000000002
2005-10,16.0
2005-11,14.000000000000002
2005-12,10.0
2006-01,12.0
2006-02,17.0
2006-03,17.0
2006-04,14.000000000000002
2006-05,13.0
2006-06,16.0
2006-07,16.0
2006-08,18.0
2006-09,17.0
2006-10,17.0
2006-11,16.0
2006-12,11.0
2007-01,16.0
2007-02,20.0
2007-03,19.0
2007-04,19.0
2007-05,19.0
2007-06,23.0
2007-07,20.0
2007-08,21.0
2007-09,21.0
2007-10,23.0
2007-11,22.0
2007-12,19.0
2008-01,22.0
2008-02,25.0
2008-03,24.0
2008-04,26.0
2008-05,27.0
2008-06,25.0
2008-07,26.0
2008-08,23.0
2008-09,27.0
2008-10,24.0
2008-11,26.0
2008-12,20.0
2009-01,26.0
2009-02,28.000000000000004
2009-03,27.0
2009-04,28.000000000000004
2009-05,28.999999999999996
2009-06,30.0
2009-07,30.0
2009-08,28.000000000000004
2009-09,28.999999999999996
2009-10,30.0
2009-11,30.0
2009-12,25.0
2010-01,27.0
2010-02,35.0
2010-03,38.0
2010-04,34.0
2010-05,34.0
2010-06,34.0
2010-07,30.0
2010-08,34.0
2010-09,30.0
2010-10,32.0
2010-11,30.0
2010-12,25.0
2011-01,31.0
2011-02,36.0
2011-03,38.0
2011-04,36.0
2011-05,36.0
2011-06,34.0
2011-07,34.0
2011-08,33.0
2011-09,32.0
2011-10,34.0
2011-11,35.0
2011-12,27.0
2012-01,35.0
2012-02,37.0
2012-03,38.0
2012-04,38.0
2012-05,40.0
2012-06,40.0
2012-07,39.0
2012-08,37.0
2012-09,38.0
2012-10,39.0
2012-11,39.0
2012-12,28.000000000000004
2013-01,38.0
2013-02,42.0
2013-03,41.0
2013-04,45.0
2013-05,43.0
2013-06,40.0
2013-07,42.0
2013-08,38.0
2013-09,40.0
2013-10,42.0
2013-11,39.0
2013-12,32.0
2014-01,43.0
2014-02,47.0
2014-03,45.0
2014-04,49.0
2014-05,47.0
2014-06,46.0
2014-07,46.0
2014-08,45.0
2014-09,44.0
2014-10,46.0
2014-11,46.0
2014-12,39.0
2015-01,42.0
2015-02,53.0
2015-03,53.0
2015-04,50.0
2015-05,49.0
2015-06,48.0
2015-07,52.0
2015-08,46.0
2015-09,49.0
2015-10,44.0
2015-11,46.0
2015-12,45.0
2016-01,50.0
2016-02,55.00000000000001
2016-03,53.0
2016-04,60.0
2016-05,50.0
2016-06,48.0
2016-07,46.0
2016-08,49.0
2016-09,51.0
2016-10,48.0
2016-11,52.0
2016-12,45.0
2017-01,52.0
2017-02,55.00000000000001
2017-03,59.0
2017-04,57.99999999999999
2017-05,54.0
2017-06,52.0
2017-07,54.0
2017-08,49.0
2017-09,54.0
2017-10,57.99999999999999
2017-11,63.0
2017-12,49.0
2018-01,52.0
2018-02,59.0
2018-03,59.0
2018-04,60.0
2018-05,61.0
2018-06,53.0
2018-07,59.0
2018-08,61.0
2018-09,54.0
2018-10,69.0
2018-11,65.0
2018-12,59.0
2019-01,71.0
2019-02,64.0
2019-03,73.0
2019-04,81.0
2019-05,77.0
2019-06,70.0
2019-07,70.0
2019-08,62.0
2019-09,72.0
2019-10,68.0
2019-11,65.0
2019-12,54.0
2020-01,68.0
2020-02,75.0
2020-03,59.0
2020-04,59.0
2020-05,63.0
2020-06,66.0
2020-07,68.0
2020-08,62.0
2020-09,68.0
2020-10,60.0
2020-11,57.99999999999999
2020-12,53.0
2021-01,54.0
2021-02,54.0
2021-03,57.99999999999999
2021-04,62.0
2021-05,61.0
2021-06,62.0
2021-07,52.0
2021-08,52.0
2021-09,64.0
2021-10,98.0
2021-11,100.0
2021-12,69.0
2022-01,60.0
2022-02,69.0
2022-03,77.0
2022-04,73.0
2022-05,64.0
2022-06,66.0
2022-07,66.0
2022-08,61.0
2022-09,69.0
2022-10,64.0
2022-11,64.0
2022-12,56.00000000000001
2023-01,64.0
2023-02,59.0
2023-03,65.0
2023-04,56.99999999999999
2023-05,64.0
2023-06,66.0
2023-07,63.0
2023-08,61.0
2023-09,66.0
2023-10,68.0
2023-11,68.0
2023-12,55.00000000000001
2024-01,72.0
2024-02,74.0
2024-03,71.0
2024-04,66.0
2024-05,60.0
2024-06,54.0
2024-07,59.0
2024-08,53.0
2024-09,56.99999999999999
2024-10,60.0
2024-11,53.0
2024-12,44.0
2025-01,53.0
2025-02,61.0
