Date,Benchmarking
1950-01,5
1950-02,0
1950-03,1
1950-04,3
1950-05,4
1950-06,0
1950-07,2
1950-08,2
1950-09,2
1950-10,1
1950-11,1
1950-12,0
1951-01,3
1951-02,2
1951-03,0
1951-04,3
1951-05,0
1951-06,2
1951-07,3
1951-08,1
1951-09,2
1951-10,2
1951-11,1
1951-12,3
1952-01,5
1952-02,3
1952-03,2
1952-04,3
1952-05,2
1952-06,4
1952-07,6
1952-08,2
1952-09,1
1952-10,3
1952-11,1
1952-12,3
1953-01,5
1953-02,1
1953-03,7
1953-04,3
1953-05,4
1953-06,3
1953-07,1
1953-08,3
1953-09,1
1953-10,5
1953-11,2
1953-12,5
1954-01,2
1954-02,3
1954-03,4
1954-04,5
1954-05,0
1954-06,2
1954-07,1
1954-08,6
1954-09,1
1954-10,1
1954-11,3
1954-12,2
1955-01,9
1955-02,1
1955-03,5
1955-04,3
1955-05,1
1955-06,0
1955-07,3
1955-08,1
1955-09,2
1955-10,3
1955-11,3
1955-12,4
1956-01,11
1956-02,0
1956-03,2
1956-04,2
1956-05,3
1956-06,5
1956-07,5
1956-08,0
1956-09,1
1956-10,3
1956-11,3
1956-12,4
1957-01,10
1957-02,2
1957-03,6
1957-04,10
1957-05,4
1957-06,3
1957-07,3
1957-08,4
1957-09,2
1957-10,6
1957-11,2
1957-12,8
1958-01,8
1958-02,6
1958-03,2
1958-04,8
1958-05,2
1958-06,7
1958-07,6
1958-08,5
1958-09,4
1958-10,3
1958-11,4
1958-12,6
1959-01,9
1959-02,2
1959-03,2
1959-04,8
1959-05,5
1959-06,3
1959-07,8
1959-08,4
1959-09,5
1959-10,3
1959-11,3
1959-12,13
1960-01,10
1960-02,4
1960-03,4
1960-04,9
1960-05,5
1960-06,6
1960-07,13
1960-08,2
1960-09,9
1960-10,6
1960-11,2
1960-12,7
1961-01,14
1961-02,4
1961-03,3
1961-04,14
1961-05,7
1961-06,6
1961-07,11
1961-08,32
1961-09,8
1961-10,5
1961-11,6
1961-12,7
1962-01,12
1962-02,1
1962-03,5
1962-04,11
1962-05,3
1962-06,9
1962-07,8
1962-08,0
1962-09,7
1962-10,9
1962-11,5
1962-12,16
1963-01,19
1963-02,8
1963-03,11
1963-04,13
1963-05,7
1963-06,9
1963-07,12
1963-08,4
1963-09,7
1963-10,6
1963-11,7
1963-12,14
1964-01,18
1964-02,2
1964-03,8
1964-04,7
1964-05,5
1964-06,11
1964-07,10
1964-08,4
1964-09,8
1964-10,18
1964-11,10
1964-12,14
1965-01,15
1965-02,10
1965-03,9
1965-04,13
1965-05,11
1965-06,18
1965-07,13
1965-08,1
1965-09,15
1965-10,14
1965-11,7
1965-12,13
1966-01,16
1966-02,22
1966-03,12
1966-04,8
1966-05,8
1966-06,10
1966-07,20
1966-08,8
1966-09,9
1966-10,9
1966-11,9
1966-12,13
1967-01,21
1967-02,10
1967-03,13
1967-04,16
1967-05,8
1967-06,13
1967-07,20
1967-08,14
1967-09,11
1967-10,12
1967-11,9
1967-12,23
1968-01,19
1968-02,11
1968-03,16
1968-04,11
1968-05,15
1968-06,15
1968-07,24
1968-08,12
1968-09,15
1968-10,19
1968-11,12
1968-12,11
1969-01,20
1969-02,17
1969-03,22
1969-04,11
1969-05,20
1969-06,11
1969-07,22
1969-08,15
1969-09,14
1969-10,15
1969-11,9
1969-12,57
1970-01,122
1970-02,15
1970-03,12
1970-04,13
1970-05,15
1970-06,17
1970-07,15
1970-08,19
1970-09,21
1970-10,15
1970-11,19
1970-12,15
1971-01,32
1971-02,19
1971-03,16
1971-04,16
1971-05,9
1971-06,17
1971-07,25
1971-08,23
1971-09,24
1971-10,23
1971-11,18
1971-12,25
1972-01,25
1972-02,29
1972-03,29
1972-04,30
1972-05,14
1972-06,27
1972-07,25
1972-08,32
1972-09,28
1972-10,24
1972-11,18
1972-12,28
1973-01,39
1973-02,25
1973-03,38
1973-04,35
1973-05,27
1973-06,34
1973-07,27
1973-08,41
1973-09,36
1973-10,28
1973-11,21
1973-12,36
1974-01,54
1974-02,22
1974-03,41
1974-04,24
1974-05,28
1974-06,39
1974-07,27
1974-08,35
1974-09,30
1974-10,34
1974-11,26
1974-12,44
1975-01,55
1975-02,24
1975-03,43
1975-04,52
1975-05,19
1975-06,38
1975-07,26
1975-08,47
1975-09,27
1975-10,39
1975-11,32
1975-12,39
1976-01,78
1976-02,37
1976-03,57
1976-04,39
1976-05,25
1976-06,38
1976-07,53
1976-08,41
1976-09,42
1976-10,42
1976-11,25
1976-12,50
1977-01,92
1977-02,29
1977-03,63
1977-04,48
1977-05,42
1977-06,49
1977-07,46
1977-08,51
1977-09,63
1977-10,54
1977-11,23
1977-12,49
1978-01,142
1978-02,36
1978-03,68
1978-04,63
1978-05,41
1978-06,48
1978-07,62
1978-08,57
1978-09,43
1978-10,60
1978-11,42
1978-12,68
1979-01,138
1979-02,41
1979-03,58
1979-04,65
1979-05,38
1979-06,85
1979-07,48
1979-08,76
1979-09,58
1979-10,61
1979-11,46
1979-12,87
1980-01,162
1980-02,62
1980-03,56
1980-04,71
1980-05,117
1980-06,68
1980-07,77
1980-08,49
1980-09,70
1980-10,87
1980-11,53
1980-12,77
1981-01,195
1981-02,66
1981-03,108
1981-04,92
1981-05,68
1981-06,101
1981-07,104
1981-08,57
1981-09,102
1981-10,100
1981-11,79
1981-12,106
1982-01,163
1982-02,69
1982-03,79
1982-04,126
1982-05,77
1982-06,101
1982-07,82
1982-08,99
1982-09,105
1982-10,107
1982-11,67
1982-12,128
1983-01,203
1983-02,88
1983-03,115
1983-04,79
1983-05,88
1983-06,101
1983-07,78
1983-08,77
1983-09,103
1983-10,89
1983-11,90
1983-12,93
1984-01,220
1984-02,105
1984-03,114
1984-04,111
1984-05,83
1984-06,89
1984-07,90
1984-08,105
1984-09,93
1984-10,100
1984-11,89
1984-12,113
1985-01,233
1985-02,100
1985-03,115
1985-04,97
1985-05,88
1985-06,106
1985-07,111
1985-08,129
1985-09,119
1985-10,117
1985-11,123
1985-12,111
1986-01,227
1986-02,64
1986-03,125
1986-04,111
1986-05,116
1986-06,107
1986-07,79
1986-08,98
1986-09,138
1986-10,100
1986-11,83
1986-12,118
1987-01,240
1987-02,99
1987-03,130
1987-04,83
1987-05,97
1987-06,113
1987-07,105
1987-08,127
1987-09,134
1987-10,91
1987-11,126
1987-12,93
1988-01,321
1988-02,88
1988-03,144
1988-04,81
1988-05,120
1988-06,120
1988-07,101
1988-08,108
1988-09,137
1988-10,100
1988-11,102
1988-12,140
1989-01,297
1989-02,100
1989-03,157
1989-04,141
1989-05,119
1989-06,125
1989-07,137
1989-08,139
1989-09,164
1989-10,118
1989-11,99
1989-12,137
1990-01,376
1990-02,108
1990-03,172
1990-04,160
1990-05,133
1990-06,137
1990-07,115
1990-08,126
1990-09,236
1990-10,140
1990-11,99
1990-12,106
1991-01,394
1991-02,94
1991-03,169
1991-04,194
1991-05,122
1991-06,130
1991-07,180
1991-08,114
1991-09,195
1991-10,123
1991-11,134
1991-12,135
1992-01,322
1992-02,140
1992-03,202
1992-04,148
1992-05,167
1992-06,222
1992-07,172
1992-08,109
1992-09,178
1992-10,160
1992-11,165
1992-12,145
1993-01,334
1993-02,130
1993-03,216
1993-04,169
1993-05,189
1993-06,229
1993-07,165
1993-08,141
1993-09,233
1993-10,196
1993-11,127
1993-12,184
1994-01,471
1994-02,141
1994-03,226
1994-04,212
1994-05,230
1994-06,225
1994-07,152
1994-08,191
1994-09,238
1994-10,171
1994-11,166
1994-12,196
1995-01,513
1995-02,176
1995-03,258
1995-04,198
1995-05,253
1995-06,253
1995-07,219
1995-08,172
1995-09,326
1995-10,193
1995-11,197
1995-12,246
1996-01,541
1996-02,170
1996-03,313
1996-04,230
1996-05,262
1996-06,307
1996-07,194
1996-08,216
1996-09,284
1996-10,317
1996-11,264
1996-12,252
1997-01,509
1997-02,200
1997-03,321
1997-04,225
1997-05,213
1997-06,368
1997-07,224
1997-08,212
1997-09,334
1997-10,243
1997-11,197
1997-12,301
1998-01,582
1998-02,220
1998-03,339
1998-04,242
1998-05,209
1998-06,394
1998-07,334
1998-08,239
1998-09,349
1998-10,261
1998-11,228
1998-12,406
1999-01,585
1999-02,214
1999-03,340
1999-04,297
1999-05,308
1999-06,309
1999-07,313
1999-08,275
1999-09,374
1999-10,288
1999-11,339
1999-12,399
2000-01,750
2000-02,234
2000-03,600
2000-04,331
2000-05,353
2000-06,477
2000-07,346
2000-08,335
2000-09,538
2000-10,337
2000-11,259
2000-12,364
2001-01,700
2001-02,251
2001-03,407
2001-04,317
2001-05,328
2001-06,505
2001-07,335
2001-08,340
2001-09,582
2001-10,610
2001-11,274
2001-12,626
2002-01,905
2002-02,285
2002-03,460
2002-04,345
2002-05,300
2002-06,504
2002-07,364
2002-08,348
2002-09,525
2002-10,371
2002-11,372
2002-12,511
2003-01,879
2003-02,368
2003-03,453
2003-04,415
2003-05,313
2003-06,501
2003-07,325
2003-08,418
2003-09,563
2003-10,426
2003-11,330
2003-12,570
2004-01,927
2004-02,389
2004-03,587
2004-04,502
2004-05,432
2004-06,712
2004-07,523
2004-08,514
2004-09,560
2004-10,622
2004-11,377
2004-12,625
2005-01,1037
2005-02,413
2005-03,578
2005-04,513
2005-05,477
2005-06,652
2005-07,503
2005-08,505
2005-09,576
2005-10,643
2005-11,512
2005-12,600
2006-01,1145
2006-02,426
2006-03,746
2006-04,668
2006-05,554
2006-06,738
2006-07,739
2006-08,623
2006-09,731
2006-10,853
2006-11,657
2006-12,734
2007-01,1171
2007-02,568
2007-03,873
2007-04,740
2007-05,792
2007-06,1055
2007-07,743
2007-08,883
2007-09,857
2007-10,864
2007-11,755
2007-12,888
2008-01,1199
2008-02,615
2008-03,896
2008-04,833
2008-05,829
2008-06,1039
2008-07,794
2008-08,754
2008-09,1169
2008-10,1251
2008-11,806
2008-12,1213
2009-01,1308
2009-02,719
2009-03,853
2009-04,818
2009-05,802
2009-06,1210
2009-07,910
2009-08,923
2009-09,1404
2009-10,1203
2009-11,830
2009-12,1244
2010-01,1410
2010-02,690
2010-03,1052
2010-04,1019
2010-05,940
2010-06,1301
2010-07,1177
2010-08,1301
2010-09,1254
2010-10,1396
2010-11,1334
2010-12,1236
2011-01,1695
2011-02,876
2011-03,1136
2011-04,1155
2011-05,1262
2011-06,1497
2011-07,1104
2011-08,1459
2011-09,1598
