Date,Alianzas y Capital de Riesgo
1987-11,89
1987-12,288
1988-01,399
1988-02,104
1988-03,228
1988-04,152
1988-05,124
1988-06,246
1988-07,119
1988-08,113
1988-09,192
1988-10,127
1988-11,110
1988-12,348
1989-01,531
1989-02,104
1989-03,268
1989-04,164
1989-05,145
1989-06,257
1989-07,157
1989-08,157
1989-09,267
1989-10,186
1989-11,124
1989-12,359
1990-01,544
1990-02,136
1990-03,275
1990-04,206
1990-05,161
1990-06,260
1990-07,176
1990-08,124
1990-09,291
1990-10,200
1990-11,135
1990-12,362
1991-01,547
1991-02,148
1991-03,312
1991-04,223
1991-05,177
1991-06,252
1991-07,200
1991-08,124
1991-09,302
1991-10,171
1991-11,137
1991-12,296
1992-01,529
1992-02,156
1992-03,387
1992-04,256
1992-05,200
1992-06,325
1992-07,223
1992-08,199
1992-09,352
1992-10,206
1992-11,143
1992-12,347
1993-01,565
1993-02,160
1993-03,327
1993-04,262
1993-05,201
1993-06,363
1993-07,235
1993-08,200
1993-09,388
1993-10,269
1993-11,159
1993-12,396
1994-01,586
1994-02,232
1994-03,388
1994-04,188
1994-05,181
1994-06,426
1994-07,233
1994-08,196
1994-09,388
1994-10,252
1994-11,213
1994-12,374
1995-01,710
1995-02,228
1995-03,404
1995-04,276
1995-05,238
1995-06,377
1995-07,224
1995-08,236
1995-09,421
1995-10,276
1995-11,215
1995-12,440
1996-01,727
1996-02,219
1996-03,497
1996-04,338
1996-05,214
1996-06,466
1996-07,330
1996-08,241
1996-09,394
1996-10,331
1996-11,230
1996-12,490
1997-01,652
1997-02,309
1997-03,529
1997-04,336
1997-05,216
1997-06,492
1997-07,359
1997-08,255
1997-09,422
1997-10,293
1997-11,284
1997-12,582
1998-01,648
1998-02,245
1998-03,538
1998-04,380
1998-05,256
1998-06,497
1998-07,390
1998-08,282
1998-09,492
1998-10,268
1998-11,306
1998-12,556
1999-01,651
1999-02,242
1999-03,499
1999-04,398
1999-05,319
1999-06,499
1999-07,337
1999-08,298
1999-09,459
1999-10,332
1999-11,309
1999-12,581
2000-01,816
2000-02,301
2000-03,552
2000-04,450
2000-05,383
2000-06,546
2000-07,476
2000-08,371
2000-09,537
2000-10,475
2000-11,375
2000-12,614
2001-01,869
2001-02,308
2001-03,708
2001-04,514
2001-05,439
2001-06,697
2001-07,490
2001-08,370
2001-09,638
2001-10,449
2001-11,334
2001-12,907
2002-01,944
2002-02,336
2002-03,690
2002-04,588
2002-05,382
2002-06,600
2002-07,440
2002-08,429
2002-09,841
2002-10,592
2002-11,368
2002-12,804
2003-01,1010
2003-02,458
2003-03,652
2003-04,491
2003-05,409
2003-06,717
2003-07,423
2003-08,563
2003-09,799
2003-10,534
2003-11,432
2003-12,860
2004-01,944
2004-02,510
2004-03,855
2004-04,645
2004-05,519
2004-06,808
2004-07,618
2004-08,649
2004-09,771
2004-10,708
2004-11,474
2004-12,811
2005-01,1038
2005-02,412
2005-03,733
2005-04,610
2005-05,481
2005-06,918
2005-07,554
2005-08,639
2005-09,779
2005-10,774
2005-11,559
2005-12,957
2006-01,1331
2006-02,578
2006-03,804
2006-04,776
2006-05,633
2006-06,877
2006-07,853
2006-08,737
2006-09,881
2006-10,949
2006-11,725
2006-12,926
2007-01,1165
2007-02,606
2007-03,971
2007-04,885
2007-05,860
2007-06,1139
2007-07,809
2007-08,1051
2007-09,1046
2007-10,1126
2007-11,730
2007-12,1690
2008-01,1212
2008-02,719
2008-03,1018
2008-04,935
2008-05,818
2008-06,1302
2008-07,1012
2008-08,848
2008-09,1582
2008-10,1277
2008-11,889
2008-12,1434
2009-01,1633
2009-02,905
2009-03,963
2009-04,996
2009-05,900
2009-06,1221
2009-07,1039
2009-08,1059
2009-09,1562
2009-10,1174
2009-11,990
2009-12,1378
2010-01,1586
2010-02,803
2010-03,1273
2010-04,1212
2010-05,1182
2010-06,1301
2010-07,1213
2010-08,1397
2010-09,1344
2010-10,1568
2010-11,1237
2010-12,1637
2011-01,1877
2011-02,1076
2011-03,1307
2011-04,1251
2011-05,1409
2011-06,1519
2011-07,1217
2011-08,1976
2011-09,1637
2011-10,1522
2011-11,1240
2011-12,1999
2012-01,3939
2012-02,1111
2012-03,1534
2012-04,1427
2012-05,1573
2012-06,1815
2012-07,1878
2012-08,1545
2012-09,2117
2012-10,1795
2012-11,1644
2012-12,1921
2013-01,2485
2013-02,1165
2013-03,1781
2013-04,1602
2013-05,1719
2013-06,1862
2013-07,1952
2013-08,1372
2013-09,2041
2013-10,2280
2013-11,1724
2013-12,2183
2014-01,2646
2014-02,1398
2014-03,1785
2014-04,1818
2014-05,1748
2014-06,1978
2014-07,2103
2014-08,1846
2014-09,2417
2014-10,2710
2014-11,2058
2014-12,2599
2015-01,2979
2015-02,1708
2015-03,2187
2015-04,1994
2015-05,2011
2015-06,2535
2015-07,2159
2015-08,2100
2015-09,2222
2015-10,2737
2015-11,2312
2015-12,3102
2016-01,3048
2016-02,1997
2016-03,2472
2016-04,2919
2016-05,2511
2016-06,3222
2016-07,2336
2016-08,2311
2016-09,2918
2016-10,2709
2016-11,2832
2016-12,3666
2017-01,2626
2017-02,2184
2017-03,3222
2017-04,2368
2017-05,2844
2017-06,3135
2017-07,3195
2017-08,3135
2017-09,4430
2017-10,3362
2017-11,3584
2017-12,3966
2018-01,3102
2018-02,2674
2018-03,3251
2018-04,3170
2018-05,3306
2018-06,3522
2018-07,3402
2018-08,3910
2018-09,3744
2018-10,4271
2018-11,3148
2018-12,4802
2019-01,3688
2019-02,2945
2019-03,4038
2019-04,3628
2019-05,3809
2019-06,4412
2019-07,3864
2019-08,4193
2019-09,4117
2019-10,4256
2019-11,4531
2019-12,6002
2020-01,4131
2020-02,3528
2020-03,4400
2020-04,3782
2020-05,3712
2020-06,4946
2020-07,4307
2020-08,4282
2020-09,4904
2020-10,5081
2020-11,5083
2020-12,8116
2021-01,4846
2021-02,3858
2021-03,5036
2021-04,4551
2021-05,4301
2021-06,5302
2021-07,4572
2021-08,4992
2021-09,5233
2021-10,4911
2021-11,5055
2021-12,6624
2022-01,4986
2022-02,3967
2022-03,5203
2022-04,4762
2022-05,4785
2022-06,6509
2022-07,4733
2022-08,5396
2022-09,5745
2022-10,5467
2022-11,5086
2022-12,8198
2023-01,5357
2023-02,4317
2023-03,5897
2023-04,4943
2023-05,5323
2023-06,6910
2023-07,5253
2023-08,5966
2023-09,6594
2023-10,6203
2023-11,6335
2023-12,8634
2024-01,6371
2024-02,5381
2024-03,6474
2024-04,6399
2024-05,6765
2024-06,7504
2024-07,6686
2024-08,7120
2024-09,7104
2024-10,7155
2024-11,6923
2024-12,8780
2025-01,6307
2025-02,4297
