Month,Gestión de la Cadena de Suministro
2004-01,88
2004-02,91
2004-03,100
2004-04,99
2004-05,87
2004-06,83
2004-07,81
2004-08,76
2004-09,86
2004-10,86
2004-11,83
2004-12,70
2005-01,74
2005-02,83
2005-03,76
2005-04,78
2005-05,76
2005-06,71
2005-07,73
2005-08,66
2005-09,73
2005-10,73
2005-11,67
2005-12,58
2006-01,62
2006-02,63
2006-03,70
2006-04,59
2006-05,61
2006-06,57
2006-07,56
2006-08,54
2006-09,57
2006-10,57
2006-11,59
2006-12,48
2007-01,54
2007-02,58
2007-03,57
2007-04,57
2007-05,60
2007-06,54
2007-07,52
2007-08,58
2007-09,55
2007-10,61
2007-11,60
2007-12,47
2008-01,57
2008-02,58
2008-03,60
2008-04,61
2008-05,58
2008-06,52
2008-07,53
2008-08,50
2008-09,56
2008-10,54
2008-11,56
2008-12,45
2009-01,49
2009-02,54
2009-03,56
2009-04,57
2009-05,52
2009-06,49
2009-07,48
2009-08,48
2009-09,54
2009-10,56
2009-11,61
2009-12,46
2010-01,51
2010-02,55
2010-03,60
2010-04,59
2010-05,53
2010-06,50
2010-07,47
2010-08,47
2010-09,51
2010-10,53
2010-11,53
2010-12,45
2011-01,48
2011-02,54
2011-03,62
2011-04,56
2011-05,52
2011-06,48
2011-07,44
2011-08,45
2011-09,57
2011-10,52
2011-11,54
2011-12,45
2012-01,49
2012-02,51
2012-03,55
2012-04,55
2012-05,52
2012-06,47
2012-07,46
2012-08,47
2012-09,53
2012-10,54
2012-11,54
2012-12,41
2013-01,48
2013-02,51
2013-03,56
2013-04,55
2013-05,50
2013-06,46
2013-07,45
2013-08,45
2013-09,54
2013-10,54
2013-11,51
2013-12,42
2014-01,50
2014-02,54
2014-03,54
2014-04,54
2014-05,50
2014-06,47
2014-07,47
2014-08,46
2014-09,55
2014-10,55
2014-11,56
2014-12,45
2015-01,50
2015-02,57
2015-03,56
2015-04,56
2015-05,53
2015-06,49
2015-07,42
2015-08,46
2015-09,53
2015-10,57
2015-11,56
2015-12,45
2016-01,51
2016-02,59
2016-03,58
2016-04,60
2016-05,57
2016-06,53
2016-07,45
2016-08,47
2016-09,57
2016-10,56
2016-11,61
2016-12,45
2017-01,53
2017-02,58
2017-03,64
2017-04,61
2017-05,57
2017-06,50
2017-07,50
2017-08,49
2017-09,58
2017-10,62
2017-11,64
2017-12,58
2018-01,59
2018-02,63
2018-03,63
2018-04,64
2018-05,61
2018-06,54
2018-07,53
2018-08,56
2018-09,63
2018-10,67
2018-11,63
2018-12,53
2019-01,60
2019-02,69
2019-03,63
2019-04,66
2019-05,64
2019-06,58
2019-07,58
2019-08,59
2019-09,66
2019-10,67
2019-11,68
2019-12,56
2020-01,66
2020-02,71
2020-03,69
2020-04,66
2020-05,66
2020-06,64
2020-07,62
2020-08,62
2020-09,71
2020-10,69
2020-11,63
2020-12,59
2021-01,59
2021-02,66
2021-03,70
2021-04,69
2021-05,67
2021-06,67
2021-07,61
2021-08,63
2021-09,75
2021-10,88
2021-11,86
2021-12,71
2022-01,84
2022-02,95
2022-03,96
2022-04,94
2022-05,87
2022-06,82
2022-07,74
2022-08,74
2022-09,83
2022-10,84
2022-11,83
2022-12,73
2023-01,78
2023-02,83
2023-03,84
2023-04,72
2023-05,79
2023-06,76
2023-07,71
2023-08,90
2023-09,86
2023-10,83
2023-11,82
2023-12,71
