Month,SeasonalValue,PercentageDistribution
1,-4.3253,6.1961
2,1.0957,8.8748
3,-1.1674,7.7565
4,9.8786,13.2146
5,-6.8648,4.9413
6,2.2931,9.4664
7,-2.3205,7.1867
8,4.2909,10.4536
9,-4.5885,6.0660
10,1.0431,8.8488
11,-4.4306,6.1441
12,5.0957,10.8513
