Month,SeasonalValue,PercentageDistribution
1,-1.5344,7.5601
2,25.9590,21.4149
3,-3.6156,6.5113
4,-3.8436,6.3964
5,-4.9752,5.8262
6,-4.5432,6.0439
7,3.7054,10.2006
8,1.2265,8.9514
9,-6.5366,5.0393
10,-2.1967,7.2263
11,-0.1002,8.2828
12,-3.5454,6.5467
