Month,SeasonalValue,PercentageDistribution
1,-2.2859,7.0361
2,18.9838,19.1061
3,-2.0096,7.1929
4,-3.4241,6.3903
5,-4.6851,5.6747
6,-4.2509,5.9211
7,-1.3677,7.5572
8,1.9750,9.4541
9,1.9312,9.4292
10,0.5079,8.6216
11,-1.4131,7.5314
12,-3.9614,6.0854
