Month,SeasonalValue,PercentageDistribution
1,-2.8026,6.5091
2,-1.6359,7.2685
3,1.2566,9.1513
4,-2.6403,6.6147
5,3.1689,10.3960
6,0.6645,8.7659
7,0.4494,8.6258
8,-2.5570,6.6690
9,-2.5570,6.6690
10,3.2851,10.4716
11,0.7610,8.8287
12,2.6075,10.0306
