Month,SeasonalValue,PercentageDistribution
1,-3.9419,6.2408
2,9.3783,13.3117
3,-1.1941,7.6995
4,-2.6875,6.9067
5,1.0581,8.8950
6,-4.4858,5.9521
7,-2.6237,6.9406
8,1.8256,9.3025
9,9.5406,13.3978
10,-0.4529,8.0929
11,-0.7182,7.9521
12,-5.6985,5.3084
