Month,SeasonalValue,PercentageDistribution
1,3.4714,10.0354
2,9.6358,13.0580
3,-5.5966,5.5892
4,-6.9958,4.9032
5,-0.6142,8.0322
6,-3.2677,6.7311
7,6.3085,11.4265
8,6.0196,11.2849
9,3.5876,10.0924
10,-3.2567,6.7365
11,-5.3510,5.7096
12,-3.9409,6.4010
