Month,SeasonalValue,PercentageDistribution
1,17.0217,17.1038
2,2.8748,9.8146
3,-4.3818,6.0756
4,-4.3072,6.1141
5,-4.1844,6.1773
6,0.3112,8.4937
7,1.8924,9.3084
8,0.6928,8.6903
9,0.0766,8.3728
10,-6.1734,5.1525
11,-1.8247,7.3931
12,-1.9980,7.3039
