Month,SeasonalValue,PercentageDistribution
1,-2.9850,6.4177
2,-0.6385,7.9236
3,-1.7766,7.1932
4,1.4010,9.2325
5,-0.0880,8.2768
6,-0.6385,7.9236
7,2.8323,10.1510
8,-0.5200,7.9996
9,2.2168,9.7560
10,1.3308,9.1874
11,-2.0332,7.0285
12,0.8988,8.9102
