Month,SeasonalValue,PercentageDistribution
1,-3.6572,6.4903
2,21.3099,19.0721
3,-6.5366,5.0393
4,-5.6616,5.4803
5,-5.4182,5.6029
6,-1.6309,7.5115
7,-0.5601,8.0511
8,1.7463,9.2133
9,0.8384,8.7558
10,-0.3568,8.1535
11,4.1586,10.4290
12,-4.2318,6.2008
