Month,SeasonalValue,PercentageDistribution
1,1.1310,9.1442
2,1.7319,9.5750
3,-1.1365,7.5185
4,-0.0115,8.3251
5,-0.2001,8.1899
6,-0.8492,7.7245
7,1.3722,9.3171
8,0.2429,8.5075
9,-0.2571,8.1490
10,-0.2330,8.1663
11,-0.1672,8.2135
12,-1.6233,7.1695
