Month,SeasonalValue,PercentageDistribution
1,-3.9366,6.1364
2,6.8485,12.1553
3,8.4099,13.0267
4,-3.1121,6.5966
5,2.0327,9.4677
6,-4.1274,6.0299
7,-4.8593,5.6215
8,1.3945,9.1116
9,-4.9322,5.5808
10,-1.1121,7.7127
11,0.3441,8.5254
12,3.0502,10.0356
