Month,SeasonalValue,PercentageDistribution
1,-1.4705,7.4081
2,4.2839,11.0287
3,-2.2380,6.9252
4,-2.9112,6.5016
5,-1.5187,7.3778
6,-1.9156,7.1280
7,0.8812,8.8878
8,0.0317,8.3533
9,4.2730,11.0218
10,6.1611,12.2098
11,-2.3323,6.8659
12,-3.2446,6.2919
