Month,SeasonalValue,PercentageDistribution
1,2.4376,9.6573
2,18.5517,18.4094
3,-5.1435,5.5397
4,-5.2839,5.4635
5,-4.7839,5.7351
6,-3.4790,6.4438
7,1.9339,9.3837
8,-1.1918,7.6860
9,3.8960,10.4494
10,-0.0207,8.3221
11,-1.5733,7.4788
12,-5.3431,5.4313
