Month,SeasonalValue,PercentageDistribution
1,-3.4753,6.6395
2,15.7769,16.0228
3,-4.5038,6.1383
4,-7.0981,4.8738
5,-3.7428,6.5091
6,-0.3854,8.1455
7,-1.2106,7.7433
8,2.1366,9.3747
9,3.3339,9.9582
10,1.2660,8.9503
11,0.3581,8.5078
12,-2.4555,7.1365
