Month,SeasonalValue,PercentageDistribution
1,-9.9788,4.1711
2,1.6900,9.0383
3,-6.0205,5.8221
4,-5.3100,6.1185
5,-1.1411,7.8574
6,5.1243,10.4707
7,3.3305,9.7225
8,8.6286,11.9324
9,0.1111,8.3797
10,2.5146,9.3822
11,2.8129,9.5066
12,-1.7617,7.5985
